phascolarctos_cinereus ENSPCIG00000027738
monodelphis_domestica ENSMODG00000001338
sarcophilus_harrisii ENSSHAG00000013052
myotis_lucifugus ENSMLUG00000012407
pteropus_vampyrus ENSPVAG00000010598
ursus_maritimus ENSUMAG00000013735
ursus_americanus ENSUAMG00000014579
ailuropoda_melanoleuca ENSAMEG00000005480
mustela_putorius_furo ENSMPUG00000004475
neovison_vison ENSNVIG00000000706
equus_asinus_asinus ENSEASG00005005440
panthera_tigris_altaica ENSPTIG00000005531
panthera_pardus ENSPPRG00000002990
felis_catus ENSFCAG00000031400
canis_lupus_dingo ENSCAFG00020007980
vulpes_vulpes ENSVVUG00000016278
canis_lupus_familiaris ENSCAFG00000013729
tursiops_truncatus ENSTTRG00000012153
vicugna_pacos ENSVPAG00000000345
ovis_aries ENSOARG00000019599
capra_hircus ENSCHIG00000016636
bos_taurus ENSBTAG00000005973
bos_mutus ENSBMUG00000009563
bison_bison_bison ENSBBBG00000009924
ovis_aries ENSOARG00000019574
capra_hircus ENSCHIG00000020754
bos_taurus ENSBTAG00000024849
bos_mutus ENSBMUG00000009587
bison_bison_bison ENSBBBG00000009858
sus_scrofa ENSSSCG00000006791
erinaceus_europaeus ENSEEUG00000011618
sorex_araneus ENSSARG00000002006
choloepus_hoffmanni ENSCHOG00000011188
dasypus_novemcinctus ENSDNOG00000017563
procavia_capensis ENSPCAG00000003704
echinops_telfairi ENSETEG00000002990
loxodonta_africana ENSLAFG00000017713
cricetulus_griseus_chok1gshd ENSCGRG00001006238
cricetulus_griseus_crigri-picr ENSCGRG00015027060
cricetulus_griseus_crigri ENSCGRG00000007643
microtus_ochrogaster ENSMOCG00000007897
peromyscus_maniculatus_bairdii ENSPEMG00000019924
peromyscus_maniculatus_bairdii ENSPEMG00000025334
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026431
mus_musculus ENSMUSG00000074340
mus_spicilegus ENSMSIG00000005625
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025482
mus_pahari MGP_PahariEiJ_G0026927
nannospalax_galili ENSNGAG00000023031
jaculus_jaculus ENSJJAG00000019837
dipodomys_ordii ENSDORG00000013347
octodon_degus ENSODEG00000010601
cavia_porcellus ENSCPOG00000000902
chinchilla_lanigera ENSCLAG00000005245
spermophilus_dauricus ENSSDAG00000013793
ictidomys_tridecemlineatus ENSSTOG00000023994
urocitellus_parryii ENSUPAG00010022012
marmota_marmota_marmota ENSMMMG00000011629
oryctolagus_cuniculus ENSOCUG00000015946
ochotona_princeps ENSOPRG00000003800
pan_troglodytes ENSPTRG00000001097
pan_paniscus ENSPPAG00000025014
homo_sapiens ENSG00000085465
gorilla_gorilla ENSGGOG00000005204
pongo_abelii ENSPPYG00000001034
nomascus_leucogenys ENSNLEG00000003907
macaca_mulatta ENSMMUG00000003309
chlorocebus_sabaeus ENSCSAG00000001575
mandrillus_leucophaeus ENSMLEG00000038492
cercocebus_atys ENSCATG00000037898
papio_anubis ENSPANG00000016078
macaca_fascicularis ENSMFAG00000034315
macaca_nemestrina ENSMNEG00000036501
theropithecus_gelada ENSTGEG00000003434
piliocolobus_tephrosceles ENSPTEG00000028451
rhinopithecus_roxellana ENSRROG00000044113
rhinopithecus_bieti ENSRBIG00000043088
colobus_angolensis_palliatus ENSCANG00000039384
cebus_capucinus ENSCCAG00000034065
callithrix_jacchus ENSCJAG00000013301
aotus_nancymaae ENSANAG00000028815
carlito_syrichta ENSTSYG00000026417
tupaia_belangeri ENSTBEG00000009992
meriones_unguiculatus ENSMUGG00000014006
castor_canadensis ENSCCNG00000027622
ursus_americanus ENSUAMG00000014581
ornithorhynchus_anatinus ENSOANG00000015429
