takifugu_rubripes ENSTRUG00000008162
tetraodon_nigroviridis ENSTNIG00000005604
gasterosteus_aculeatus ENSGACG00000016141
anabas_testudineus ENSATEG00000019899
mastacembelus_armatus ENSMAMG00000020230
seriola_dumerili ENSSDUG00000022436
seriola_lalandi ENSSLDG00000001366
labrus_bergylta ENSLBEG00000003866
scophthalmus_maximus ENSSMAG00000010886
mola_mola ENSMMOG00000007336
monopterus_albus ENSMALG00000007190
amphiprion_ocellaris ENSAOCG00000000537
amphiprion_percula ENSAPEG00000019799
acanthochromis_polyacanthus ENSAPOG00000008069
stegastes_partitus ENSSPAG00000020786
maylandia_zebra ENSMZEG00005021634
astatotilapia_calliptera ENSACLG00000015099
haplochromis_burtoni ENSHBUG00000002910
pundamilia_nyererei ENSPNYG00000023217
neolamprologus_brichardi ENSNBRG00000016266
oreochromis_niloticus ENSONIG00000008972
amphilophus_citrinellus ENSACIG00000010349
xiphophorus_maculatus ENSXMAG00000009500
xiphophorus_couchianus ENSXCOG00000013722
gambusia_affinis ENSGAFG00000020614
poecilia_formosa ENSPFOG00000010801
poecilia_latipinna ENSPLAG00000022883
poecilia_mexicana ENSPMEG00000007943
poecilia_reticulata ENSPREG00000007223
fundulus_heteroclitus ENSFHEG00000009128
cyprinodon_variegatus ENSCVAG00000007306
kryptolebias_marmoratus ENSKMAG00000000060
oryzias_latipes ENSORLG00000005462
oryzias_latipes ENSORLG00020006383
oryzias_latipes ENSORLG00015003825
oryzias_melastigma ENSOMEG00000012406
cynoglossus_semilaevis ENSCSEG00000004942
periophthalmus_magnuspinnatus ENSPMGG00000024151
hippocampus_comes ENSHCOG00000002439
gadus_morhua ENSGMOG00000016258
esox_lucius ENSELUG00000007490
pygocentrus_nattereri ENSPNAG00000014938
astyanax_mexicanus ENSAMXG00000030791
ictalurus_punctatus ENSIPUG00000001228
danio_rerio ENSDARG00000062122
paramormyrops_kingsleyae ENSPKIG00000004117
scleropages_formosus ENSSFOG00015011904
scleropages_formosus ENSSFOG00015024084
paramormyrops_kingsleyae ENSPKIG00000013246
anolis_carolinensis ENSACAG00000007412
pogona_vitticeps ENSPVIG00000013050
notechis_scutatus ENSNSUG00000015953
salvator_merianae ENSSMRG00000002929
sphenodon_punctatus ENSSPUG00000007970
crocodylus_porosus ENSCPRG00005005792
crocodylus_porosus ENSCPRG00005005756
anser_brachyrhynchus ENSABRG00000013179
anas_platyrhynchos ENSAPLG00000007450
meleagris_gallopavo ENSMGAG00000012338
coturnix_japonica ENSCJPG00005018217
gallus_gallus ENSGALG00000031388
numida_meleagris ENSNMEG00000018371
lepidothrix_coronata ENSLCOG00000009485
manacus_vitellinus ENSMVIG00005008145
zonotrichia_albicollis ENSZALG00000017573
junco_hyemalis ENSJHYG00000005104
serinus_canaria ENSSCAG00000005362
lonchura_striata ENSLSDG00000014103
taeniopygia_guttata ENSTGUG00000008989
parus_major ENSPMJG00000016219
cyanistes_caeruleus ENSCCEG00000022692
ficedula_albicollis ENSFALG00000009318
melopsittacus_undulatus ENSMUNG00000009871
calidris_pygmaea ENSCPGG00000019432
calidris_pugnax ENSCPUG00000004719
apteryx_haastii ENSAHAG00000008235
apteryx_rowi ENSARWG00000018130
apteryx_owenii ENSAOWG00000002132
dromaius_novaehollandiae ENSDNVG00000007729
nothoprocta_perdicaria ENSNPEG00000013220
gopherus_agassizii ENSGAGG00000023974
chelonoidis_abingdonii ENSCABG00000006169
chrysemys_picta ENSCPBG00000013772
pelodiscus_sinensis ENSPSIG00000011040
phascolarctos_cinereus ENSPCIG00000030953
monodelphis_domestica ENSMODG00000020538
sarcophilus_harrisii ENSSHAG00000008601
myotis_lucifugus ENSMLUG00000011840
pteropus_vampyrus ENSPVAG00000002116
bos_mutus ENSBMUG00000019450
bos_taurus ENSBTAG00000006044
bison_bison ENSBBBG00000000987
ovis_aries ENSOARG00000010455
capra_hircus ENSCHIG00000012341
tursiops_truncatus ENSTTRG00000000645
vicugna_pacos ENSVPAG00000002011
ursus_americanus ENSUAMG00000007432
ursus_maritimus ENSUMAG00000000796
ailuropoda_melanoleuca ENSAMEG00000003311
neovison_vison ENSNVIG00000007493
mustela_putorius ENSMPUG00000005999
canis_lupus ENSCAFG00020000397
canis_lupus ENSCAFG00000016145
vulpes_vulpes ENSVVUG00000014573
panthera_pardus ENSPPRG00000005716
panthera_tigris ENSPTIG00000014854
felis_catus ENSFCAG00000003534
equus_asinus ENSEASG00005008160
equus_caballus ENSECAG00000008627
erinaceus_europaeus ENSEEUG00000011652
pan_troglodytes ENSPTRG00000015989
pan_paniscus ENSPPAG00000038654
gorilla_gorilla ENSGGOG00000001643
homo_sapiens ENSG00000109790
pongo_abelii ENSPPYG00000015288
nomascus_leucogenys ENSNLEG00000017071
nomascus_leucogenys ENSNLEG00000027907
pan_paniscus ENSPPAG00000032568
chlorocebus_sabaeus ENSCSAG00000016884
papio_anubis ENSPANG00000003768
cercocebus_atys ENSCATG00000031256
theropithecus_gelada ENSTGEG00000000970
mandrillus_leucophaeus ENSMLEG00000040275
macaca_nemestrina ENSMNEG00000044719
macaca_mulatta ENSMMUG00000002755
macaca_fascicularis ENSMFAG00000042012
colobus_angolensis ENSCANG00000040855
piliocolobus_tephrosceles ENSPTEG00000022787
rhinopithecus_roxellana ENSRROG00000034945
rhinopithecus_bieti ENSRBIG00000033079
cebus_capucinus ENSCCAG00000033107
saimiri_boliviensis ENSSBOG00000025830
callithrix_jacchus ENSCJAG00000000789
aotus_nancymaae ENSANAG00000024143
carlito_syrichta ENSTSYG00000014193
propithecus_coquereli ENSPCOG00000015675
microcebus_murinus ENSMICG00000010463
prolemur_simus ENSPSMG00000016261
otolemur_garnettii ENSOGAG00000012266
heterocephalus_glaber ENSHGLG00100001424
heterocephalus_glaber ENSHGLG00000014595
heterocephalus_glaber ENSHGLG00100001100
heterocephalus_glaber ENSHGLG00100001377
heterocephalus_glaber ENSHGLG00000011555
castor_canadensis ENSCCNG00000026525
pan_troglodytes ENSPTRG00000044181
pan_troglodytes ENSPTRG00000047556
pan_paniscus ENSPPAG00000040673
pan_troglodytes ENSPTRG00000043215
capra_hircus ENSCHIG00000024874
sus_scrofa ENSSSCG00000008787
sorex_araneus ENSSARG00000014375
tupaia_belangeri ENSTBEG00000007829
ochotona_princeps ENSOPRG00000003011
oryctolagus_cuniculus ENSOCUG00000010438
cricetulus_griseus ENSCGRG00001010990
cricetulus_griseus ENSCGRG00000003175
cricetulus_griseus ENSCGRG00015000721
mesocricetus_auratus ENSMAUG00000019052
microtus_ochrogaster ENSMOCG00000000606
peromyscus_maniculatus ENSPEMG00000010526
mus_musculus ENSMUSG00000054920
mus_spretus MGP_SPRETEiJ_G0028238
mus_spicilegus ENSMSIG00000010666
mus_caroli MGP_CAROLIEiJ_G0027243
mus_pahari MGP_PahariEiJ_G0017025
rattus_norvegicus ENSRNOG00000008421
meriones_unguiculatus ENSMUGG00000010497
nannospalax_galili ENSNGAG00000004086
jaculus_jaculus ENSJJAG00000006854
dipodomys_ordii ENSDORG00000010524
castor_canadensis ENSCCNG00000026522
chinchilla_lanigera ENSCLAG00000002937
octodon_degus ENSODEG00000003160
cavia_porcellus ENSCPOG00000004478
cavia_aperea ENSCAPG00000004934
heterocephalus_glaber ENSHGLG00000001944
heterocephalus_glaber ENSHGLG00100003377
fukomys_damarensis ENSFDAG00000015136
marmota_marmota ENSMMMG00000017784
urocitellus_parryii ENSUPAG00010017266
ictidomys_tridecemlineatus ENSSTOG00000007013
spermophilus_dauricus ENSSDAG00000013578
procavia_capensis ENSPCAG00000007521
echinops_telfairi ENSETEG00000018321
loxodonta_africana ENSLAFG00000002282
choloepus_hoffmanni ENSCHOG00000003993
dasypus_novemcinctus ENSDNOG00000041534
ornithorhynchus_anatinus ENSOANG00000010322
xenopus_tropicalis ENSXETG00000018507
latimeria_chalumnae ENSLACG00000003720
lepisosteus_oculatus ENSLOCG00000013045
petromyzon_marinus ENSPMAG00000003979
eptatretus_burgeri ENSEBUG00000003359
eptatretus_burgeri ENSEBUG00000008456
ciona_savignyi ENSCSAVG00000002851
ciona_intestinalis ENSCING00000006681
drosophila_melanogaster FBgn0030114
