xiphophorus_maculatus ENSXMAG00000014888
gambusia_affinis ENSGAFG00000012970
poecilia_mexicana ENSPMEG00000021721
poecilia_formosa ENSPFOG00000018240
poecilia_latipinna ENSPLAG00000020724
poecilia_reticulata ENSPREG00000013244
xiphophorus_couchianus ENSXCOG00000003619
fundulus_heteroclitus ENSFHEG00000005498
cyprinodon_variegatus ENSCVAG00000012095
kryptolebias_marmoratus ENSKMAG00000004222
astatotilapia_calliptera ENSACLG00000023679
haplochromis_burtoni ENSHBUG00000004461
maylandia_zebra ENSMZEG00005008348
pundamilia_nyererei ENSPNYG00000000500
neolamprologus_brichardi ENSNBRG00000023539
amphilophus_citrinellus ENSACIG00000012206
cynoglossus_semilaevis ENSCSEG00000014531
periophthalmus_magnuspinnatus ENSPMGG00000003901
mastacembelus_armatus ENSMAMG00000007023
monopterus_albus ENSMALG00000014378
seriola_dumerili ENSSDUG00000009008
seriola_lalandi_dorsalis ENSSLDG00000024146
amphiprion_ocellaris ENSAOCG00000007042
amphiprion_percula ENSAPEG00000004462
acanthochromis_polyacanthus ENSAPOG00000016406
stegastes_partitus ENSSPAG00000001542
oryzias_latipes ENSORLG00000024419
oryzias_latipes ENSORLG00020021695
oryzias_latipes_asm223469v1 ENSORLG00015020687
oryzias_melastigma ENSOMEG00000003498
anabas_testudineus ENSATEG00000008776
scophthalmus_maximus ENSSMAG00000009670
takifugu_rubripes ENSTRUG00000023096
tetraodon_nigroviridis ENSTNIG00000010087
mola_mola ENSMMOG00000001476
labrus_bergylta ENSLBEG00000009530
hippocampus_comes ENSHCOG00000003660
gasterosteus_aculeatus ENSGACG00000004027
gadus_morhua ENSGMOG00000003323
esox_lucius ENSELUG00000009092
pygocentrus_nattereri ENSPNAG00000013324
astyanax_mexicanus ENSAMXG00000008674
ictalurus_punctatus ENSIPUG00000019604
danio_rerio ENSDARG00000074688
paramormyrops_kingsleyae ENSPKIG00000009503
lepisosteus_oculatus ENSLOCG00000003354
pogona_vitticeps ENSPVIG00000000592
notechis_scutatus ENSNSUG00000019222
salvator_merianae ENSSMRG00000008357
anolis_carolinensis ENSACAG00000011419
sphenodon_punctatus ENSSPUG00000011296
chelonoidis_abingdonii ENSCABG00000004163
gopherus_agassizii ENSGAGG00000005470
chrysemys_picta_bellii ENSCPBG00000013682
pelodiscus_sinensis ENSPSIG00000006019
phascolarctos_cinereus ENSPCIG00000033195
notamacropus_eugenii ENSMEUG00000004538
sarcophilus_harrisii ENSSHAG00000008560
monodelphis_domestica ENSMODG00000001602
heterocephalus_glaber_male ENSHGLG00100008534
heterocephalus_glaber_female ENSHGLG00000013553
