prolemur_simus ENSPSMG00000018154
otolemur_garnettii ENSOGAG00000032381
peromyscus_maniculatus_bairdii ENSPEMG00000024429
cricetulus_griseus_crigri-picr ENSCGRG00015009604
oryctolagus_cuniculus ENSOCUG00000016444
ursus_americanus ENSUAMG00000021820
ailuropoda_melanoleuca ENSAMEG00000007642
mustela_putorius_furo ENSMPUG00000018939
neovison_vison ENSNVIG00000001542
canis_lupus_familiaris ENSCAFG00000024378
canis_lupus_dingo ENSCAFG00020006336
vulpes_vulpes ENSVVUG00000012351
felis_catus ENSFCAG00000029873
equus_asinus_asinus ENSEASG00005000466
bos_mutus ENSBMUG00000019343
bison_bison_bison ENSBBBG00000007179
ovis_aries ENSOARG00000018355
sus_scrofa ENSSSCG00000012194
myotis_lucifugus ENSMLUG00000022187
myotis_lucifugus ENSMLUG00000030314
dasypus_novemcinctus ENSDNOG00000039145
loxodonta_africana ENSLAFG00000028702
