nothoprocta_perdicaria ENSNPEG00000001966
apteryx_rowi ENSARWG00000004790
dromaius_novaehollandiae ENSDNVG00000004248
calidris_pygmaea ENSCPGG00000008521
calidris_pugnax ENSCPUG00000003180
ficedula_albicollis ENSFALG00000014798
parus_major ENSPMJG00000016440
lonchura_striata_domestica ENSLSDG00000011119
taeniopygia_guttata ENSTGUG00000010318
serinus_canaria ENSSCAG00000015536
junco_hyemalis ENSJHYG00000004687
lepidothrix_coronata ENSLCOG00000007929
anser_brachyrhynchus ENSABRG00000003230
anas_platyrhynchos_platyrhynchos ENSAPLG00000028415
gallus_gallus ENSGALG00000015599
coturnix_japonica ENSCJPG00005018560
numida_meleagris ENSNMEG00000019293
crocodylus_porosus ENSCPRG00005003084
chelonoidis_abingdonii ENSCABG00000007604
gopherus_agassizii ENSGAGG00000007644
chrysemys_picta_bellii ENSCPBG00000025053
pelodiscus_sinensis ENSPSIG00000014653
salvator_merianae ENSSMRG00000023415
phascolarctos_cinereus ENSPCIG00000023620
monodelphis_domestica ENSMODG00000028684
sarcophilus_harrisii ENSSHAG00000008914
