scophthalmus_maximus ENSSMAG00000014118
cynoglossus_semilaevis ENSCSEG00000000828
seriola_lalandi ENSSLDG00000021000
seriola_dumerili ENSSDUG00000012809
lates_calcarifer ENSLCAG00010011129
periophthalmus_magnuspinnatus ENSPMGG00000014705
monopterus_albus ENSMALG00000012922
amphiprion_percula ENSAPEG00000019688
acanthochromis_polyacanthus ENSAPOG00000003090
stegastes_partitus ENSSPAG00000009677
poecilia_latipinna ENSPLAG00000010298
poecilia_reticulata ENSPREG00000021224
xiphophorus_couchianus ENSXCOG00000018100
cyprinodon_variegatus ENSCVAG00000009614
neolamprologus_brichardi ENSNBRG00000014551
haplochromis_burtoni ENSHBUG00000016794
amphilophus_citrinellus ENSACIG00000006485
hippocampus_comes ENSHCOG00000003645
hucho_hucho ENSHHUG00000035428
astyanax_mexicanus ENSAMXG00000040480
ictalurus_punctatus ENSIPUG00000002381
erpetoichthys_calabaricus ENSECRG00000005784
amphiprion_ocellaris ENSAOCG00000010106
acanthochromis_polyacanthus ENSAPOG00000009559
neolamprologus_brichardi ENSNBRG00000021271
gouania_willdenowi ENSGWIG00000001893
gambusia_affinis ENSGAFG00000003652
hippocampus_comes ENSHCOG00000001819
astyanax_mexicanus ENSAMXG00000033127
electrophorus_electricus ENSEEEG00000009775
ictalurus_punctatus ENSIPUG00000021566
scleropages_formosus ENSSFOG00015002940
scleropages_formosus ENSSFOG00015004899
notechis_scutatus ENSNSUG00000012213
anas_platyrhynchos ENSAPLG00000023840
nothoprocta_perdicaria ENSNPEG00000013307
chelonoidis_abingdonii ENSCABG00000000120
