bos_mutus ENSBMUG00000012946
bos_taurus ENSBTAG00000012094
bison_bison_bison ENSBBBG00000000928
capra_hircus ENSCHIG00000005189
ovis_aries ENSOARG00000004032
tursiops_truncatus ENSTTRG00000009461
sus_scrofa ENSSSCG00000006520
vicugna_pacos ENSVPAG00000007827
ursus_americanus ENSUAMG00000020523
ursus_maritimus ENSUMAG00000019504
neovison_vison ENSNVIG00000019433
canis_lupus_dingo ENSCAFG00020006563
canis_lupus_familiaris ENSCAFG00000014143
vulpes_vulpes ENSVVUG00000015873
canis_lupus_dingo ENSCAFG00020007113
panthera_pardus ENSPPRG00000023077
panthera_tigris_altaica ENSPTIG00000011445
felis_catus ENSFCAG00000000903
myotis_lucifugus ENSMLUG00000013402
rhinopithecus_roxellana ENSRROG00000028923
rhinopithecus_bieti ENSRBIG00000042144
piliocolobus_tephrosceles ENSPTEG00000031615
colobus_angolensis_palliatus ENSCANG00000031286
macaca_mulatta ENSMMUG00000018313
macaca_nemestrina ENSMNEG00000044530
papio_anubis ENSPANG00000011708
cercocebus_atys ENSCATG00000034948
theropithecus_gelada ENSTGEG00000023768
mandrillus_leucophaeus ENSMLEG00000043201
chlorocebus_sabaeus ENSCSAG00000002017
homo_sapiens ENSG00000116521
gorilla_gorilla ENSGGOG00000009432
pan_troglodytes ENSPTRG00000001418
pan_paniscus ENSPPAG00000029123
pongo_abelii ENSPPYG00000000749
nomascus_leucogenys ENSNLEG00000012031
cebus_capucinus ENSCCAG00000032247
saimiri_boliviensis_boliviensis ENSSBOG00000035685
callithrix_jacchus ENSCJAG00000008486
carlito_syrichta ENSTSYG00000030406
propithecus_coquereli ENSPCOG00000020571
prolemur_simus ENSPSMG00000023708
prolemur_simus ENSPSMG00000016047
microcebus_murinus ENSMICG00000007428
otolemur_garnettii ENSOGAG00000009585
spermophilus_dauricus ENSSDAG00000023574
marmota_marmota_marmota ENSMMMG00000014515
urocitellus_parryii ENSUPAG00010002631
ictidomys_tridecemlineatus ENSSTOG00000008956
chinchilla_lanigera ENSCLAG00000003649
octodon_degus ENSODEG00000010051
cavia_porcellus ENSCPOG00000021356
cavia_aperea ENSCAPG00000001840
heterocephalus_glaber_female ENSHGLG00000013280
heterocephalus_glaber_male ENSHGLG00100019178
fukomys_damarensis ENSFDAG00000004945
castor_canadensis ENSCCNG00000019273
dipodomys_ordii ENSDORG00000011626
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026133
mus_spicilegus ENSMSIG00000025866
mus_musculus ENSMUSG00000028049
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025190
mus_pahari MGP_PahariEiJ_G0026634
meriones_unguiculatus ENSMUGG00000002531
cricetulus_griseus_chok1gshd ENSCGRG00001023330
cricetulus_griseus_crigri-picr ENSCGRG00015002069
cricetulus_griseus_crigri ENSCGRG00000005102
mesocricetus_auratus ENSMAUG00000010273
microtus_ochrogaster ENSMOCG00000004028
peromyscus_maniculatus_bairdii ENSPEMG00000015749
nannospalax_galili ENSNGAG00000001034
jaculus_jaculus ENSJJAG00000019763
loxodonta_africana ENSLAFG00000021677
procavia_capensis ENSPCAG00000014212
dasypus_novemcinctus ENSDNOG00000038444
pteropus_vampyrus ENSPVAG00000005800
echinops_telfairi ENSETEG00000001138
ochotona_princeps ENSOPRG00000000166
ochotona_princeps ENSOPRG00000011128
erinaceus_europaeus ENSEEUG00000001573
notamacropus_eugenii ENSMEUG00000010342
phascolarctos_cinereus ENSPCIG00000034436
phascolarctos_cinereus ENSPCIG00000021702
monodelphis_domestica ENSMODG00000017073
chelonoidis_abingdonii ENSCABG00000017843
gopherus_agassizii ENSGAGG00000018589
chrysemys_picta_bellii ENSCPBG00000025699
