tetraodon_nigroviridis ENSTNIG00000012785
takifugu_rubripes ENSTRUG00000009905
mola_mola ENSMMOG00000004411
labrus_bergylta ENSLBEG00000009322
gasterosteus_aculeatus ENSGACG00000003936
seriola_lalandi_dorsalis ENSSLDG00000021749
seriola_dumerili ENSSDUG00000006876
scophthalmus_maximus ENSSMAG00000011093
monopterus_albus ENSMALG00000008852
mastacembelus_armatus ENSMAMG00000004175
anabas_testudineus ENSATEG00000005285
poecilia_formosa ENSPFOG00000015824
poecilia_mexicana ENSPMEG00000014110
poecilia_latipinna ENSPLAG00000007795
poecilia_reticulata ENSPREG00000008777
xiphophorus_couchianus ENSXCOG00000011502
xiphophorus_maculatus ENSXMAG00000002424
gambusia_affinis ENSGAFG00000003139
fundulus_heteroclitus ENSFHEG00000000401
cyprinodon_variegatus ENSCVAG00000007546
kryptolebias_marmoratus ENSKMAG00000012835
oryzias_latipes ENSORLG00000010581
oryzias_latipes ENSORLG00020010739
oryzias_latipes_asm223469v1 ENSORLG00015010418
oryzias_melastigma ENSOMEG00000004179
maylandia_zebra ENSMZEG00005000448
astatotilapia_calliptera ENSACLG00000000077
haplochromis_burtoni ENSHBUG00000014591
pundamilia_nyererei ENSPNYG00000007048
neolamprologus_brichardi ENSNBRG00000016343
oreochromis_niloticus ENSONIG00000005968
amphilophus_citrinellus ENSACIG00000017978
amphiprion_ocellaris ENSAOCG00000006311
amphiprion_percula ENSAPEG00000015902
acanthochromis_polyacanthus ENSAPOG00000012231
stegastes_partitus ENSSPAG00000000849
periophthalmus_magnuspinnatus ENSPMGG00000002592
cynoglossus_semilaevis ENSCSEG00000000910
hippocampus_comes ENSHCOG00000011748
gadus_morhua ENSGMOG00000005168
esox_lucius ENSELUG00000006363
astyanax_mexicanus ENSAMXG00000019163
pygocentrus_nattereri ENSPNAG00000011023
ictalurus_punctatus ENSIPUG00000013840
danio_rerio ENSDARG00000035978
paramormyrops_kingsleyae ENSPKIG00000012730
scleropages_formosus ENSSFOG00015003988
lepisosteus_oculatus ENSLOCG00000012433
phascolarctos_cinereus ENSPCIG00000027933
notamacropus_eugenii ENSMEUG00000012965
sarcophilus_harrisii ENSSHAG00000018274
monodelphis_domestica ENSMODG00000005239
procavia_capensis ENSPCAG00000015373
loxodonta_africana ENSLAFG00000003403
