gorilla_gorilla ENSGGOG00000012823
homo_sapiens ENSG00000110665
pan_paniscus ENSPPAG00000028313
pan_troglodytes ENSPTRG00000048114
pongo_abelii ENSPPYG00000002927
nomascus_leucogenys ENSNLEG00000002674
cercocebus_atys ENSCATG00000031829
papio_anubis ENSPANG00000034344
macaca_mulatta ENSMMUG00000046812
chlorocebus_sabaeus ENSCSAG00000009777
rhinopithecus_bieti ENSRBIG00000039034
rhinopithecus_roxellana ENSRROG00000029654
colobus_angolensis_palliatus ENSCANG00000042352
theropithecus_gelada ENSTGEG00000026826
mandrillus_leucophaeus ENSMLEG00000034304
macaca_nemestrina ENSMNEG00000041841
macaca_fascicularis ENSMFAG00000033732
piliocolobus_tephrosceles ENSPTEG00000013771
saimiri_boliviensis_boliviensis ENSSBOG00000032981
