seriola_lalandi_dorsalis ENSSLDG00000019873
seriola_dumerili ENSSDUG00000017822
gasterosteus_aculeatus ENSGACG00000009102
xiphophorus_maculatus ENSXMAG00000022199
xiphophorus_couchianus ENSXCOG00000018079
gambusia_affinis ENSGAFG00000001013
poecilia_mexicana ENSPMEG00000020904
poecilia_mexicana ENSPMEG00000010131
poecilia_latipinna ENSPLAG00000011695
poecilia_latipinna ENSPLAG00000002409
poecilia_formosa ENSPFOG00000000391
poecilia_reticulata ENSPREG00000020141
fundulus_heteroclitus ENSFHEG00000001739
cyprinodon_variegatus ENSCVAG00000019959
kryptolebias_marmoratus ENSKMAG00000004161
amphiprion_percula ENSAPEG00000021965
amphiprion_ocellaris ENSAOCG00000008022
acanthochromis_polyacanthus ENSAPOG00000021742
stegastes_partitus ENSSPAG00000016868
scophthalmus_maximus ENSSMAG00000016057
monopterus_albus ENSMALG00000022256
labrus_bergylta ENSLBEG00000021323
anabas_testudineus ENSATEG00000019723
mastacembelus_armatus ENSMAMG00000012179
maylandia_zebra ENSMZEG00005021336
astatotilapia_calliptera ENSACLG00000023975
pundamilia_nyererei ENSPNYG00000015436
haplochromis_burtoni ENSHBUG00000008151
neolamprologus_brichardi ENSNBRG00000016303
oreochromis_niloticus ENSONIG00000013796
amphilophus_citrinellus ENSACIG00000020498
periophthalmus_magnuspinnatus ENSPMGG00000007012
mola_mola ENSMMOG00000000708
cynoglossus_semilaevis ENSCSEG00000002821
oryzias_melastigma ENSOMEG00000019618
oryzias_latipes_asm223469v1 ENSORLG00015001115
tetraodon_nigroviridis ENSTNIG00000006711
takifugu_rubripes ENSTRUG00000015268
hippocampus_comes ENSHCOG00000004191
gadus_morhua ENSGMOG00000006918
esox_lucius ENSELUG00000005600
pygocentrus_nattereri ENSPNAG00000025574
astyanax_mexicanus ENSAMXG00000014983
ictalurus_punctatus ENSIPUG00000023753
danio_rerio ENSDARG00000016059
paramormyrops_kingsleyae ENSPKIG00000000335
scleropages_formosus ENSSFOG00015023413
lepisosteus_oculatus ENSLOCG00000004128
paramormyrops_kingsleyae ENSPKIG00000016939
xenopus_tropicalis ENSXETG00000001082
latimeria_chalumnae ENSLACG00000005991
