cottoperca_gobio ENSCGOG00000012152
larimichthys_crocea ENSLCRG00005004327
acanthochromis_polyacanthus ENSAPOG00000014379
acanthochromis_polyacanthus ENSAPOG00000021812
stegastes_partitus ENSSPAG00000002720
haplochromis_burtoni ENSHBUG00000019482
astatotilapia_calliptera ENSACLG00000000218
lates_calcarifer ENSLCAG00010019223
scophthalmus_maximus ENSSMAG00000009520
seriola_dumerili ENSSDUG00000001080
seriola_lalandi ENSSLDG00000010761
poecilia_latipinna ENSPLAG00000017057
poecilia_mexicana ENSPMEG00000024297
oryzias_latipes ENSORLG00000027154
oryzias_latipes ENSORLG00020002335
oryzias_melastigma ENSOMEG00000021622
amphiprion_percula ENSAPEG00000007126
amphiprion_ocellaris ENSAOCG00000020953
stegastes_partitus ENSSPAG00000018395
mola_mola ENSMMOG00000015168
takifugu_rubripes ENSTRUG00000020188
pundamilia_nyererei ENSPNYG00000010993
astatotilapia_calliptera ENSACLG00000000069
anabas_testudineus ENSATEG00000020168
mola_mola ENSMMOG00000016326
mola_mola ENSMMOG00000016411
scophthalmus_maximus ENSSMAG00000000894
larimichthys_crocea ENSLCRG00005004328
stegastes_partitus ENSSPAG00000002735
amphilophus_citrinellus ENSACIG00000012318
mastacembelus_armatus ENSMAMG00000000146
betta_splendens ENSBSLG00000025807
larimichthys_crocea ENSLCRG00005019215
poecilia_mexicana ENSPMEG00000005794
periophthalmus_magnuspinnatus ENSPMGG00000001825
