mola_mola ENSMMOG00000001243
takifugu_rubripes ENSTRUG00000008905
gasterosteus_aculeatus ENSGACG00000016190
anabas_testudineus ENSATEG00000020706
monopterus_albus ENSMALG00000006694
seriola_dumerili ENSSDUG00000001032
seriola_lalandi_dorsalis ENSSLDG00000024261
scophthalmus_maximus ENSSMAG00000005089
amphiprion_ocellaris ENSAOCG00000001445
amphiprion_percula ENSAPEG00000004920
acanthochromis_polyacanthus ENSAPOG00000021131
stegastes_partitus ENSSPAG00000013750
xiphophorus_maculatus ENSXMAG00000015125
xiphophorus_couchianus ENSXCOG00000012180
poecilia_formosa ENSPFOG00000014027
fundulus_heteroclitus ENSFHEG00000010221
kryptolebias_marmoratus ENSKMAG00000020043
oryzias_latipes ENSORLG00000010987
oryzias_latipes_asm223469v1 ENSORLG00015001481
oryzias_melastigma ENSOMEG00000010242
astatotilapia_calliptera ENSACLG00000009476
maylandia_zebra ENSMZEG00005010919
pundamilia_nyererei ENSPNYG00000016939
haplochromis_burtoni ENSHBUG00000018682
neolamprologus_brichardi ENSNBRG00000003597
oreochromis_niloticus ENSONIG00000017088
amphilophus_citrinellus ENSACIG00000008187
gadus_morhua ENSGMOG00000013444
esox_lucius ENSELUG00000018317
poecilia_mexicana ENSPMEG00000012558
poecilia_latipinna ENSPLAG00000014753
danio_rerio ENSDARG00000055133
scleropages_formosus ENSSFOG00015017861
paramormyrops_kingsleyae ENSPKIG00000003704
lepisosteus_oculatus ENSLOCG00000016707
gambusia_affinis ENSGAFG00000005631
oryzias_latipes ENSORLG00020003293
labrus_bergylta ENSLBEG00000003424
hippocampus_comes ENSHCOG00000013497
cyprinodon_variegatus ENSCVAG00000010864
poecilia_reticulata ENSPREG00000010397
mastacembelus_armatus ENSMAMG00000020404
periophthalmus_magnuspinnatus ENSPMGG00000002015
gopherus_agassizii ENSGAGG00000019901
chelonoidis_abingdonii ENSCABG00000009430
crocodylus_porosus ENSCPRG00005000744
anolis_carolinensis ENSACAG00000005901
pogona_vitticeps ENSPVIG00000021296
notechis_scutatus ENSNSUG00000012781
phascolarctos_cinereus ENSPCIG00000028486
notamacropus_eugenii ENSMEUG00000006343
