hippocampus_comes ENSHCOG00000002543
periophthalmus_magnuspinnatus ENSPMGG00000016251
poecilia_latipinna ENSPLAG00000003102
poecilia_mexicana ENSPMEG00000000526
poecilia_reticulata ENSPREG00000012253
gambusia_affinis ENSGAFG00000000350
xiphophorus_couchianus ENSXCOG00000018187
xiphophorus_maculatus ENSXMAG00000024739
fundulus_heteroclitus ENSFHEG00000011337
cyprinodon_variegatus ENSCVAG00000001953
kryptolebias_marmoratus ENSKMAG00000002389
oryzias_latipes_asm223469v1 ENSORLG00015012601
oryzias_latipes ENSORLG00020021462
oryzias_melastigma ENSOMEG00000000702
astatotilapia_calliptera ENSACLG00000014412
maylandia_zebra ENSMZEG00005003477
pundamilia_nyererei ENSPNYG00000016079
haplochromis_burtoni ENSHBUG00000010677
neolamprologus_brichardi ENSNBRG00000018812
amphilophus_citrinellus ENSACIG00000017528
stegastes_partitus ENSSPAG00000011727
stegastes_partitus ENSSPAG00000015033
amphiprion_ocellaris ENSAOCG00000015267
amphiprion_percula ENSAPEG00000008989
acanthochromis_polyacanthus ENSAPOG00000021922
monopterus_albus ENSMALG00000016157
mastacembelus_armatus ENSMAMG00000023251
anabas_testudineus ENSATEG00000015723
seriola_dumerili ENSSDUG00000023711
seriola_lalandi_dorsalis ENSSLDG00000011476
cynoglossus_semilaevis ENSCSEG00000008030
mola_mola ENSMMOG00000001470
takifugu_rubripes ENSTRUG00000023530
labrus_bergylta ENSLBEG00000026397
