hippocampus_comes ENSHCOG00000021113
periophthalmus_magnuspinnatus ENSPMGG00000012219
xiphophorus_maculatus ENSXMAG00000018391
xiphophorus_couchianus ENSXCOG00000004667
gambusia_affinis ENSGAFG00000011664
poecilia_formosa ENSPFOG00000009142
poecilia_mexicana ENSPMEG00000007768
poecilia_latipinna ENSPLAG00000010757
poecilia_reticulata ENSPREG00000004347
fundulus_heteroclitus ENSFHEG00000000110
cyprinodon_variegatus ENSCVAG00000010245
oryzias_latipes ENSORLG00020002016
oryzias_latipes_asm223469v1 ENSORLG00015022076
oryzias_latipes ENSORLG00000019493
oryzias_melastigma ENSOMEG00000021259
maylandia_zebra ENSMZEG00005014571
pundamilia_nyererei ENSPNYG00000020005
astatotilapia_calliptera ENSACLG00000015705
haplochromis_burtoni ENSHBUG00000013954
neolamprologus_brichardi ENSNBRG00000005713
oreochromis_niloticus ENSONIG00000011785
amphilophus_citrinellus ENSACIG00000022725
amphiprion_percula ENSAPEG00000002488
amphiprion_ocellaris ENSAOCG00000013403
acanthochromis_polyacanthus ENSAPOG00000007641
stegastes_partitus ENSSPAG00000002887
labrus_bergylta ENSLBEG00000018882
gasterosteus_aculeatus ENSGACG00000004323
takifugu_rubripes ENSTRUG00000005547
tetraodon_nigroviridis ENSTNIG00000002586
mola_mola ENSMMOG00000020316
monopterus_albus ENSMALG00000009254
mastacembelus_armatus ENSMAMG00000005028
anabas_testudineus ENSATEG00000013426
scophthalmus_maximus ENSSMAG00000002788
cynoglossus_semilaevis ENSCSEG00000012530
seriola_dumerili ENSSDUG00000010191
seriola_lalandi_dorsalis ENSSLDG00000019187
gadus_morhua ENSGMOG00000014251
pygocentrus_nattereri ENSPNAG00000003593
ictalurus_punctatus ENSIPUG00000018223
danio_rerio ENSDARG00000022000
esox_lucius ENSELUG00000004411
scleropages_formosus ENSSFOG00015010633
paramormyrops_kingsleyae ENSPKIG00000003344
lepisosteus_oculatus ENSLOCG00000009826
pygocentrus_nattereri ENSPNAG00000001638
astyanax_mexicanus ENSAMXG00000004662
ictalurus_punctatus ENSIPUG00000002193
danio_rerio ENSDARG00000017240
monopterus_albus ENSMALG00000008482
mastacembelus_armatus ENSMAMG00000019441
anabas_testudineus ENSATEG00000019148
seriola_lalandi_dorsalis ENSSLDG00000001111
seriola_dumerili ENSSDUG00000018394
scophthalmus_maximus ENSSMAG00000021157
labrus_bergylta ENSLBEG00000023807
mola_mola ENSMMOG00000018556
oryzias_latipes ENSORLG00000001109
oryzias_latipes ENSORLG00020017111
oryzias_latipes_asm223469v1 ENSORLG00015016427
oryzias_melastigma ENSOMEG00000008226
kryptolebias_marmoratus ENSKMAG00000012583
maylandia_zebra ENSMZEG00005014986
astatotilapia_calliptera ENSACLG00000013405
pundamilia_nyererei ENSPNYG00000017708
haplochromis_burtoni ENSHBUG00000008709
neolamprologus_brichardi ENSNBRG00000008238
oreochromis_niloticus ENSONIG00000016125
amphilophus_citrinellus ENSACIG00000017597
amphiprion_percula ENSAPEG00000024127
amphiprion_percula ENSAPEG00000024136
amphiprion_ocellaris ENSAOCG00000003128
acanthochromis_polyacanthus ENSAPOG00000013977
stegastes_partitus ENSSPAG00000018343
petromyzon_marinus ENSPMAG00000000066
eptatretus_burgeri ENSEBUG00000013814
petromyzon_marinus ENSPMAG00000001936
eptatretus_burgeri ENSEBUG00000002897
ciona_savignyi ENSCSAVG00000001610
ciona_savignyi ENSCSAVG00000007207
ciona_savignyi ENSCSAVG00000001601
ciona_savignyi ENSCSAVG00000001608
ciona_savignyi ENSCSAVG00000001607
ciona_savignyi ENSCSAVG00000006084
ciona_savignyi ENSCSAVG00000001605
ciona_savignyi ENSCSAVG00000001603
ciona_intestinalis ENSCING00000001576
ciona_intestinalis ENSCING00000015912
ciona_intestinalis ENSCING00000000553
ciona_intestinalis ENSCING00000021357
ciona_intestinalis ENSCING00000002932
