aotus_nancymaae ENSANAG00000024037
callithrix_jacchus ENSCJAG00000042450
pan_troglodytes ENSPTRG00000045168
pan_troglodytes ENSPTRG00000014046
pan_paniscus ENSPPAG00000003105
gorilla_gorilla ENSGGOG00000023985
nomascus_leucogenys ENSNLEG00000030389
cercocebus_atys ENSCATG00000033170
papio_anubis ENSPANG00000033013
macaca_fascicularis ENSMFAG00000043735
macaca_nemestrina ENSMNEG00000030742
mandrillus_leucophaeus ENSMLEG00000033290
rhinopithecus_bieti ENSRBIG00000026738
rhinopithecus_roxellana ENSRROG00000028570
colobus_angolensis ENSCANG00000028888
spermophilus_dauricus ENSSDAG00000018733
erinaceus_europaeus ENSEEUG00000001817
echinops_telfairi ENSETEG00000019905
