bos_taurus ENSBTAG00000048237
bos_mutus ENSBMUG00000019641
bison_bison_bison ENSBBBG00000006877
capra_hircus ENSCHIG00000020738
ovis_aries ENSOARG00000013453
erinaceus_europaeus ENSEEUG00000013646
oryctolagus_cuniculus ENSOCUG00000000732
ochotona_princeps ENSOPRG00000003397
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020253
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019358
mus_musculus ENSMUSG00000021974
mus_pahari MGP_PahariEiJ_G0030377
rattus_norvegicus ENSRNOG00000011471
meriones_unguiculatus ENSMUGG00000016012
peromyscus_maniculatus_bairdii ENSPEMG00000028908
microtus_ochrogaster ENSMOCG00000023005
cricetulus_griseus_chok1gshd ENSCGRG00001000618
cricetulus_griseus_crigri ENSCGRG00000014236
cricetulus_griseus_crigri-picr ENSCGRG00015012538
mesocricetus_auratus ENSMAUG00000019224
nannospalax_galili ENSNGAG00000014858
jaculus_jaculus ENSJJAG00000011529
heterocephalus_glaber_male ENSHGLG00100000474
heterocephalus_glaber_female ENSHGLG00000007726
fukomys_damarensis ENSFDAG00000012025
chinchilla_lanigera ENSCLAG00000004805
octodon_degus ENSODEG00000004539
ictidomys_tridecemlineatus ENSSTOG00000027795
urocitellus_parryii ENSUPAG00010019175
spermophilus_dauricus ENSSDAG00000020649
prolemur_simus ENSPSMG00000007865
microcebus_murinus ENSMICG00000029695
propithecus_coquereli ENSPCOG00000014207
otolemur_garnettii ENSOGAG00000032363
pan_troglodytes ENSPTRG00000005698
pan_paniscus ENSPPAG00000003991
homo_sapiens ENSG00000102678
gorilla_gorilla ENSGGOG00000004983
pongo_abelii ENSPPYG00000005203
nomascus_leucogenys ENSNLEG00000013315
macaca_nemestrina ENSMNEG00000034148
macaca_mulatta ENSMMUG00000009912
macaca_fascicularis ENSMFAG00000036769
mandrillus_leucophaeus ENSMLEG00000029530
cercocebus_atys ENSCATG00000029266
papio_anubis ENSPANG00000032017
theropithecus_gelada ENSTGEG00000018179
chlorocebus_sabaeus ENSCSAG00000018049
piliocolobus_tephrosceles ENSPTEG00000014033
colobus_angolensis_palliatus ENSCANG00000032767
rhinopithecus_roxellana ENSRROG00000034138
rhinopithecus_bieti ENSRBIG00000038855
saimiri_boliviensis_boliviensis ENSSBOG00000003885
cebus_capucinus ENSCCAG00000021640
callithrix_jacchus ENSCJAG00000041037
aotus_nancymaae ENSANAG00000017308
castor_canadensis ENSCCNG00000010066
dipodomys_ordii ENSDORG00000027347
tupaia_belangeri ENSTBEG00000001458
ursus_americanus ENSUAMG00000004412
ursus_maritimus ENSUMAG00000015110
ailuropoda_melanoleuca ENSAMEG00000010945
neovison_vison ENSNVIG00000017958
mustela_putorius_furo ENSMPUG00000000623
canis_lupus_dingo ENSCAFG00020025429
canis_lupus_familiaris ENSCAFG00000029890
vulpes_vulpes ENSVVUG00000007684
panthera_pardus ENSPPRG00000000647
panthera_tigris_altaica ENSPTIG00000016674
felis_catus ENSFCAG00000030874
myotis_lucifugus ENSMLUG00000004365
pteropus_vampyrus ENSPVAG00000015682
tursiops_truncatus ENSTTRG00000000671
sus_scrofa ENSSSCG00000009278
equus_caballus ENSECAG00000018716
equus_asinus_asinus ENSEASG00005022781
procavia_capensis ENSPCAG00000008815
echinops_telfairi ENSETEG00000009768
loxodonta_africana ENSLAFG00000017616
dasypus_novemcinctus ENSDNOG00000032583
choloepus_hoffmanni ENSCHOG00000009782
sorex_araneus ENSSARG00000012660
cavia_aperea ENSCAPG00000012944
cavia_porcellus ENSCPOG00000036289
mus_spicilegus ENSMSIG00000008391
marmota_marmota_marmota ENSMMMG00000008560
carlito_syrichta ENSTSYG00000033947
ornithorhynchus_anatinus ENSOANG00000009032
notamacropus_eugenii ENSMEUG00000015247
phascolarctos_cinereus ENSPCIG00000037480
sarcophilus_harrisii ENSSHAG00000006630
monodelphis_domestica ENSMODG00000008336
apteryx_owenii ENSAOWG00000002965
apteryx_haastii ENSAHAG00000006939
apteryx_rowi ENSARWG00000011861
anser_brachyrhynchus ENSABRG00000020425
anas_platyrhynchos_platyrhynchos ENSAPLG00000010854
calidris_pugnax ENSCPUG00000014729
calidris_pygmaea ENSCPGG00000018628
lonchura_striata_domestica ENSLSDG00000013569
taeniopygia_guttata ENSTGUG00000011406
serinus_canaria ENSSCAG00000005425
junco_hyemalis ENSJHYG00000006165
zonotrichia_albicollis ENSZALG00000011877
parus_major ENSPMJG00000017523
cyanistes_caeruleus ENSCCEG00000004656
ficedula_albicollis ENSFALG00000008712
lepidothrix_coronata ENSLCOG00000005933
melopsittacus_undulatus ENSMUNG00000003771
nothoprocta_perdicaria ENSNPEG00000004306
dromaius_novaehollandiae ENSDNVG00000008834
crocodylus_porosus ENSCPRG00005013011
gopherus_agassizii ENSGAGG00000002627
chelonoidis_abingdonii ENSCABG00000011960
chrysemys_picta_bellii ENSCPBG00000020735
pelodiscus_sinensis ENSPSIG00000008031
sphenodon_punctatus ENSSPUG00000014441
numida_meleagris ENSNMEG00000019414
gallus_gallus ENSGALG00000025748
coturnix_japonica ENSCJPG00005001284
meleagris_gallopavo ENSMGAG00000011612
cyanistes_caeruleus ENSCCEG00000023823
manacus_vitellinus ENSMVIG00005000469
pogona_vitticeps ENSPVIG00000001370
notechis_scutatus ENSNSUG00000013444
salvator_merianae ENSSMRG00000014791
anolis_carolinensis ENSACAG00000002904
xenopus_tropicalis ENSXETG00000021075
lepisosteus_oculatus ENSLOCG00000001730
