cyprinodon_variegatus ENSCVAG00000016277
fundulus_heteroclitus ENSFHEG00000005068
poecilia_formosa ENSPFOG00000006869
poecilia_mexicana ENSPMEG00000016988
poecilia_reticulata ENSPREG00000020245
gambusia_affinis ENSGAFG00000015084
gambusia_affinis ENSGAFG00000015089
xiphophorus_maculatus ENSXMAG00000008666
xiphophorus_couchianus ENSXCOG00000005014
poecilia_latipinna ENSPLAG00000023782
oryzias_latipes ENSORLG00000005471
oryzias_latipes_asm223469v1 ENSORLG00015010362
oryzias_latipes ENSORLG00020012540
oryzias_melastigma ENSOMEG00000008118
seriola_lalandi_dorsalis ENSSLDG00000022788
cynoglossus_semilaevis ENSCSEG00000018098
takifugu_rubripes ENSTRUG00000022229
anabas_testudineus ENSATEG00000016052
cynoglossus_semilaevis ENSCSEG00000018114
astatotilapia_calliptera ENSACLG00000021657
maylandia_zebra ENSMZEG00005002928
haplochromis_burtoni ENSHBUG00000017029
pundamilia_nyererei ENSPNYG00000021207
neolamprologus_brichardi ENSNBRG00000006591
oreochromis_niloticus ENSONIG00000013512
amphilophus_citrinellus ENSACIG00000024019
gasterosteus_aculeatus ENSGACG00000019760
tetraodon_nigroviridis ENSTNIG00000002568
periophthalmus_magnuspinnatus ENSPMGG00000014663
mola_mola ENSMMOG00000014229
labrus_bergylta ENSLBEG00000015918
amphiprion_percula ENSAPEG00000021001
amphiprion_ocellaris ENSAOCG00000005175
acanthochromis_polyacanthus ENSAPOG00000024044
stegastes_partitus ENSSPAG00000013134
seriola_dumerili ENSSDUG00000021257
seriola_lalandi_dorsalis ENSSLDG00000022702
scophthalmus_maximus ENSSMAG00000017856
monopterus_albus ENSMALG00000018999
mastacembelus_armatus ENSMAMG00000008785
hippocampus_comes ENSHCOG00000017696
gadus_morhua ENSGMOG00000000397
scleropages_formosus ENSSFOG00015008324
paramormyrops_kingsleyae ENSPKIG00000024871
astyanax_mexicanus ENSAMXG00000017719
pygocentrus_nattereri ENSPNAG00000001520
ictalurus_punctatus ENSIPUG00000001586
danio_rerio ENSDARG00000068246
esox_lucius ENSELUG00000011845
kryptolebias_marmoratus ENSKMAG00000007431
anolis_carolinensis ENSACAG00000000781
pogona_vitticeps ENSPVIG00000015843
salvator_merianae ENSSMRG00000010327
sphenodon_punctatus ENSSPUG00000005615
chelonoidis_abingdonii ENSCABG00000000637
gopherus_agassizii ENSGAGG00000019208
chrysemys_picta_bellii ENSCPBG00000023470
pelodiscus_sinensis ENSPSIG00000012099
notamacropus_eugenii ENSMEUG00000004985
phascolarctos_cinereus ENSPCIG00000008044
monodelphis_domestica ENSMODG00000006783
sarcophilus_harrisii ENSSHAG00000004792
mus_spicilegus ENSMSIG00000029833
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023532
mus_musculus ENSMUSG00000024960
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022621
mus_pahari MGP_PahariEiJ_G0014115
rattus_norvegicus ENSRNOG00000021150
meriones_unguiculatus ENSMUGG00000004341
cricetulus_griseus_crigri-picr ENSCGRG00015010838
cricetulus_griseus_chok1gshd ENSCGRG00001015760
cricetulus_griseus_crigri ENSCGRG00000010004
microtus_ochrogaster ENSMOCG00000003068
peromyscus_maniculatus_bairdii ENSPEMG00000015923
nannospalax_galili ENSNGAG00000012120
jaculus_jaculus ENSJJAG00000022408
cavia_porcellus ENSCPOG00000021694
cavia_aperea ENSCAPG00000014970
chinchilla_lanigera ENSCLAG00000016775
octodon_degus ENSODEG00000015366
heterocephalus_glaber_male ENSHGLG00100014502
heterocephalus_glaber_female ENSHGLG00000014067
fukomys_damarensis ENSFDAG00000018730
dipodomys_ordii ENSDORG00000001633
castor_canadensis ENSCCNG00000026308
ictidomys_tridecemlineatus ENSSTOG00000008397
urocitellus_parryii ENSUPAG00010007660
marmota_marmota_marmota ENSMMMG00000007736
tupaia_belangeri ENSTBEG00000009025
microcebus_murinus ENSMICG00000016970
propithecus_coquereli ENSPCOG00000027858
prolemur_simus ENSPSMG00000003710
otolemur_garnettii ENSOGAG00000007150
pan_troglodytes ENSPTRG00000003828
pan_paniscus ENSPPAG00000040477
homo_sapiens ENSG00000149782
gorilla_gorilla ENSGGOG00000012218
pongo_abelii ENSPPYG00000003111
nomascus_leucogenys ENSNLEG00000004895
colobus_angolensis_palliatus ENSCANG00000043465
piliocolobus_tephrosceles ENSPTEG00000019616
rhinopithecus_roxellana ENSRROG00000033756
rhinopithecus_bieti ENSRBIG00000035714
papio_anubis ENSPANG00000016553
