numida_meleagris ENSNMEG00000007140
coturnix_japonica ENSCJPG00005015255
anas_platyrhynchos_platyrhynchos ENSAPLG00000025735
parus_major ENSPMJG00000002931
cyanistes_caeruleus ENSCCEG00000005137
zonotrichia_albicollis ENSZALG00000009138
lonchura_striata_domestica ENSLSDG00000011959
calidris_pygmaea ENSCPGG00000013778
apteryx_haastii ENSAHAG00000002291
crocodylus_porosus ENSCPRG00005007482
chelonoidis_abingdonii ENSCABG00000008222
gopherus_agassizii ENSGAGG00000005366
chrysemys_picta_bellii ENSCPBG00000008707
pogona_vitticeps ENSPVIG00000020629
sarcophilus_harrisii ENSSHAG00000012586
