astatotilapia_calliptera ENSACLG00000013403
maylandia_zebra ENSMZEG00005019066
haplochromis_burtoni ENSHBUG00000023130
pundamilia_nyererei ENSPNYG00000015281
neolamprologus_brichardi ENSNBRG00000004636
amphilophus_citrinellus ENSACIG00000004757
kryptolebias_marmoratus ENSKMAG00000021917
amphiprion_percula ENSAPEG00000008469
amphiprion_ocellaris ENSAOCG00000003714
acanthochromis_polyacanthus ENSAPOG00000005983
stegastes_partitus ENSSPAG00000017360
labrus_bergylta ENSLBEG00000017833
takifugu_rubripes ENSTRUG00000021401
