gorilla_gorilla ENSGGOG00000016026
homo_sapiens ENSG00000103160
pan_paniscus ENSPPAG00000038992
pan_troglodytes ENSPTRG00000008409
pongo_abelii ENSPPYG00000007598
nomascus_leucogenys ENSNLEG00000010992
rhinopithecus_roxellana ENSRROG00000029911
rhinopithecus_bieti ENSRBIG00000006504
piliocolobus_tephrosceles ENSPTEG00000010543
colobus_angolensis_palliatus ENSCANG00000023559
cercocebus_atys ENSCATG00000030136
papio_anubis ENSPANG00000026306
theropithecus_gelada ENSTGEG00000017941
macaca_mulatta ENSMMUG00000045253
macaca_fascicularis ENSMFAG00000041105
macaca_nemestrina ENSMNEG00000033136
mandrillus_leucophaeus ENSMLEG00000031523
chlorocebus_sabaeus ENSCSAG00000003370
saimiri_boliviensis_boliviensis ENSSBOG00000022239
callithrix_jacchus ENSCJAG00000003920
cebus_capucinus ENSCCAG00000020554
aotus_nancymaae ENSANAG00000025556
carlito_syrichta ENSTSYG00000011286
heterocephalus_glaber_female ENSHGLG00000014586
heterocephalus_glaber_male ENSHGLG00100000827
fukomys_damarensis ENSFDAG00000008908
chinchilla_lanigera ENSCLAG00000001099
spermophilus_dauricus ENSSDAG00000023450
marmota_marmota_marmota ENSMMMG00000011916
urocitellus_parryii ENSUPAG00010022091
ictidomys_tridecemlineatus ENSSTOG00000020151
propithecus_coquereli ENSPCOG00000001727
microcebus_murinus ENSMICG00000012329
prolemur_simus ENSPSMG00000006312
otolemur_garnettii ENSOGAG00000009323
mus_musculus ENSMUSG00000034189
mus_spicilegus ENSMSIG00000018978
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032739
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031621
mus_pahari MGP_PahariEiJ_G0023219
rattus_norvegicus ENSRNOG00000015576
meriones_unguiculatus ENSMUGG00000007293
peromyscus_maniculatus_bairdii ENSPEMG00000013927
microtus_ochrogaster ENSMOCG00000017214
cricetulus_griseus_chok1gshd ENSCGRG00001016417
cricetulus_griseus_crigri ENSCGRG00000014964
cricetulus_griseus_crigri-picr ENSCGRG00015022999
mesocricetus_auratus ENSMAUG00000011417
castor_canadensis ENSCCNG00000021422
ochotona_princeps ENSOPRG00000007845
oryctolagus_cuniculus ENSOCUG00000014945
echinops_telfairi ENSETEG00000015330
sorex_araneus ENSSARG00000001802
equus_caballus ENSECAG00000009577
equus_asinus_asinus ENSEASG00005013722
ovis_aries ENSOARG00000010305
capra_hircus ENSCHIG00000008948
bos_taurus ENSBTAG00000018770
bos_mutus ENSBMUG00000025664
bison_bison_bison ENSBBBG00000018926
tursiops_truncatus ENSTTRG00000002065
sus_scrofa ENSSSCG00000002681
vicugna_pacos ENSVPAG00000002140
ursus_maritimus ENSUMAG00000015728
ursus_americanus ENSUAMG00000005362
ailuropoda_melanoleuca ENSAMEG00000006337
mustela_putorius_furo ENSMPUG00000008941
neovison_vison ENSNVIG00000020668
canis_lupus_familiaris ENSCAFG00000019965
