dromaius_novaehollandiae ENSDNVG00000003891
nothoprocta_perdicaria ENSNPEG00000004805
apteryx_owenii ENSAOWG00000012377
apteryx_haastii ENSAHAG00000017654
apteryx_rowi ENSARWG00000004814
anas_platyrhynchos_platyrhynchos ENSAPLG00000007506
anser_brachyrhynchus ENSABRG00000016370
coturnix_japonica ENSCJPG00005005604
numida_meleagris ENSNMEG00000015253
calidris_pugnax ENSCPUG00000005529
calidris_pygmaea ENSCPGG00000010661
melopsittacus_undulatus ENSMUNG00000005082
crocodylus_porosus ENSCPRG00005015175
chelonoidis_abingdonii ENSCABG00000002203
gopherus_agassizii ENSGAGG00000025297
chrysemys_picta_bellii ENSCPBG00000005976
pelodiscus_sinensis ENSPSIG00000012255
anolis_carolinensis ENSACAG00000005962
pogona_vitticeps ENSPVIG00000016919
salvator_merianae ENSSMRG00000020217
sphenodon_punctatus ENSSPUG00000008896
notechis_scutatus ENSNSUG00000005393
phascolarctos_cinereus ENSPCIG00000003341
notamacropus_eugenii ENSMEUG00000001994
monodelphis_domestica ENSMODG00000008058
sarcophilus_harrisii ENSSHAG00000018177
ursus_americanus ENSUAMG00000005586
mustela_putorius_furo ENSMPUG00000004190
canis_lupus_dingo ENSCAFG00020015956
canis_lupus_familiaris ENSCAFG00000001915
vulpes_vulpes ENSVVUG00000021011
panthera_tigris_altaica ENSPTIG00000012519
panthera_pardus ENSPPRG00000009482
felis_catus ENSFCAG00000011376
sorex_araneus ENSSARG00000003819
vicugna_pacos ENSVPAG00000007998
tursiops_truncatus ENSTTRG00000010596
pteropus_vampyrus ENSPVAG00000007997
mus_musculus ENSMUSG00000028441
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025915
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026863
mus_spicilegus ENSMSIG00000005849
mus_pahari MGP_PahariEiJ_G0024038
rattus_norvegicus ENSRNOG00000013320
meriones_unguiculatus ENSMUGG00000019168
cricetulus_griseus_chok1gshd ENSCGRG00001012382
cricetulus_griseus_crigri-picr ENSCGRG00015004520
cricetulus_griseus_crigri ENSCGRG00000002647
mesocricetus_auratus ENSMAUG00000021848
microtus_ochrogaster ENSMOCG00000018984
peromyscus_maniculatus_bairdii ENSPEMG00000009277
nannospalax_galili ENSNGAG00000014703
jaculus_jaculus ENSJJAG00000017096
castor_canadensis ENSCCNG00000027336
dipodomys_ordii ENSDORG00000000551
cavia_aperea ENSCAPG00000015840
cavia_porcellus ENSCPOG00000013343
chinchilla_lanigera ENSCLAG00000001676
octodon_degus ENSODEG00000014908
heterocephalus_glaber_female ENSHGLG00000010390
heterocephalus_glaber_male ENSHGLG00100018548
fukomys_damarensis ENSFDAG00000013268
marmota_marmota_marmota ENSMMMG00000008434
urocitellus_parryii ENSUPAG00010007130
spermophilus_dauricus ENSSDAG00000024513
ictidomys_tridecemlineatus ENSSTOG00000010116
oryctolagus_cuniculus ENSOCUG00000004770
ochotona_princeps ENSOPRG00000009145
pan_paniscus ENSPPAG00000031818
pan_troglodytes ENSPTRG00000020878
homo_sapiens ENSG00000164972
gorilla_gorilla ENSGGOG00000004937
nomascus_leucogenys ENSNLEG00000004925
rhinopithecus_roxellana ENSRROG00000044236
rhinopithecus_bieti ENSRBIG00000042229
colobus_angolensis_palliatus ENSCANG00000042726
piliocolobus_tephrosceles ENSPTEG00000016618
papio_anubis ENSPANG00000025321
theropithecus_gelada ENSTGEG00000010136
cercocebus_atys ENSCATG00000041770
mandrillus_leucophaeus ENSMLEG00000037871
macaca_mulatta ENSMMUG00000020771
macaca_nemestrina ENSMNEG00000045126
macaca_fascicularis ENSMFAG00000046012
chlorocebus_sabaeus ENSCSAG00000010041
saimiri_boliviensis_boliviensis ENSSBOG00000028576
cebus_capucinus ENSCCAG00000030127
callithrix_jacchus ENSCJAG00000008549
aotus_nancymaae ENSANAG00000025423
carlito_syrichta ENSTSYG00000008839
prolemur_simus ENSPSMG00000017037
propithecus_coquereli ENSPCOG00000016299
otolemur_garnettii ENSOGAG00000025862
tupaia_belangeri ENSTBEG00000003478
loxodonta_africana ENSLAFG00000031208
procavia_capensis ENSPCAG00000009457
echinops_telfairi ENSETEG00000008482
dasypus_novemcinctus ENSDNOG00000038983
bos_mutus ENSBMUG00000017788
bison_bison_bison ENSBBBG00000012029
capra_hircus ENSCHIG00000014063
ovis_aries ENSOARG00000009281
sus_scrofa ENSSSCG00000010980
myotis_lucifugus ENSMLUG00000006868
equus_caballus ENSECAG00000011566
equus_asinus_asinus ENSEASG00005004156
ailuropoda_melanoleuca ENSAMEG00000014671
neovison_vison ENSNVIG00000000241
microcebus_murinus ENSMICG00000002348
ornithorhynchus_anatinus ENSOANG00000004533
