tupaia_belangeri ENSTBEG00000014320
castor_canadensis ENSCCNG00000018267
pan_troglodytes ENSPTRG00000052774
pan_paniscus ENSPPAG00000042324
gorilla_gorilla ENSGGOG00000038925
homo_sapiens ENSG00000182983
pongo_abelii ENSPPYG00000013971
nomascus_leucogenys ENSNLEG00000033734
mandrillus_leucophaeus ENSMLEG00000010851
chlorocebus_sabaeus ENSCSAG00000016725
papio_anubis ENSPANG00000020683
cercocebus_atys ENSCATG00000021840
macaca_mulatta ENSMMUG00000006473
macaca_fascicularis ENSMFAG00000035191
macaca_nemestrina ENSMNEG00000028299
piliocolobus_tephrosceles ENSPTEG00000013866
colobus_angolensis_palliatus ENSCANG00000034307
rhinopithecus_roxellana ENSRROG00000035559
rhinopithecus_bieti ENSRBIG00000036821
saimiri_boliviensis_boliviensis ENSSBOG00000029295
callithrix_jacchus ENSCJAG00000047863
carlito_syrichta ENSTSYG00000030119
propithecus_coquereli ENSPCOG00000021877
microcebus_murinus ENSMICG00000049128
prolemur_simus ENSPSMG00000010817
spermophilus_dauricus ENSSDAG00000009256
urocitellus_parryii ENSUPAG00010012101
marmota_marmota_marmota ENSMMMG00000009123
ursus_maritimus ENSUMAG00000001794
ursus_americanus ENSUAMG00000017811
ailuropoda_melanoleuca ENSAMEG00000012426
neovison_vison ENSNVIG00000016806
mustela_putorius_furo ENSMPUG00000011886
canis_lupus_dingo ENSCAFG00020025226
canis_lupus_familiaris ENSCAFG00000005374
vulpes_vulpes ENSVVUG00000005143
panthera_tigris_altaica ENSPTIG00000013271
panthera_pardus ENSPPRG00000003502
felis_catus ENSFCAG00000033748
pteropus_vampyrus ENSPVAG00000002480
tursiops_truncatus ENSTTRG00000001720
sus_scrofa ENSSSCG00000011292
vicugna_pacos ENSVPAG00000006864
equus_caballus ENSECAG00000010708
equus_asinus_asinus ENSEASG00005007937
procavia_capensis ENSPCAG00000011281
