mastacembelus_armatus ENSMAMG00000000073
anabas_testudineus ENSATEG00000017664
mola_mola ENSMMOG00000021284
takifugu_rubripes ENSTRUG00000025545
gasterosteus_aculeatus ENSGACG00000004674
scophthalmus_maximus ENSSMAG00000006229
cyprinodon_variegatus ENSCVAG00000004768
fundulus_heteroclitus ENSFHEG00000010410
xiphophorus_maculatus ENSXMAG00000025271
xiphophorus_couchianus ENSXCOG00000004411
poecilia_formosa ENSPFOG00000019502
poecilia_latipinna ENSPLAG00000013381
poecilia_mexicana ENSPMEG00000001244
poecilia_reticulata ENSPREG00000005825
gambusia_affinis ENSGAFG00000011975
oryzias_latipes_asm223469v1 ENSORLG00015009697
oryzias_latipes ENSORLG00020013146
oryzias_latipes ENSORLG00000024013
oryzias_melastigma ENSOMEG00000004131
maylandia_zebra ENSMZEG00005002412
astatotilapia_calliptera ENSACLG00000011639
pundamilia_nyererei ENSPNYG00000017216
neolamprologus_brichardi ENSNBRG00000023783
amphilophus_citrinellus ENSACIG00000023856
amphiprion_ocellaris ENSAOCG00000018474
amphiprion_ocellaris ENSAOCG00000014117
amphiprion_percula ENSAPEG00000003897
stegastes_partitus ENSSPAG00000017641
seriola_lalandi_dorsalis ENSSLDG00000014497
seriola_dumerili ENSSDUG00000004323
monopterus_albus ENSMALG00000003851
labrus_bergylta ENSLBEG00000005429
hippocampus_comes ENSHCOG00000000961
cynoglossus_semilaevis ENSCSEG00000013406
periophthalmus_magnuspinnatus ENSPMGG00000011760
gadus_morhua ENSGMOG00000020082
