bos_taurus ENSBTAG00000016567
bos_mutus ENSBMUG00000024494
capra_hircus ENSCHIG00000011714
ovis_aries ENSOARG00000011092
sus_scrofa ENSSSCG00000038804
tursiops_truncatus ENSTTRG00000012087
equus_asinus_asinus ENSEASG00005017905
equus_caballus ENSECAG00000032728
myotis_lucifugus ENSMLUG00000025171
pteropus_vampyrus ENSPVAG00000000540
heterocephalus_glaber_male ENSHGLG00100012477
heterocephalus_glaber_female ENSHGLG00000003101
fukomys_damarensis ENSFDAG00000009973
chinchilla_lanigera ENSCLAG00000017042
octodon_degus ENSODEG00000015997
cavia_porcellus ENSCPOG00000027187
cavia_aperea ENSCAPG00000000671
cricetulus_griseus_crigri ENSCGRG00000004055
cricetulus_griseus_crigri-picr ENSCGRG00015019676
cricetulus_griseus_chok1gshd ENSCGRG00001024697
cricetulus_griseus_crigri-picr ENSCGRG00015019610
microtus_ochrogaster ENSMOCG00000022598
peromyscus_maniculatus_bairdii ENSPEMG00000029677
mus_musculus ENSMUSG00000073063
mus_spicilegus ENSMSIG00000024228
mus_pahari MGP_PahariEiJ_G0017317
mus_pahari MGP_PahariEiJ_G0017318
meriones_unguiculatus ENSMUGG00000002225
cricetulus_griseus_crigri-picr ENSCGRG00015019667
cricetulus_griseus_crigri ENSCGRG00000000699
microtus_ochrogaster ENSMOCG00000011391
mus_spicilegus ENSMSIG00000023834
mus_musculus ENSMUSG00000020295
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016184
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016183
rattus_norvegicus ENSRNOG00000028114
jaculus_jaculus ENSJJAG00000015959
nannospalax_galili ENSNGAG00000015715
urocitellus_parryii ENSUPAG00010012935
ictidomys_tridecemlineatus ENSSTOG00000020012
spermophilus_dauricus ENSSDAG00000019470
marmota_marmota_marmota ENSMMMG00000018612
oryctolagus_cuniculus ENSOCUG00000002435
microcebus_murinus ENSMICG00000042300
propithecus_coquereli ENSPCOG00000016928
prolemur_simus ENSPSMG00000002061
gorilla_gorilla ENSGGOG00000016396
homo_sapiens ENSG00000086506
pan_troglodytes ENSPTRG00000042679
pan_paniscus ENSPPAG00000036628
pongo_abelii ENSPPYG00000006900
nomascus_leucogenys ENSNLEG00000008000
piliocolobus_tephrosceles ENSPTEG00000006257
colobus_angolensis_palliatus ENSCANG00000029260
rhinopithecus_bieti ENSRBIG00000032423
rhinopithecus_roxellana ENSRROG00000022839
cercocebus_atys ENSCATG00000038143
theropithecus_gelada ENSTGEG00000008426
papio_anubis ENSPANG00000019686
chlorocebus_sabaeus ENSCSAG00000013085
macaca_fascicularis ENSMFAG00000035689
macaca_nemestrina ENSMNEG00000036396
cebus_capucinus ENSCCAG00000025832
callithrix_jacchus ENSCJAG00000011671
aotus_nancymaae ENSANAG00000023674
mustela_putorius_furo ENSMPUG00000016043
neovison_vison ENSNVIG00000014654
ursus_americanus ENSUAMG00000002313
canis_lupus_dingo ENSCAFG00020009300
felis_catus ENSFCAG00000046308
panthera_pardus ENSPPRG00000023261
choloepus_hoffmanni ENSCHOG00000003613
loxodonta_africana ENSLAFG00000015828
procavia_capensis ENSPCAG00000001734
echinops_telfairi ENSETEG00000004814
otolemur_garnettii ENSOGAG00000004573
notamacropus_eugenii ENSMEUG00000016203
