peromyscus_maniculatus_bairdii ENSPEMG00000029653
cricetulus_griseus_crigri-picr ENSCGRG00015016774
fukomys_damarensis ENSFDAG00000006601
canis_lupus_dingo ENSCAFG00020007217
vulpes_vulpes ENSVVUG00000009776
ursus_americanus ENSUAMG00000010877
ursus_maritimus ENSUMAG00000016715
panthera_tigris_altaica ENSPTIG00000019448
sus_scrofa ENSSSCG00000016006
ovis_aries ENSOARG00000019614
equus_caballus ENSECAG00000027779
equus_asinus_asinus ENSEASG00005022295
rattus_norvegicus ENSRNOG00000042321
microtus_ochrogaster ENSMOCG00000008654
castor_canadensis ENSCCNG00000018172
dasypus_novemcinctus ENSDNOG00000037949
dasypus_novemcinctus ENSDNOG00000048254
ovis_aries ENSOARG00000004643
ficedula_albicollis ENSFALG00000014413
taeniopygia_guttata ENSTGUG00000003299
pelodiscus_sinensis ENSPSIG00000000899
latimeria_chalumnae ENSLACG00000015933
gambusia_affinis ENSGAFG00000000997
