fundulus_heteroclitus ENSFHEG00000003026
cyprinodon_variegatus ENSCVAG00000020021
xiphophorus_maculatus ENSXMAG00000013412
xiphophorus_couchianus ENSXCOG00000004225
poecilia_formosa ENSPFOG00000011366
poecilia_mexicana ENSPMEG00000001392
poecilia_latipinna ENSPLAG00000007972
poecilia_reticulata ENSPREG00000017309
gambusia_affinis ENSGAFG00000021726
kryptolebias_marmoratus ENSKMAG00000015538
oryzias_latipes ENSORLG00000024166
oryzias_latipes ENSORLG00020013757
oryzias_latipes_asm223469v1 ENSORLG00015019602
oryzias_melastigma ENSOMEG00000020254
gasterosteus_aculeatus ENSGACG00000013282
cynoglossus_semilaevis ENSCSEG00000012003
maylandia_zebra ENSMZEG00005017507
astatotilapia_calliptera ENSACLG00000010278
pundamilia_nyererei ENSPNYG00000018270
haplochromis_burtoni ENSHBUG00000009342
neolamprologus_brichardi ENSNBRG00000005141
oreochromis_niloticus ENSONIG00000002279
amphilophus_citrinellus ENSACIG00000017394
amphiprion_ocellaris ENSAOCG00000015646
amphiprion_percula ENSAPEG00000022160
acanthochromis_polyacanthus ENSAPOG00000008262
stegastes_partitus ENSSPAG00000012030
scophthalmus_maximus ENSSMAG00000016216
mola_mola ENSMMOG00000017114
mastacembelus_armatus ENSMAMG00000010269
monopterus_albus ENSMALG00000004078
anabas_testudineus ENSATEG00000006186
takifugu_rubripes ENSTRUG00000007796
tetraodon_nigroviridis ENSTNIG00000004473
labrus_bergylta ENSLBEG00000016402
seriola_dumerili ENSSDUG00000006298
seriola_lalandi_dorsalis ENSSLDG00000012129
hippocampus_comes ENSHCOG00000007164
periophthalmus_magnuspinnatus ENSPMGG00000004206
gadus_morhua ENSGMOG00000006456
esox_lucius ENSELUG00000012012
astyanax_mexicanus ENSAMXG00000024633
pygocentrus_nattereri ENSPNAG00000004505
ictalurus_punctatus ENSIPUG00000006083
danio_rerio ENSDARG00000076638
paramormyrops_kingsleyae ENSPKIG00000009869
paramormyrops_kingsleyae ENSPKIG00000020911
scleropages_formosus ENSSFOG00015024157
scleropages_formosus ENSSFOG00015008589
lepisosteus_oculatus ENSLOCG00000008857
