apteryx_haastii ENSAHAG00000006768
dromaius_novaehollandiae ENSDNVG00000009104
nothoprocta_perdicaria ENSNPEG00000002070
taeniopygia_guttata ENSTGUG00000011153
serinus_canaria ENSSCAG00000009688
ficedula_albicollis ENSFALG00000014430
zonotrichia_albicollis ENSZALG00000007670
cyanistes_caeruleus ENSCCEG00000005685
parus_major ENSPMJG00000005785
lonchura_striata_domestica ENSLSDG00000006539
junco_hyemalis ENSJHYG00000004179
lepidothrix_coronata ENSLCOG00000005137
crocodylus_porosus ENSCPRG00005008276
crocodylus_porosus ENSCPRG00005008280
chelonoidis_abingdonii ENSCABG00000005051
gopherus_agassizii ENSGAGG00000006555
chrysemys_picta_bellii ENSCPBG00000018319
