taeniopygia_guttata ENSTGUG00000008998
lonchura_striata_domestica ENSLSDG00000014745
serinus_canaria ENSSCAG00000015008
cyanistes_caeruleus ENSCCEG00000014060
parus_major ENSPMJG00000018113
zonotrichia_albicollis ENSZALG00000004360
junco_hyemalis ENSJHYG00000004746
ficedula_albicollis ENSFALG00000001334
lepidothrix_coronata ENSLCOG00000001941
manacus_vitellinus ENSMVIG00005002357
melopsittacus_undulatus ENSMUNG00000010921
calidris_pugnax ENSCPUG00000002111
calidris_pygmaea ENSCPGG00000011219
anser_brachyrhynchus ENSABRG00000015525
anas_platyrhynchos_platyrhynchos ENSAPLG00000003268
gallus_gallus ENSGALG00000007661
coturnix_japonica ENSCJPG00005021526
meleagris_gallopavo ENSMGAG00000009042
numida_meleagris ENSNMEG00000010345
apteryx_owenii ENSAOWG00000000857
apteryx_haastii ENSAHAG00000008552
apteryx_rowi ENSARWG00000008006
dromaius_novaehollandiae ENSDNVG00000011300
nothoprocta_perdicaria ENSNPEG00000004540
crocodylus_porosus ENSCPRG00005002427
chrysemys_picta_bellii ENSCPBG00000028186
chelonoidis_abingdonii ENSCABG00000011928
gopherus_agassizii ENSGAGG00000000194
pelodiscus_sinensis ENSPSIG00000007837
pogona_vitticeps ENSPVIG00000023776
anolis_carolinensis ENSACAG00000005166
notechis_scutatus ENSNSUG00000013253
salvator_merianae ENSSMRG00000023245
notamacropus_eugenii ENSMEUG00000009883
phascolarctos_cinereus ENSPCIG00000030210
sarcophilus_harrisii ENSSHAG00000004142
monodelphis_domestica ENSMODG00000020906
ursus_americanus ENSUAMG00000010296
ursus_maritimus ENSUMAG00000014745
ailuropoda_melanoleuca ENSAMEG00000011756
neovison_vison ENSNVIG00000007622
mustela_putorius_furo ENSMPUG00000015480
canis_lupus_dingo ENSCAFG00020023568
canis_lupus_familiaris ENSCAFG00000017090
vulpes_vulpes ENSVVUG00000004875
panthera_pardus ENSPPRG00000020455
panthera_tigris_altaica ENSPTIG00000014495
felis_catus ENSFCAG00000012336
equus_asinus_asinus ENSEASG00005018597
equus_caballus ENSECAG00000000721
capra_hircus ENSCHIG00000018463
ovis_aries ENSOARG00000004119
bos_mutus ENSBMUG00000021987
bos_taurus ENSBTAG00000014355
bison_bison_bison ENSBBBG00000000703
tursiops_truncatus ENSTTRG00000000213
sus_scrofa ENSSSCG00000017563
pteropus_vampyrus ENSPVAG00000016592
myotis_lucifugus ENSMLUG00000005561
erinaceus_europaeus ENSEEUG00000007290
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017829
mus_spicilegus ENSMSIG00000014428
mus_musculus ENSMUSG00000039110
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016983
mus_pahari MGP_PahariEiJ_G0018114
rattus_norvegicus ENSRNOG00000042912
