pan_troglodytes ENSPTRG00000021540
pan_paniscus ENSPPAG00000033886
homo_sapiens ENSG00000165643
gorilla_gorilla ENSGGOG00000007876
pongo_abelii ENSPPYG00000019762
piliocolobus_tephrosceles ENSPTEG00000029031
colobus_angolensis_palliatus ENSCANG00000040131
rhinopithecus_roxellana ENSRROG00000002570
rhinopithecus_bieti ENSRBIG00000031724
theropithecus_gelada ENSTGEG00000009283
papio_anubis ENSPANG00000026106
mandrillus_leucophaeus ENSMLEG00000044225
cercocebus_atys ENSCATG00000044479
macaca_fascicularis ENSMFAG00000045081
macaca_nemestrina ENSMNEG00000042189
chlorocebus_sabaeus ENSCSAG00000015678
saimiri_boliviensis_boliviensis ENSSBOG00000018866
cebus_capucinus ENSCCAG00000037969
callithrix_jacchus ENSCJAG00000010516
aotus_nancymaae ENSANAG00000038087
carlito_syrichta ENSTSYG00000027821
propithecus_coquereli ENSPCOG00000023576
microcebus_murinus ENSMICG00000046533
prolemur_simus ENSPSMG00000008536
otolemur_garnettii ENSOGAG00000008569
mus_spicilegus ENSMSIG00000027698
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024218
mus_musculus ENSMUSG00000059625
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023301
mus_pahari MGP_PahariEiJ_G0024758
rattus_norvegicus ENSRNOG00000033983
meriones_unguiculatus ENSMUGG00000022834
cricetulus_griseus_crigri ENSCGRG00000000446
cricetulus_griseus_chok1gshd ENSCGRG00001015036
cricetulus_griseus_crigri-picr ENSCGRG00015008207
mesocricetus_auratus ENSMAUG00000019543
microtus_ochrogaster ENSMOCG00000005551
peromyscus_maniculatus_bairdii ENSPEMG00000011915
nannospalax_galili ENSNGAG00000001752
jaculus_jaculus ENSJJAG00000016247
urocitellus_parryii ENSUPAG00010008402
chinchilla_lanigera ENSCLAG00000005563
equus_caballus ENSECAG00000024372
pteropus_vampyrus ENSPVAG00000008290
capra_hircus ENSCHIG00000018572
ovis_aries ENSOARG00000005059
bison_bison_bison ENSBBBG00000007460
erinaceus_europaeus ENSEEUG00000002190
mustela_putorius_furo ENSMPUG00000011979
neovison_vison ENSNVIG00000017342
ursus_americanus ENSUAMG00000001298
canis_lupus_familiaris ENSCAFG00000019746
vulpes_vulpes ENSVVUG00000027237
felis_catus ENSFCAG00000043136
loxodonta_africana ENSLAFG00000029766
procavia_capensis ENSPCAG00000011592
dasypus_novemcinctus ENSDNOG00000033472
monodelphis_domestica ENSMODG00000029683
phascolarctos_cinereus ENSPCIG00000010774
