sus_scrofa ENSSSCG00000007858
vicugna_pacos ENSVPAG00000003420
ovis_aries ENSOARG00000012794
capra_hircus ENSCHIG00000012668
bos_mutus ENSBMUG00000003743
bos_taurus ENSBTAG00000019423
bison_bison_bison ENSBBBG00000008475
ursus_maritimus ENSUMAG00000008143
ursus_americanus ENSUAMG00000016880
ailuropoda_melanoleuca ENSAMEG00000008863
mustela_putorius_furo ENSMPUG00000013190
neovison_vison ENSNVIG00000017565
canis_lupus_familiaris ENSCAFG00000024109
canis_lupus_dingo ENSCAFG00020021898
vulpes_vulpes ENSVVUG00000023190
erinaceus_europaeus ENSEEUG00000008375
sorex_araneus ENSSARG00000002964
myotis_lucifugus ENSMLUG00000014269
octodon_degus ENSODEG00000002062
chinchilla_lanigera ENSCLAG00000013277
cavia_porcellus ENSCPOG00000004009
cavia_aperea ENSCAPG00000011071
heterocephalus_glaber_male ENSHGLG00100010503
heterocephalus_glaber_male ENSHGLG00100014931
heterocephalus_glaber_female ENSHGLG00000011441
fukomys_damarensis ENSFDAG00000000751
urocitellus_parryii ENSUPAG00010008911
ictidomys_tridecemlineatus ENSSTOG00000028432
spermophilus_dauricus ENSSDAG00000000023
marmota_marmota_marmota ENSMMMG00000022772
mus_musculus ENSMUSG00000030945
mus_spicilegus ENSMSIG00000001518
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031493
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030379
mus_pahari MGP_PahariEiJ_G0013590
meriones_unguiculatus ENSMUGG00000014017
meriones_unguiculatus ENSMUGG00000014387
peromyscus_maniculatus_bairdii ENSPEMG00000007868
microtus_ochrogaster ENSMOCG00000013016
cricetulus_griseus_crigri ENSCGRG00000000098
cricetulus_griseus_crigri ENSCGRG00000000874
cricetulus_griseus_chok1gshd ENSCGRG00001002242
cricetulus_griseus_crigri-picr ENSCGRG00015012865
mesocricetus_auratus ENSMAUG00000014539
nannospalax_galili ENSNGAG00000022848
castor_canadensis ENSCCNG00000029376
oryctolagus_cuniculus ENSOCUG00000005933
propithecus_coquereli ENSPCOG00000012386
microcebus_murinus ENSMICG00000000215
otolemur_garnettii ENSOGAG00000012254
carlito_syrichta ENSTSYG00000002008
loxodonta_africana ENSLAFG00000010811
procavia_capensis ENSPCAG00000003428
phascolarctos_cinereus ENSPCIG00000029248
notamacropus_eugenii ENSMEUG00000002992
sarcophilus_harrisii ENSSHAG00000018918
monodelphis_domestica ENSMODG00000006833
