ailuropoda_melanoleuca ENSAMEG00000005028
erinaceus_europaeus ENSEEUG00000007803
castor_canadensis ENSCCNG00000000093
dipodomys_ordii ENSDORG00000026947
cricetulus_griseus ENSCGRG00001014718
cricetulus_griseus ENSCGRG00000002500
mesocricetus_auratus ENSMAUG00000021431
nannospalax_galili ENSNGAG00000023461
jaculus_jaculus ENSJJAG00000017399
heterocephalus_glaber ENSHGLG00000004437
fukomys_damarensis ENSFDAG00000015552
octodon_degus ENSODEG00000014444
ictidomys_tridecemlineatus ENSSTOG00000015161
spermophilus_dauricus ENSSDAG00000004713
marmota_marmota ENSMMMG00000019958
loxodonta_africana ENSLAFG00000005062
gasterosteus_aculeatus ENSGACG00000020645
tetraodon_nigroviridis ENSTNIG00000009996
poecilia_formosa ENSPFOG00000018735
gadus_morhua ENSGMOG00000002687
callorhinchus_milii ENSCMIG00000014888
petromyzon_marinus ENSPMAG00000005100
