cricetulus_griseus_chok1gshd ENSCGRG00001022508
cricetulus_griseus_crigri ENSCGRG00000006828
cricetulus_griseus_crigri-picr ENSCGRG00015010803
mesocricetus_auratus ENSMAUG00000018565
microtus_ochrogaster ENSMOCG00000019588
peromyscus_maniculatus_bairdii ENSPEMG00000016984
mus_musculus ENSMUSG00000034706
mus_spicilegus ENSMSIG00000029741
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018220
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017374
mus_pahari MGP_PahariEiJ_G0018504
rattus_norvegicus ENSRNOG00000024523
nannospalax_galili ENSNGAG00000010164
jaculus_jaculus ENSJJAG00000022616
castor_canadensis ENSCCNG00000010051
chinchilla_lanigera ENSCLAG00000003498
octodon_degus ENSODEG00000010549
cavia_porcellus ENSCPOG00000014084
cavia_aperea ENSCAPG00000009037
heterocephalus_glaber_female ENSHGLG00000010298
heterocephalus_glaber_male ENSHGLG00100019334
fukomys_damarensis ENSFDAG00000011221
marmota_marmota_marmota ENSMMMG00000010379
urocitellus_parryii ENSUPAG00010002506
spermophilus_dauricus ENSSDAG00000023020
tupaia_belangeri ENSTBEG00000001908
oryctolagus_cuniculus ENSOCUG00000009400
cebus_capucinus ENSCCAG00000022991
saimiri_boliviensis_boliviensis ENSSBOG00000034286
callithrix_jacchus ENSCJAG00000014971
aotus_nancymaae ENSANAG00000035055
cercocebus_atys ENSCATG00000034158
mandrillus_leucophaeus ENSMLEG00000043680
papio_anubis ENSPANG00000016932
macaca_fascicularis ENSMFAG00000035401
macaca_mulatta ENSMMUG00000020974
macaca_nemestrina ENSMNEG00000031905
chlorocebus_sabaeus ENSCSAG00000004510
rhinopithecus_roxellana ENSRROG00000033625
rhinopithecus_bieti ENSRBIG00000035658
colobus_angolensis_palliatus ENSCANG00000043778
pan_troglodytes ENSPTRG00000009604
pan_paniscus ENSPPAG00000038808
homo_sapiens ENSG00000171595
gorilla_gorilla ENSGGOG00000000797
pongo_abelii ENSPPYG00000008593
nomascus_leucogenys ENSNLEG00000000060
carlito_syrichta ENSTSYG00000005484
prolemur_simus ENSPSMG00000025646
propithecus_coquereli ENSPCOG00000015006
microcebus_murinus ENSMICG00000008509
otolemur_garnettii ENSOGAG00000000004
vicugna_pacos ENSVPAG00000009563
sus_scrofa ENSSSCG00000024357
bos_mutus ENSBMUG00000025761
bos_taurus ENSBTAG00000016732
bison_bison_bison ENSBBBG00000022997
ovis_aries ENSOARG00000012883
capra_hircus ENSCHIG00000024904
ursus_maritimus ENSUMAG00000008015
ailuropoda_melanoleuca ENSAMEG00000001316
mustela_putorius_furo ENSMPUG00000014244
neovison_vison ENSNVIG00000009563
canis_lupus_familiaris ENSCAFG00000004532
canis_lupus_dingo ENSCAFG00020021809
vulpes_vulpes ENSVVUG00000009926
panthera_tigris_altaica ENSPTIG00000012001
panthera_pardus ENSPPRG00000006411
felis_catus ENSFCAG00000004725
equus_caballus ENSECAG00000013662
myotis_lucifugus ENSMLUG00000014465
erinaceus_europaeus ENSEEUG00000015620
dasypus_novemcinctus ENSDNOG00000007046
loxodonta_africana ENSLAFG00000000357
echinops_telfairi ENSETEG00000020203
procavia_capensis ENSPCAG00000003537
phascolarctos_cinereus ENSPCIG00000001653
notamacropus_eugenii ENSMEUG00000014243
monodelphis_domestica ENSMODG00000006723
ornithorhynchus_anatinus ENSOANG00000003283
ictalurus_punctatus ENSIPUG00000010195
danio_rerio ENSDARG00000100285
scleropages_formosus ENSSFOG00015018412
scleropages_formosus ENSSFOG00015018437
oryzias_latipes ENSORLG00000024865
oryzias_latipes ENSORLG00020004739
oryzias_latipes_asm223469v1 ENSORLG00015006096
latimeria_chalumnae ENSLACG00000017644
apteryx_haastii ENSAHAG00000018514
apteryx_rowi ENSARWG00000006493
nothoprocta_perdicaria ENSNPEG00000010520
anser_brachyrhynchus ENSABRG00000010786
anas_platyrhynchos_platyrhynchos ENSAPLG00000007193
taeniopygia_guttata ENSTGUG00000002936
crocodylus_porosus ENSCPRG00005018412
piliocolobus_tephrosceles ENSPTEG00000001343
drosophila_melanogaster FBgn0035799
