electrophorus_electricus ENSEEEG00000006324
ictalurus_punctatus ENSIPUG00000001570
astyanax_mexicanus ENSAMXG00005001247
astyanax_mexicanus ENSAMXG00000019802
pygocentrus_nattereri ENSPNAG00000013806
danio_rerio ENSDARG00000060192
clupea_harengus ENSCHAG00000026156
denticeps_clupeoides ENSDCDG00000004505
poecilia_formosa ENSPFOG00000007946
poecilia_latipinna ENSPLAG00000011925
poecilia_mexicana ENSPMEG00000002910
poecilia_reticulata ENSPREG00000019851
xiphophorus_maculatus ENSXMAG00000024084
xiphophorus_couchianus ENSXCOG00000017930
gambusia_affinis ENSGAFG00000009886
cyprinodon_variegatus ENSCVAG00000022746
fundulus_heteroclitus ENSFHEG00000004736
kryptolebias_marmoratus ENSKMAG00000017287
oryzias_latipes ENSORLG00000013009
oryzias_latipes ENSORLG00015021354
oryzias_latipes ENSORLG00020010382
oryzias_melastigma ENSOMEG00000021426
parambassis_ranga ENSPRNG00000008340
cynoglossus_semilaevis ENSCSEG00000018512
cynoglossus_semilaevis ENSCSEG00000007648
seriola_dumerili ENSSDUG00000001829
seriola_lalandi ENSSLDG00000020853
lates_calcarifer ENSLCAG00010003919
scophthalmus_maximus ENSSMAG00000008045
amphiprion_percula ENSAPEG00000001316
amphiprion_ocellaris ENSAOCG00000021975
acanthochromis_polyacanthus ENSAPOG00000022221
stegastes_partitus ENSSPAG00000012708
maylandia_zebra ENSMZEG00005003214
astatotilapia_calliptera ENSACLG00000013692
pundamilia_nyererei ENSPNYG00000024076
haplochromis_burtoni ENSHBUG00000023728
oreochromis_niloticus ENSONIG00000015672
neolamprologus_brichardi ENSNBRG00000006457
amphilophus_citrinellus ENSACIG00000015863
monopterus_albus ENSMALG00000017818
mastacembelus_armatus ENSMAMG00000004735
anabas_testudineus ENSATEG00000002984
betta_splendens ENSBSLG00000011097
cottoperca_gobio ENSCGOG00000000628
gasterosteus_aculeatus ENSGACG00000014276
labrus_bergylta ENSLBEG00000013354
labrus_bergylta ENSLBEG00000022502
takifugu_rubripes ENSTRUG00000003041
tetraodon_nigroviridis ENSTNIG00000002660
mola_mola ENSMMOG00000012569
larimichthys_crocea ENSLCRG00005009908
hippocampus_comes ENSHCOG00000002390
hippocampus_comes ENSHCOG00000020005
periophthalmus_magnuspinnatus ENSPMGG00000014950
gadus_morhua ENSGMOG00000010756
esox_lucius ENSELUG00000014307
hucho_hucho ENSHHUG00000043196
scleropages_formosus ENSSFOG00015014394
paramormyrops_kingsleyae ENSPKIG00000018890
lepisosteus_oculatus ENSLOCG00000005682
phascolarctos_cinereus ENSPCIG00000021216
vombatus_ursinus ENSVURG00010015345
notamacropus_eugenii ENSMEUG00000016049
sarcophilus_harrisii ENSSHAG00000013500
monodelphis_domestica ENSMODG00000016882
equus_asinus ENSEASG00005018421
equus_caballus ENSECAG00000039586
sorex_araneus ENSSARG00000011187
pteropus_vampyrus ENSPVAG00000013104
myotis_lucifugus ENSMLUG00000001089
bos_indicus ENSBIXG00005004794
bos_indicus ENSBIXG00000029035
bos_taurus ENSBTAG00000000179
bos_mutus ENSBMUG00000023698
bison_bison ENSBBBG00000005767
capra_hircus ENSCHIG00000012872
ovis_aries ENSOARG00000014254
tursiops_truncatus ENSTTRG00000010167
sus_scrofa ENSSSCG00000008000
ursus_maritimus ENSUMAG00000021174
ursus_americanus ENSUAMG00000012736
ailuropoda_melanoleuca ENSAMEG00000007461
canis_lupus ENSCAFG00000019614
canis_lupus ENSCAFG00020008891
vulpes_vulpes ENSVVUG00000012357
neovison_vison ENSNVIG00000016185
mustela_putorius ENSMPUG00000015897
panthera_pardus ENSPPRG00000012389
panthera_tigris ENSPTIG00000008545
felis_catus ENSFCAG00000010359
prolemur_simus ENSPSMG00000022125
microcebus_murinus ENSMICG00000017561
propithecus_coquereli ENSPCOG00000022582
otolemur_garnettii ENSOGAG00000003795
pan_paniscus ENSPPAG00000034797
pan_troglodytes ENSPTRG00000007565
gorilla_gorilla ENSGGOG00000013997
homo_sapiens ENSG00000007376
pongo_abelii ENSPPYG00000006933
nomascus_leucogenys ENSNLEG00000008424
cercocebus_atys ENSCATG00000042983
papio_anubis ENSPANG00000024401
mandrillus_leucophaeus ENSMLEG00000030591
theropithecus_gelada ENSTGEG00000006262
chlorocebus_sabaeus ENSCSAG00000012121
macaca_fascicularis ENSMFAG00000003961
macaca_nemestrina ENSMNEG00000042712
macaca_mulatta ENSMMUG00000000842
colobus_angolensis ENSCANG00000028576
piliocolobus_tephrosceles ENSPTEG00000002523
rhinopithecus_roxellana ENSRROG00000036663
rhinopithecus_bieti ENSRBIG00000030238
cebus_capucinus ENSCCAG00000034385
saimiri_boliviensis ENSSBOG00000033063
callithrix_jacchus ENSCJAG00000012253
aotus_nancymaae ENSANAG00000024709
carlito_syrichta ENSTSYG00000036934
chinchilla_lanigera ENSCLAG00000013966
octodon_degus ENSODEG00000016945
cavia_aperea ENSCAPG00000014219
cavia_porcellus ENSCPOG00000034604
heterocephalus_glaber ENSHGLG00000002595
heterocephalus_glaber ENSHGLG00100014303
fukomys_damarensis ENSFDAG00000013398
ictidomys_tridecemlineatus ENSSTOG00000004276
marmota_marmota ENSMMMG00000017848
spermophilus_dauricus ENSSDAG00000018587
urocitellus_parryii ENSUPAG00010013939
castor_canadensis ENSCCNG00000015360
dipodomys_ordii ENSDORG00000026656
mus_spicilegus ENSMSIG00000012834
mus_spretus MGP_SPRETEiJ_G0022155
mus_musculus ENSMUSG00000041199
mus_caroli MGP_CAROLIEiJ_G0021244
mus_pahari MGP_PahariEiJ_G0023562
rattus_norvegicus ENSRNOG00000023639
meriones_unguiculatus ENSMUGG00000015166
cricetulus_griseus ENSCGRG00015017680
cricetulus_griseus ENSCGRG00001014253
cricetulus_griseus ENSCGRG00000017995
mesocricetus_auratus ENSMAUG00000019998
peromyscus_maniculatus ENSPEMG00000000497
microtus_ochrogaster ENSMOCG00000014082
nannospalax_galili ENSNGAG00000003595
jaculus_jaculus ENSJJAG00000015696
ochotona_princeps ENSOPRG00000008340
procavia_capensis ENSPCAG00000002258
loxodonta_africana ENSLAFG00000002115
dasypus_novemcinctus ENSDNOG00000003721
ornithorhynchus_anatinus ENSOANG00000030625
notechis_scutatus ENSNSUG00000015580
notechis_scutatus ENSNSUG00000015579
anolis_carolinensis ENSACAG00000008953
pogona_vitticeps ENSPVIG00000017940
salvator_merianae ENSSMRG00000016958
sphenodon_punctatus ENSSPUG00000005119
apteryx_owenii ENSAOWG00000016087
apteryx_haastii ENSAHAG00000013305
apteryx_rowi ENSARWG00000017277
dromaius_novaehollandiae ENSDNVG00000013376
nothoprocta_perdicaria ENSNPEG00000014328
calidris_pugnax ENSCPUG00000012165
calidris_pygmaea ENSCPGG00000000819
melopsittacus_undulatus ENSMUNG00000013984
serinus_canaria ENSSCAG00000006132
taeniopygia_guttata ENSTGUG00000015375
ficedula_albicollis ENSFALG00000003211
parus_major ENSPMJG00000017601
cyanistes_caeruleus ENSCCEG00000023121
junco_hyemalis ENSJHYG00000004202
zonotrichia_albicollis ENSZALG00000004588
manacus_vitellinus ENSMVIG00005013527
lepidothrix_coronata ENSLCOG00000012682
gallus_gallus ENSGALG00000005315
coturnix_japonica ENSCJPG00005005566
meleagris_gallopavo ENSMGAG00000005447
numida_meleagris ENSNMEG00000011963
anser_brachyrhynchus ENSABRG00000014233
