seriola_dumerili ENSSDUG00000005786
seriola_lalandi_dorsalis ENSSLDG00000012889
scophthalmus_maximus ENSSMAG00000004381
mastacembelus_armatus ENSMAMG00000009595
monopterus_albus ENSMALG00000007973
anabas_testudineus ENSATEG00000006957
labrus_bergylta ENSLBEG00000017464
gasterosteus_aculeatus ENSGACG00000012345
maylandia_zebra ENSMZEG00005027763
maylandia_zebra ENSMZEG00005025855
astatotilapia_calliptera ENSACLG00000011212
pundamilia_nyererei ENSPNYG00000019162
haplochromis_burtoni ENSHBUG00000010028
oreochromis_niloticus ENSONIG00000002217
amphilophus_citrinellus ENSACIG00000021993
amphiprion_percula ENSAPEG00000021871
amphiprion_ocellaris ENSAOCG00000016019
acanthochromis_polyacanthus ENSAPOG00000003338
stegastes_partitus ENSSPAG00000015405
oryzias_latipes_asm223469v1 ENSORLG00015021542
oryzias_melastigma ENSOMEG00000000897
cynoglossus_semilaevis ENSCSEG00000012087
mola_mola ENSMMOG00000016581
xiphophorus_couchianus ENSXCOG00000020655
xiphophorus_maculatus ENSXMAG00000017104
gambusia_affinis ENSGAFG00000014487
poecilia_latipinna ENSPLAG00000013830
poecilia_formosa ENSPFOG00000003374
poecilia_reticulata ENSPREG00000002788
poecilia_mexicana ENSPMEG00000006431
cyprinodon_variegatus ENSCVAG00000007125
fundulus_heteroclitus ENSFHEG00000011861
kryptolebias_marmoratus ENSKMAG00000009482
haplochromis_burtoni ENSHBUG00000010071
takifugu_rubripes ENSTRUG00000007420
neolamprologus_brichardi ENSNBRG00000005902
periophthalmus_magnuspinnatus ENSPMGG00000012811
tetraodon_nigroviridis ENSTNIG00000004888
hippocampus_comes ENSHCOG00000012450
gadus_morhua ENSGMOG00000006719
esox_lucius ENSELUG00000015918
astyanax_mexicanus ENSAMXG00000029737
pygocentrus_nattereri ENSPNAG00000021064
ictalurus_punctatus ENSIPUG00000009396
danio_rerio ENSDARG00000053868
scleropages_formosus ENSSFOG00015019487
paramormyrops_kingsleyae ENSPKIG00000024769
lepisosteus_oculatus ENSLOCG00000004877
