vombatus_ursinus ENSVURG00010020813
phascolarctos_cinereus ENSPCIG00000034123
notamacropus_eugenii ENSMEUG00000008323
sarcophilus_harrisii ENSSHAG00000012392
monodelphis_domestica ENSMODG00000019659
capra_hircus ENSCHIG00000015161
ovis_aries ENSOARG00000006113
bos_indicus ENSBIXG00000014868
bos_indicus ENSBIXG00005014614
bos_mutus ENSBMUG00000004751
bos_taurus ENSBTAG00000016902
bison_bison ENSBBBG00000013762
tursiops_truncatus ENSTTRG00000006543
sus_scrofa ENSSSCG00000040603
vicugna_pacos ENSVPAG00000008651
sorex_araneus ENSSARG00000009140
ursus_americanus ENSUAMG00000016224
ursus_maritimus ENSUMAG00000008707
ailuropoda_melanoleuca ENSAMEG00000011207
canis_lupus ENSCAFG00020022636
canis_lupus ENSCAFG00000007494
vulpes_vulpes ENSVVUG00000005714
mustela_putorius ENSMPUG00000014755
panthera_tigris ENSPTIG00000011125
panthera_pardus ENSPPRG00000005294
felis_catus ENSFCAG00000002440
erinaceus_europaeus ENSEEUG00000013937
neovison_vison ENSNVIG00000007192
equus_asinus ENSEASG00005006851
equus_caballus ENSECAG00000002414
myotis_lucifugus ENSMLUG00000025227
pteropus_vampyrus ENSPVAG00000008277
chinchilla_lanigera ENSCLAG00000006334
chinchilla_lanigera ENSCLAG00000000066
octodon_degus ENSODEG00000017310
octodon_degus ENSODEG00000020273
cavia_porcellus ENSCPOG00000007915
cavia_aperea ENSCAPG00000011626
heterocephalus_glaber ENSHGLG00000004522
heterocephalus_glaber ENSHGLG00100011582
fukomys_damarensis ENSFDAG00000009359
spermophilus_dauricus ENSSDAG00000014913
spermophilus_dauricus ENSSDAG00000007274
urocitellus_parryii ENSUPAG00010019906
ictidomys_tridecemlineatus ENSSTOG00000027794
marmota_marmota ENSMMMG00000001906
castor_canadensis ENSCCNG00000030546
castor_canadensis ENSCCNG00000019957
nannospalax_galili ENSNGAG00000010789
oryctolagus_cuniculus ENSOCUG00000009413
dipodomys_ordii ENSDORG00000008484
cricetulus_griseus ENSCGRG00001018204
cricetulus_griseus ENSCGRG00015003377
cricetulus_griseus ENSCGRG00000001463
mesocricetus_auratus ENSMAUG00000019768
microtus_ochrogaster ENSMOCG00000019258
peromyscus_maniculatus ENSPEMG00000026308
mus_spicilegus ENSMSIG00000005229
mus_musculus ENSMUSG00000042743
mus_spretus MGP_SPRETEiJ_G0019737
mus_caroli MGP_CAROLIEiJ_G0018858
mus_pahari MGP_PahariEiJ_G0015930
rattus_norvegicus ENSRNOG00000011937
meriones_unguiculatus ENSMUGG00000012779
jaculus_jaculus ENSJJAG00000000277
ochotona_princeps ENSOPRG00000007750
tupaia_belangeri ENSTBEG00000007148
pan_paniscus ENSPPAG00000039910
pan_troglodytes ENSPTRG00000022683
gorilla_gorilla ENSGGOG00000023754
homo_sapiens ENSG00000197860
pongo_abelii ENSPPYG00000015512
nomascus_leucogenys ENSNLEG00000003608
rhinopithecus_bieti ENSRBIG00000034002
rhinopithecus_roxellana ENSRROG00000034507
colobus_angolensis ENSCANG00000004208
piliocolobus_tephrosceles ENSPTEG00000013886
macaca_mulatta ENSMMUG00000016521
macaca_nemestrina ENSMNEG00000044712
macaca_fascicularis ENSMFAG00000043797
theropithecus_gelada ENSTGEG00000016663
papio_anubis ENSPANG00000018405
mandrillus_leucophaeus ENSMLEG00000032069
cercocebus_atys ENSCATG00000036776
chlorocebus_sabaeus ENSCSAG00000015931
cebus_capucinus ENSCCAG00000035826
callithrix_jacchus ENSCJAG00000015847
saimiri_boliviensis ENSSBOG00000033955
aotus_nancymaae ENSANAG00000022661
carlito_syrichta ENSTSYG00000004586
microcebus_murinus ENSMICG00000047150
prolemur_simus ENSPSMG00000005863
propithecus_coquereli ENSPCOG00000014532
otolemur_garnettii ENSOGAG00000010790
dasypus_novemcinctus ENSDNOG00000037222
choloepus_hoffmanni ENSCHOG00000008866
loxodonta_africana ENSLAFG00000010332
procavia_capensis ENSPCAG00000005756
