amphiprion_ocellaris ENSAOCG00000004797
amphiprion_percula ENSAPEG00000001633
acanthochromis_polyacanthus ENSAPOG00000010813
stegastes_partitus ENSSPAG00000014248
maylandia_zebra ENSMZEG00005005685
pundamilia_nyererei ENSPNYG00000022075
neolamprologus_brichardi ENSNBRG00000001931
amphilophus_citrinellus ENSACIG00000018571
seriola_lalandi_dorsalis ENSSLDG00000004751
seriola_dumerili ENSSDUG00000022082
mola_mola ENSMMOG00000012241
labrus_bergylta ENSLBEG00000012771
hippocampus_comes ENSHCOG00000016566
mastacembelus_armatus ENSMAMG00000023236
anabas_testudineus ENSATEG00000015941
scophthalmus_maximus ENSSMAG00000010294
xiphophorus_couchianus ENSXCOG00000016338
xiphophorus_maculatus ENSXMAG00000024870
poecilia_latipinna ENSPLAG00000018967
poecilia_mexicana ENSPMEG00000013199
poecilia_reticulata ENSPREG00000016579
gambusia_affinis ENSGAFG00000013531
cyprinodon_variegatus ENSCVAG00000004833
kryptolebias_marmoratus ENSKMAG00000002043
cynoglossus_semilaevis ENSCSEG00000019236
takifugu_rubripes ENSTRUG00000020704
oryzias_latipes ENSORLG00020012925
oryzias_latipes ENSORLG00000004579
oryzias_latipes_asm223469v1 ENSORLG00015006194
oryzias_melastigma ENSOMEG00000013210
periophthalmus_magnuspinnatus ENSPMGG00000005824
