notamacropus_eugenii ENSMEUG00000002624
phascolarctos_cinereus ENSPCIG00000021552
sarcophilus_harrisii ENSSHAG00000017747
monodelphis_domestica ENSMODG00000012903
oryctolagus_cuniculus ENSOCUG00000005017
piliocolobus_tephrosceles ENSPTEG00000015190
ochotona_princeps ENSOPRG00000013048
tupaia_belangeri ENSTBEG00000007875
cercocebus_atys ENSCATG00000001155
mandrillus_leucophaeus ENSMLEG00000034530
theropithecus_gelada ENSTGEG00000005607
papio_anubis ENSPANG00000009897
macaca_fascicularis ENSMFAG00000040757
macaca_mulatta ENSMMUG00000014589
macaca_nemestrina ENSMNEG00000011583
chlorocebus_sabaeus ENSCSAG00000014586
colobus_angolensis_palliatus ENSCANG00000028221
piliocolobus_tephrosceles ENSPTEG00000004295
rhinopithecus_roxellana ENSRROG00000039202
rhinopithecus_bieti ENSRBIG00000032997
homo_sapiens ENSG00000176095
gorilla_gorilla ENSGGOG00000010636
pongo_abelii ENSPPYG00000013863
nomascus_leucogenys ENSNLEG00000006900
pan_troglodytes ENSPTRG00000014933
pan_paniscus ENSPPAG00000016833
cebus_capucinus ENSCCAG00000020144
saimiri_boliviensis_boliviensis ENSSBOG00000036172
callithrix_jacchus ENSCJAG00000004332
aotus_nancymaae ENSANAG00000038005
carlito_syrichta ENSTSYG00000006146
propithecus_coquereli ENSPCOG00000012769
microcebus_murinus ENSMICG00000042276
prolemur_simus ENSPSMG00000013596
otolemur_garnettii ENSOGAG00000011807
castor_canadensis ENSCCNG00000017764
dipodomys_ordii ENSDORG00000007515
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033817
mus_spicilegus ENSMSIG00000023836
mus_musculus ENSMUSG00000032594
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032672
mus_pahari MGP_PahariEiJ_G0015540
rattus_norvegicus ENSRNOG00000019932
meriones_unguiculatus ENSMUGG00000017535
cricetulus_griseus_crigri-picr ENSCGRG00015012566
cricetulus_griseus_crigri ENSCGRG00000007562
cricetulus_griseus_chok1gshd ENSCGRG00001024230
mesocricetus_auratus ENSMAUG00000020356
microtus_ochrogaster ENSMOCG00000003920
peromyscus_maniculatus_bairdii ENSPEMG00000029245
nannospalax_galili ENSNGAG00000017703
jaculus_jaculus ENSJJAG00000011549
urocitellus_parryii ENSUPAG00010022678
spermophilus_dauricus ENSSDAG00000014077
ictidomys_tridecemlineatus ENSSTOG00000013735
marmota_marmota_marmota ENSMMMG00000004620
heterocephalus_glaber_male ENSHGLG00100010935
heterocephalus_glaber_female ENSHGLG00000011077
fukomys_damarensis ENSFDAG00000009838
chinchilla_lanigera ENSCLAG00000010986
cavia_aperea ENSCAPG00000008890
cavia_porcellus ENSCPOG00000040339
octodon_degus ENSODEG00000018281
sorex_araneus ENSSARG00000011104
bos_mutus ENSBMUG00000021188
bos_taurus ENSBTAG00000011595
bison_bison_bison ENSBBBG00000003137
capra_hircus ENSCHIG00000025216
ovis_aries ENSOARG00000012413
sus_scrofa ENSSSCG00000011390
tursiops_truncatus ENSTTRG00000002756
myotis_lucifugus ENSMLUG00000015287
pteropus_vampyrus ENSPVAG00000008763
erinaceus_europaeus ENSEEUG00000008395
equus_caballus ENSECAG00000016830
equus_asinus_asinus ENSEASG00005011758
neovison_vison ENSNVIG00000023789
mustela_putorius_furo ENSMPUG00000013407
ursus_americanus ENSUAMG00000007094
ursus_maritimus ENSUMAG00000022211
ailuropoda_melanoleuca ENSAMEG00000012301
canis_lupus_dingo ENSCAFG00020021446
canis_lupus_familiaris ENSCAFG00000011226
vulpes_vulpes ENSVVUG00000028850
panthera_tigris_altaica ENSPTIG00000019305
panthera_pardus ENSPPRG00000013644
felis_catus ENSFCAG00000010677
vicugna_pacos ENSVPAG00000005687
choloepus_hoffmanni ENSCHOG00000004675
dasypus_novemcinctus ENSDNOG00000045127
loxodonta_africana ENSLAFG00000013133
procavia_capensis ENSPCAG00000011709
ornithorhynchus_anatinus ENSOANG00000010236
gallus_gallus ENSGALG00000002510
