choloepus_hoffmanni ENSCHOG00000002559
dasypus_novemcinctus ENSDNOG00000042308
equus_caballus ENSECAG00000024136
equus_asinus ENSEASG00005018788
myotis_lucifugus ENSMLUG00000030490
tursiops_truncatus ENSTTRG00000012756
ursus_maritimus ENSUMAG00000004764
ursus_americanus ENSUAMG00000001017
ailuropoda_melanoleuca ENSAMEG00000002993
mustela_putorius ENSMPUG00000003474
neovison_vison ENSNVIG00000023533
canis_lupus ENSCAFG00020012882
canis_lupus ENSCAFG00000009245
vulpes_vulpes ENSVVUG00000005099
panthera_pardus ENSPPRG00000000275
panthera_tigris ENSPTIG00000007097
felis_catus ENSFCAG00000005670
sorex_araneus ENSSARG00000000005
bos_indicus ENSBIXG00000025152
bos_indicus ENSBIXG00005026098
bison_bison ENSBBBG00000014131
bos_taurus ENSBTAG00000035958
ovis_aries ENSOARG00000010174
bos_taurus ENSBTAG00000048328
bos_taurus ENSBTAG00000051937
bos_indicus ENSBIXG00005028622
bos_indicus ENSBIXG00000005119
bos_indicus ENSBIXG00000025089
bos_indicus ENSBIXG00005003336
bos_taurus ENSBTAG00000055171
capra_hircus ENSCHIG00000010021
erinaceus_europaeus ENSEEUG00000011279
pan_paniscus ENSPPAG00000030792
pan_troglodytes ENSPTRG00000020069
gorilla_gorilla ENSGGOG00000036689
homo_sapiens ENSG00000008853
pongo_abelii ENSPPYG00000018430
nomascus_leucogenys ENSNLEG00000015848
theropithecus_gelada ENSTGEG00000001004
papio_anubis ENSPANG00000020434
cercocebus_atys ENSCATG00000035570
macaca_fascicularis ENSMFAG00000036619
macaca_nemestrina ENSMNEG00000041610
macaca_mulatta ENSMMUG00000007540
chlorocebus_sabaeus ENSCSAG00000016294
mandrillus_leucophaeus ENSMLEG00000039169
colobus_angolensis ENSCANG00000032083
piliocolobus_tephrosceles ENSPTEG00000027286
rhinopithecus_roxellana ENSRROG00000037086
rhinopithecus_bieti ENSRBIG00000005376
saimiri_boliviensis ENSSBOG00000034058
cebus_capucinus ENSCCAG00000027624
callithrix_jacchus ENSCJAG00000020143
aotus_nancymaae ENSANAG00000022868
carlito_syrichta ENSTSYG00000030377
prolemur_simus ENSPSMG00000006602
microcebus_murinus ENSMICG00000011180
propithecus_coquereli ENSPCOG00000015995
otolemur_garnettii ENSOGAG00000014791
chinchilla_lanigera ENSCLAG00000014037
octodon_degus ENSODEG00000007111
cavia_aperea ENSCAPG00000007874
cavia_porcellus ENSCPOG00000039763
heterocephalus_glaber ENSHGLG00000016441
