calidris_pygmaea ENSCPGG00000001718
calidris_pugnax ENSCPUG00000018813
melopsittacus_undulatus ENSMUNG00000003343
parus_major ENSPMJG00000013394
cyanistes_caeruleus ENSCCEG00000016017
serinus_canaria ENSSCAG00000005570
lonchura_striata_domestica ENSLSDG00000012517
taeniopygia_guttata ENSTGUG00000007775
ficedula_albicollis ENSFALG00000008459
junco_hyemalis ENSJHYG00000015514
lepidothrix_coronata ENSLCOG00000012462
meleagris_gallopavo ENSMGAG00000006807
coturnix_japonica ENSCJPG00005008463
gallus_gallus ENSGALG00000005634
numida_meleagris ENSNMEG00000021467
anas_platyrhynchos_platyrhynchos ENSAPLG00000027723
nothoprocta_perdicaria ENSNPEG00000008484
crocodylus_porosus ENSCPRG00005010419
chelonoidis_abingdonii ENSCABG00000007120
gopherus_agassizii ENSGAGG00000008208
chrysemys_picta_bellii ENSCPBG00000021601
pogona_vitticeps ENSPVIG00000017776
salvator_merianae ENSSMRG00000020888
sphenodon_punctatus ENSSPUG00000007577
phascolarctos_cinereus ENSPCIG00000020960
notamacropus_eugenii ENSMEUG00000007295
sarcophilus_harrisii ENSSHAG00000014480
monodelphis_domestica ENSMODG00000010673
tursiops_truncatus ENSTTRG00000009438
vicugna_pacos ENSVPAG00000005467
capra_hircus ENSCHIG00000025185
ovis_aries ENSOARG00000001670
bos_taurus ENSBTAG00000019282
bos_mutus ENSBMUG00000000307
bison_bison_bison ENSBBBG00000010934
sus_scrofa ENSSSCG00000009965
equus_asinus_asinus ENSEASG00005009770
otolemur_garnettii ENSOGAG00000001506
ursus_americanus ENSUAMG00000003235
castor_canadensis ENSCCNG00000030334
choloepus_hoffmanni ENSCHOG00000002805
ursus_maritimus ENSUMAG00000015866
ailuropoda_melanoleuca ENSAMEG00000018107
neovison_vison ENSNVIG00000004343
mustela_putorius_furo ENSMPUG00000013593
canis_lupus_familiaris ENSCAFG00000011809
canis_lupus_dingo ENSCAFG00020022404
vulpes_vulpes ENSVVUG00000015762
panthera_pardus ENSPPRG00000009037
panthera_tigris_altaica ENSPTIG00000010726
felis_catus ENSFCAG00000010718
sus_scrofa ENSSSCG00000040440
equus_caballus ENSECAG00000021073
pteropus_vampyrus ENSPVAG00000000232
myotis_lucifugus ENSMLUG00000014100
dipodomys_ordii ENSDORG00000026545
dasypus_novemcinctus ENSDNOG00000003635
mus_musculus ENSMUSG00000066975
mus_spicilegus ENSMSIG00000005991
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028557
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027559
mus_pahari MGP_PahariEiJ_G0024141
rattus_norvegicus ENSRNOG00000049770
meriones_unguiculatus ENSMUGG00000013774
cricetulus_griseus_crigri ENSCGRG00000001667
cricetulus_griseus_chok1gshd ENSCGRG00001015520
cricetulus_griseus_crigri-picr ENSCGRG00015022201
mesocricetus_auratus ENSMAUG00000000224
peromyscus_maniculatus_bairdii ENSPEMG00000008988
microtus_ochrogaster ENSMOCG00000009912
nannospalax_galili ENSNGAG00000002189
jaculus_jaculus ENSJJAG00000012787
heterocephalus_glaber_female ENSHGLG00000011408
heterocephalus_glaber_male ENSHGLG00100014299
fukomys_damarensis ENSFDAG00000009206
octodon_degus ENSODEG00000017057
chinchilla_lanigera ENSCLAG00000010258
cavia_porcellus ENSCPOG00000002117
cavia_aperea ENSCAPG00000009865
marmota_marmota_marmota ENSMMMG00000017760
spermophilus_dauricus ENSSDAG00000003735
ictidomys_tridecemlineatus ENSSTOG00000011298
urocitellus_parryii ENSUPAG00010005375
oryctolagus_cuniculus ENSOCUG00000024392
ochotona_princeps ENSOPRG00000004108
papio_anubis ENSPANG00000017503
theropithecus_gelada ENSTGEG00000026853
macaca_fascicularis ENSMFAG00000039512
macaca_nemestrina ENSMNEG00000036019
macaca_mulatta ENSMMUG00000023451
mandrillus_leucophaeus ENSMLEG00000031281
cercocebus_atys ENSCATG00000015206
chlorocebus_sabaeus ENSCSAG00000010011
rhinopithecus_roxellana ENSRROG00000040035
rhinopithecus_bieti ENSRBIG00000030788
piliocolobus_tephrosceles ENSPTEG00000035746
colobus_angolensis_palliatus ENSCANG00000039985
pan_troglodytes ENSPTRG00000024105
pan_paniscus ENSPPAG00000028348
gorilla_gorilla ENSGGOG00000026014
homo_sapiens ENSG00000196431
pongo_abelii ENSPPYG00000011670
nomascus_leucogenys ENSNLEG00000007741
cebus_capucinus ENSCCAG00000024970
saimiri_boliviensis_boliviensis ENSSBOG00000029605
callithrix_jacchus ENSCJAG00000008564
aotus_nancymaae ENSANAG00000033748
carlito_syrichta ENSTSYG00000010541
propithecus_coquereli ENSPCOG00000006750
prolemur_simus ENSPSMG00000013653
microcebus_murinus ENSMICG00000012750
tupaia_belangeri ENSTBEG00000008720
loxodonta_africana ENSLAFG00000001868
procavia_capensis ENSPCAG00000011512
xenopus_tropicalis ENSXETG00000004227
latimeria_chalumnae ENSLACG00000011138
scleropages_formosus ENSSFOG00015018780
paramormyrops_kingsleyae ENSPKIG00000014643
scleropages_formosus ENSSFOG00015010759
mastacembelus_armatus ENSMAMG00000006492
anabas_testudineus ENSATEG00000006007
seriola_dumerili ENSSDUG00000006955
pundamilia_nyererei ENSPNYG00000009970
haplochromis_burtoni ENSHBUG00000007990
astatotilapia_calliptera ENSACLG00000007706
maylandia_zebra ENSMZEG00005012023
oreochromis_niloticus ENSONIG00000011407
amphilophus_citrinellus ENSACIG00000008542
oryzias_latipes ENSORLG00020016742
oryzias_latipes_asm223469v1 ENSORLG00015003623
oryzias_latipes ENSORLG00000022438
oryzias_melastigma ENSOMEG00000000604
periophthalmus_magnuspinnatus ENSPMGG00000021297
xiphophorus_couchianus ENSXCOG00000016216
xiphophorus_maculatus ENSXMAG00000016070
gambusia_affinis ENSGAFG00000007622
poecilia_mexicana ENSPMEG00000017935
poecilia_latipinna ENSPLAG00000006224
poecilia_formosa ENSPFOG00000016815
poecilia_reticulata ENSPREG00000014121
fundulus_heteroclitus ENSFHEG00000003932
kryptolebias_marmoratus ENSKMAG00000017301
monopterus_albus ENSMALG00000006041
pygocentrus_nattereri ENSPNAG00000009056
astyanax_mexicanus ENSAMXG00000007889
ictalurus_punctatus ENSIPUG00000012685
danio_rerio ENSDARG00000024548
mola_mola ENSMMOG00000010160
hippocampus_comes ENSHCOG00000020635
cyprinodon_variegatus ENSCVAG00000008771
seriola_lalandi_dorsalis ENSSLDG00000010738
acanthochromis_polyacanthus ENSAPOG00000004833
amphiprion_ocellaris ENSAOCG00000004783
stegastes_partitus ENSSPAG00000000126
neolamprologus_brichardi ENSNBRG00000004495
scophthalmus_maximus ENSSMAG00000009171
cynoglossus_semilaevis ENSCSEG00000011585
seriola_lalandi_dorsalis ENSSLDG00000005876
takifugu_rubripes ENSTRUG00000018611
tetraodon_nigroviridis ENSTNIG00000013582
labrus_bergylta ENSLBEG00000006437
hippocampus_comes ENSHCOG00000020648
seriola_lalandi_dorsalis ENSSLDG00000011821
amphiprion_percula ENSAPEG00000008175
gadus_morhua ENSGMOG00000007274
esox_lucius ENSELUG00000004968
lepisosteus_oculatus ENSLOCG00000008625
