caenorhabditis_elegans WBGene00006467
drosophila_melanogaster FBgn0261873
clupea_harengus ENSCHAG00000001239
denticeps_clupeoides ENSDCDG00000000425
astyanax_mexicanus ENSAMXG00000011726
astyanax_mexicanus ENSAMXG00005014268
pygocentrus_nattereri ENSPNAG00000028035
ictalurus_punctatus ENSIPUG00000013563
electrophorus_electricus ENSEEEG00000003915
danio_rerio ENSDARG00000006272
hucho_hucho ENSHHUG00000001815
hucho_hucho ENSHHUG00000021760
esox_lucius ENSELUG00000023859
takifugu_rubripes ENSTRUG00000009068
tetraodon_nigroviridis ENSTNIG00000008902
hippocampus_comes ENSHCOG00000001207
poecilia_formosa ENSPFOG00000011128
poecilia_mexicana ENSPMEG00000008727
poecilia_latipinna ENSPLAG00000001277
xiphophorus_maculatus ENSXMAG00000000160
poecilia_reticulata ENSPREG00000009323
xiphophorus_couchianus ENSXCOG00000013192
cyprinodon_variegatus ENSCVAG00000023057
kryptolebias_marmoratus ENSKMAG00000011098
oryzias_latipes ENSORLG00000018093
oryzias_latipes ENSORLG00015007173
oryzias_latipes ENSORLG00020010166
oryzias_melastigma ENSOMEG00000006695
amphilophus_citrinellus ENSACIG00000005828
neolamprologus_brichardi ENSNBRG00000006800
astatotilapia_calliptera ENSACLG00000016771
maylandia_zebra ENSMZEG00005004910
maylandia_zebra ENSMZEG00005028434
oreochromis_niloticus ENSONIG00000011723
pundamilia_nyererei ENSPNYG00000007669
haplochromis_burtoni ENSHBUG00000013023
neolamprologus_brichardi ENSNBRG00000006789
xiphophorus_couchianus ENSXCOG00000013193
gambusia_affinis ENSGAFG00000011646
poecilia_reticulata ENSPREG00000009318
betta_splendens ENSBSLG00000022384
lates_calcarifer ENSLCAG00010022302
cynoglossus_semilaevis ENSCSEG00000015895
seriola_dumerili ENSSDUG00000020815
anabas_testudineus ENSATEG00000013076
parambassis_ranga ENSPRNG00000013513
mastacembelus_armatus ENSMAMG00000015839
gouania_willdenowi ENSGWIG00000005711
amphiprion_percula ENSAPEG00000004649
amphiprion_ocellaris ENSAOCG00000009784
acanthochromis_polyacanthus ENSAPOG00000023551
cottoperca_gobio ENSCGOG00000006348
gasterosteus_aculeatus ENSGACG00000001891
larimichthys_crocea ENSLCRG00005009311
labrus_bergylta ENSLBEG00000024969
seriola_lalandi ENSSLDG00000013533
scophthalmus_maximus ENSSMAG00000015711
monopterus_albus ENSMALG00000013265
mola_mola ENSMMOG00000004840
tetraodon_nigroviridis ENSTNIG00000003911
stegastes_partitus ENSSPAG00000016489
fundulus_heteroclitus ENSFHEG00000021609
gambusia_affinis ENSGAFG00000008888
pundamilia_nyererei ENSPNYG00000007488
periophthalmus_magnuspinnatus ENSPMGG00000003098
gadus_morhua ENSGMOG00000015184
scleropages_formosus ENSSFOG00015020171
paramormyrops_kingsleyae ENSPKIG00000013926
paramormyrops_kingsleyae ENSPKIG00000007601
scleropages_formosus ENSSFOG00015002396
denticeps_clupeoides ENSDCDG00000012372
denticeps_clupeoides ENSDCDG00000013681
clupea_harengus ENSCHAG00000011960
astyanax_mexicanus ENSAMXG00000018802
astyanax_mexicanus ENSAMXG00005023587
pygocentrus_nattereri ENSPNAG00000006994
danio_rerio ENSDARG00000004721
xiphophorus_maculatus ENSXMAG00000017247
gambusia_affinis ENSGAFG00000001186
poecilia_latipinna ENSPLAG00000005580
poecilia_formosa ENSPFOG00000018754
poecilia_mexicana ENSPMEG00000012551
poecilia_reticulata ENSPREG00000008665
fundulus_heteroclitus ENSFHEG00000003584
cyprinodon_variegatus ENSCVAG00000003419
kryptolebias_marmoratus ENSKMAG00000018972
oryzias_latipes ENSORLG00000011789
oryzias_latipes ENSORLG00015011397
oryzias_latipes ENSORLG00020016515
oryzias_melastigma ENSOMEG00000023097
gouania_willdenowi ENSGWIG00000023299
cynoglossus_semilaevis ENSCSEG00000003732
seriola_dumerili ENSSDUG00000003933
seriola_lalandi ENSSLDG00000024524
lates_calcarifer ENSLCAG00010018060
scophthalmus_maximus ENSSMAG00000002434
monopterus_albus ENSMALG00000022329
mastacembelus_armatus ENSMAMG00000004436
anabas_testudineus ENSATEG00000017424
betta_splendens ENSBSLG00000006056
larimichthys_crocea ENSLCRG00005016778
labrus_bergylta ENSLBEG00000011046
cottoperca_gobio ENSCGOG00000017735
gasterosteus_aculeatus ENSGACG00000008518
amphiprion_percula ENSAPEG00000009541
amphiprion_ocellaris ENSAOCG00000019449
acanthochromis_polyacanthus ENSAPOG00000016672
stegastes_partitus ENSSPAG00000016041
parambassis_ranga ENSPRNG00000026193
oreochromis_niloticus ENSONIG00000005919
neolamprologus_brichardi ENSNBRG00000022269
maylandia_zebra ENSMZEG00005001550
pundamilia_nyererei ENSPNYG00000023328
astatotilapia_calliptera ENSACLG00000024584
haplochromis_burtoni ENSHBUG00000018619
amphilophus_citrinellus ENSACIG00000014252
tetraodon_nigroviridis ENSTNIG00000012225
takifugu_rubripes ENSTRUG00000017940
mola_mola ENSMMOG00000015559
hippocampus_comes ENSHCOG00000000513
periophthalmus_magnuspinnatus ENSPMGG00000015716
gadus_morhua ENSGMOG00000003235
hucho_hucho ENSHHUG00000024811
hucho_hucho ENSHHUG00000037387
esox_lucius ENSELUG00000007873
lepisosteus_oculatus ENSLOCG00000014151
pogona_vitticeps ENSPVIG00000022715
anolis_carolinensis ENSACAG00000006139
notechis_scutatus ENSNSUG00000017690
salvator_merianae ENSSMRG00000009433
sphenodon_punctatus ENSSPUG00000013681
apteryx_owenii ENSAOWG00000001405
apteryx_haastii ENSAHAG00000014448
apteryx_rowi ENSARWG00000003013
dromaius_novaehollandiae ENSDNVG00000002281
nothoprocta_perdicaria ENSNPEG00000008068
lepidothrix_coronata ENSLCOG00000000115
manacus_vitellinus ENSMVIG00005011112
taeniopygia_guttata ENSTGUG00000011569
lonchura_striata ENSLSDG00000010742
