gasterosteus_aculeatus ENSGACG00000009241
gambusia_affinis ENSGAFG00000012892
oryzias_latipes ENSORLG00020000356
oryzias_latipes ENSORLG00000022362
oryzias_latipes_asm223469v1 ENSORLG00015007998
oryzias_melastigma ENSOMEG00000000785
labrus_bergylta ENSLBEG00000018913
cynoglossus_semilaevis ENSCSEG00000000346
mastacembelus_armatus ENSMAMG00000006908
monopterus_albus ENSMALG00000000625
anabas_testudineus ENSATEG00000013879
seriola_dumerili ENSSDUG00000000413
seriola_lalandi_dorsalis ENSSLDG00000002226
scophthalmus_maximus ENSSMAG00000017400
amphiprion_percula ENSAPEG00000022477
amphiprion_ocellaris ENSAOCG00000016175
acanthochromis_polyacanthus ENSAPOG00000014240
stegastes_partitus ENSSPAG00000003009
maylandia_zebra ENSMZEG00005018153
pundamilia_nyererei ENSPNYG00000022509
astatotilapia_calliptera ENSACLG00000021336
haplochromis_burtoni ENSHBUG00000014040
neolamprologus_brichardi ENSNBRG00000019959
oreochromis_niloticus ENSONIG00000014735
amphilophus_citrinellus ENSACIG00000009541
xiphophorus_maculatus ENSXMAG00000003386
xiphophorus_couchianus ENSXCOG00000004298
poecilia_formosa ENSPFOG00000019393
poecilia_mexicana ENSPMEG00000015204
poecilia_reticulata ENSPREG00000005916
poecilia_latipinna ENSPLAG00000010136
cyprinodon_variegatus ENSCVAG00000001807
fundulus_heteroclitus ENSFHEG00000022918
kryptolebias_marmoratus ENSKMAG00000015950
takifugu_rubripes ENSTRUG00000007239
tetraodon_nigroviridis ENSTNIG00000012294
mola_mola ENSMMOG00000014975
hippocampus_comes ENSHCOG00000015013
periophthalmus_magnuspinnatus ENSPMGG00000024106
gadus_morhua ENSGMOG00000013696
esox_lucius ENSELUG00000016225
astyanax_mexicanus ENSAMXG00000036444
pygocentrus_nattereri ENSPNAG00000017060
ictalurus_punctatus ENSIPUG00000003659
danio_rerio ENSDARG00000006837
paramormyrops_kingsleyae ENSPKIG00000012414
ovis_aries ENSOARG00000016462
capra_hircus ENSCHIG00000017882
bos_taurus ENSBTAG00000023372
sus_scrofa ENSSSCG00000008618
equus_asinus_asinus ENSEASG00005009341
equus_caballus ENSECAG00000002896
myotis_lucifugus ENSMLUG00000026821
mustela_putorius_furo ENSMPUG00000013620
canis_lupus_familiaris ENSCAFG00000003715
ursus_americanus ENSUAMG00000015011
canis_lupus_dingo ENSCAFG00020026072
neovison_vison ENSNVIG00000013755
panthera_pardus ENSPPRG00000020616
felis_catus ENSFCAG00000043374
tursiops_truncatus ENSTTRG00000005135
vicugna_pacos ENSVPAG00000007723
panthera_tigris_altaica ENSPTIG00000018921
ailuropoda_melanoleuca ENSAMEG00000001062
pteropus_vampyrus ENSPVAG00000010355
vulpes_vulpes ENSVVUG00000013125
pan_troglodytes ENSPTRG00000011672
homo_sapiens ENSG00000134323
gorilla_gorilla ENSGGOG00000005130
pongo_abelii ENSPPYG00000012635
nomascus_leucogenys ENSNLEG00000014496
macaca_fascicularis ENSMFAG00000032784
macaca_nemestrina ENSMNEG00000034331
cercocebus_atys ENSCATG00000041172
papio_anubis ENSPANG00000032256
chlorocebus_sabaeus ENSCSAG00000007889
rhinopithecus_roxellana ENSRROG00000041638
rhinopithecus_bieti ENSRBIG00000031158
cebus_capucinus ENSCCAG00000036405
callithrix_jacchus ENSCJAG00000039364
saimiri_boliviensis_boliviensis ENSSBOG00000027501
aotus_nancymaae ENSANAG00000027525
castor_canadensis ENSCCNG00000012898
dipodomys_ordii ENSDORG00000009906
mus_spicilegus ENSMSIG00000030461
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018463
mus_musculus ENSMUSG00000037169
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017621
mus_pahari MGP_PahariEiJ_G0029377
rattus_norvegicus ENSRNOG00000051372
meriones_unguiculatus ENSMUGG00000023376
cricetulus_griseus_chok1gshd ENSCGRG00001018130
cricetulus_griseus_crigri-picr ENSCGRG00015001729
cricetulus_griseus_crigri ENSCGRG00000000566
mesocricetus_auratus ENSMAUG00000017079
microtus_ochrogaster ENSMOCG00000012273
peromyscus_maniculatus_bairdii ENSPEMG00000014767
nannospalax_galili ENSNGAG00000016404
cricetulus_griseus_chok1gshd ENSCGRG00001000792
cricetulus_griseus_crigri-picr ENSCGRG00015017866
peromyscus_maniculatus_bairdii ENSPEMG00000026712
mus_musculus ENSMUSG00000044597
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034022
mus_spicilegus ENSMSIG00000023303
mus_spicilegus ENSMSIG00000009880
rattus_norvegicus ENSRNOG00000003085
jaculus_jaculus ENSJJAG00000012777
urocitellus_parryii ENSUPAG00010009702
ictidomys_tridecemlineatus ENSSTOG00000012252
propithecus_coquereli ENSPCOG00000013382
prolemur_simus ENSPSMG00000000303
microcebus_murinus ENSMICG00000013903
otolemur_garnettii ENSOGAG00000010927
theropithecus_gelada ENSTGEG00000017268
mandrillus_leucophaeus ENSMLEG00000042888
piliocolobus_tephrosceles ENSPTEG00000022309
pan_paniscus ENSPPAG00000037839
spermophilus_dauricus ENSSDAG00000017892
marmota_marmota_marmota ENSMMMG00000022385
ursus_maritimus ENSUMAG00000023442
carlito_syrichta ENSTSYG00000035435
prolemur_simus ENSPSMG00000007742
bos_mutus ENSBMUG00000015004
bison_bison_bison ENSBBBG00000024994
colobus_angolensis_palliatus ENSCANG00000040044
marmota_marmota_marmota ENSMMMG00000006651
spermophilus_dauricus ENSSDAG00000005882
ictidomys_tridecemlineatus ENSSTOG00000021587
loxodonta_africana ENSLAFG00000015181
dasypus_novemcinctus ENSDNOG00000047342
ochotona_princeps ENSOPRG00000004369
oryctolagus_cuniculus ENSOCUG00000026053
chinchilla_lanigera ENSCLAG00000006932
octodon_degus ENSODEG00000000716
cavia_porcellus ENSCPOG00000020263
