chrysemys_picta ENSCPBG00000025618
gopherus_agassizii ENSGAGG00000009123
pelodiscus_sinensis ENSPSIG00000016894
apteryx_owenii ENSAOWG00000001764
apteryx_haastii ENSAHAG00000018851
apteryx_rowi ENSARWG00000000658
dromaius_novaehollandiae ENSDNVG00000004746
parus_major ENSPMJG00000002575
cyanistes_caeruleus ENSCCEG00000018220
ficedula_albicollis ENSFALG00000002584
taeniopygia_guttata ENSTGUG00000000071
taeniopygia_guttata ENSTGUG00000015982
serinus_canaria ENSSCAG00000014408
zonotrichia_albicollis ENSZALG00000001169
calidris_pugnax ENSCPUG00000010912
numida_meleagris ENSNMEG00000001897
coturnix_japonica ENSCJPG00005000430
anser_brachyrhynchus ENSABRG00000020863
pogona_vitticeps ENSPVIG00000024688
anolis_carolinensis ENSACAG00000010057
notechis_scutatus ENSNSUG00000016555
salvator_merianae ENSSMRG00000016552
vombatus_ursinus ENSVURG00010000853
phascolarctos_cinereus ENSPCIG00000003555
monodelphis_domestica ENSMODG00000003805
sarcophilus_harrisii ENSSHAG00000010788
ornithorhynchus_anatinus ENSOANG00000008124
xenopus_tropicalis ENSXETG00000015724
erpetoichthys_calabaricus ENSECRG00000004226
callorhinchus_milii ENSCMIG00000013802
