salvator_merianae ENSSMRG00000007924
anolis_carolinensis ENSACAG00000023755
rattus_norvegicus ENSRNOG00000026944
mus_spicilegus ENSMSIG00000024595
microtus_ochrogaster ENSMOCG00000006789
ictidomys_tridecemlineatus ENSSTOG00000028557
urocitellus_parryii ENSUPAG00010003991
chinchilla_lanigera ENSCLAG00000004439
cavia_porcellus ENSCPOG00000021967
prolemur_simus ENSPSMG00000011498
tupaia_belangeri ENSTBEG00000006999
canis_lupus_familiaris ENSCAFG00000029712
canis_lupus_dingo ENSCAFG00020007034
ailuropoda_melanoleuca ENSAMEG00000010668
myotis_lucifugus ENSMLUG00000014402
ovis_aries ENSOARG00000017268
choloepus_hoffmanni ENSCHOG00000005383
