xenopus_tropicalis ENSXETG00000017817
ornithorhynchus_anatinus ENSOANG00000014693
anolis_carolinensis ENSACAG00000014034
pogona_vitticeps ENSPVIG00000011419
notechis_scutatus ENSNSUG00000020635
salvator_merianae ENSSMRG00000008476
sphenodon_punctatus ENSSPUG00000013769
cyanistes_caeruleus ENSCCEG00000004477
parus_major ENSPMJG00000004632
lonchura_striata_domestica ENSLSDG00000008045
taeniopygia_guttata ENSTGUG00000002466
serinus_canaria ENSSCAG00000002807
junco_hyemalis ENSJHYG00000008736
zonotrichia_albicollis ENSZALG00000015271
ficedula_albicollis ENSFALG00000004005
manacus_vitellinus ENSMVIG00005009161
lepidothrix_coronata ENSLCOG00000002693
melopsittacus_undulatus ENSMUNG00000013812
calidris_pygmaea ENSCPGG00000019026
calidris_pugnax ENSCPUG00000002728
anser_brachyrhynchus ENSABRG00000010688
anas_platyrhynchos_platyrhynchos ENSAPLG00000007311
coturnix_japonica ENSCJPG00005016475
meleagris_gallopavo ENSMGAG00000004634
gallus_gallus ENSGALG00000006929
numida_meleagris ENSNMEG00000020680
apteryx_owenii ENSAOWG00000016396
apteryx_haastii ENSAHAG00000003757
apteryx_rowi ENSARWG00000004410
dromaius_novaehollandiae ENSDNVG00000000536
nothoprocta_perdicaria ENSNPEG00000006229
crocodylus_porosus ENSCPRG00005010021
gopherus_agassizii ENSGAGG00000005866
chelonoidis_abingdonii ENSCABG00000005461
chrysemys_picta_bellii ENSCPBG00000014458
pelodiscus_sinensis ENSPSIG00000003246
phascolarctos_cinereus ENSPCIG00000002535
notamacropus_eugenii ENSMEUG00000005374
sarcophilus_harrisii ENSSHAG00000017110
monodelphis_domestica ENSMODG00000014346
urocitellus_parryii ENSUPAG00010017349
spermophilus_dauricus ENSSDAG00000005775
ictidomys_tridecemlineatus ENSSTOG00000008918
chinchilla_lanigera ENSCLAG00000006726
octodon_degus ENSODEG00000001046
cavia_porcellus ENSCPOG00000009467
heterocephalus_glaber_male ENSHGLG00100003476
heterocephalus_glaber_female ENSHGLG00000003254
fukomys_damarensis ENSFDAG00000014073
peromyscus_maniculatus_bairdii ENSPEMG00000028793
microtus_ochrogaster ENSMOCG00000003046
cricetulus_griseus_chok1gshd ENSCGRG00001010150
cricetulus_griseus_crigri-picr ENSCGRG00015019592
cricetulus_griseus_crigri ENSCGRG00000005339
mesocricetus_auratus ENSMAUG00000012277
mus_musculus ENSMUSG00000025529
mus_spicilegus ENSMSIG00000026783
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034523
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033357
