anabas_testudineus ENSATEG00000007645
takifugu_rubripes ENSTRUG00000019651
amphiprion_ocellaris ENSAOCG00000020587
amphiprion_percula ENSAPEG00000005747
acanthochromis_polyacanthus ENSAPOG00000009658
oryzias_latipes ENSORLG00020015182
oryzias_latipes_asm223469v1 ENSORLG00015011530
oryzias_latipes ENSORLG00000028176
oryzias_melastigma ENSOMEG00000002537
poecilia_mexicana ENSPMEG00000015291
stegastes_partitus ENSSPAG00000010180
maylandia_zebra ENSMZEG00005001346
astatotilapia_calliptera ENSACLG00000023150
pundamilia_nyererei ENSPNYG00000000863
haplochromis_burtoni ENSHBUG00000012880
neolamprologus_brichardi ENSNBRG00000018943
oreochromis_niloticus ENSONIG00000013977
amphilophus_citrinellus ENSACIG00000023189
seriola_dumerili ENSSDUG00000023757
seriola_lalandi_dorsalis ENSSLDG00000003844
hippocampus_comes ENSHCOG00000012720
paramormyrops_kingsleyae ENSPKIG00000025298
