denticeps_clupeoides ENSDCDG00000033186
clupea_harengus ENSCHAG00000019681
astyanax_mexicanus ENSAMXG00000015514
astyanax_mexicanus ENSAMXG00005014790
pygocentrus_nattereri ENSPNAG00000006403
ictalurus_punctatus ENSIPUG00000014504
electrophorus_electricus ENSEEEG00000005283
paramormyrops_kingsleyae ENSPKIG00000006708
scleropages_formosus ENSSFOG00015005022
takifugu_rubripes ENSTRUG00000024188
tetraodon_nigroviridis ENSTNIG00000014115
gasterosteus_aculeatus ENSGACG00000018230
betta_splendens ENSBSLG00000000129
cynoglossus_semilaevis ENSCSEG00000009983
betta_splendens ENSBSLG00000000107
monopterus_albus ENSMALG00000013729
mastacembelus_armatus ENSMAMG00000016480
anabas_testudineus ENSATEG00000006623
seriola_dumerili ENSSDUG00000018555
seriola_lalandi ENSSLDG00000000073
lates_calcarifer ENSLCAG00010025720
scophthalmus_maximus ENSSMAG00000018019
larimichthys_crocea ENSLCRG00005002574
amphiprion_percula ENSAPEG00000003201
amphiprion_ocellaris ENSAOCG00000000349
acanthochromis_polyacanthus ENSAPOG00000004320
stegastes_partitus ENSSPAG00000023064
parambassis_ranga ENSPRNG00000023675
poecilia_formosa ENSPFOG00000017885
poecilia_mexicana ENSPMEG00000022579
poecilia_latipinna ENSPLAG00000020731
poecilia_reticulata ENSPREG00000000233
gambusia_affinis ENSGAFG00000015996
xiphophorus_maculatus ENSXMAG00000001597
kryptolebias_marmoratus ENSKMAG00000016816
oryzias_latipes ENSORLG00020021601
oryzias_latipes ENSORLG00015022456
oryzias_latipes ENSORLG00000013735
oryzias_melastigma ENSOMEG00000009271
gouania_willdenowi ENSGWIG00000018104
astatotilapia_calliptera ENSACLG00000002766
maylandia_zebra ENSMZEG00005001597
haplochromis_burtoni ENSHBUG00000014767
pundamilia_nyererei ENSPNYG00000017842
oreochromis_niloticus ENSONIG00000006436
neolamprologus_brichardi ENSNBRG00000003428
amphilophus_citrinellus ENSACIG00000006009
labrus_bergylta ENSLBEG00000019344
hippocampus_comes ENSHCOG00000019198
gadus_morhua ENSGMOG00000000414
hucho_hucho ENSHHUG00000050365
hucho_hucho ENSHHUG00000045779
esox_lucius ENSELUG00000007540
cottoperca_gobio ENSCGOG00000024073
takifugu_rubripes ENSTRUG00000021715
fundulus_heteroclitus ENSFHEG00000017057
hucho_hucho ENSHHUG00000045792
petromyzon_marinus ENSPMAG00000009271
eptatretus_burgeri ENSEBUG00000009982
lepisosteus_oculatus ENSLOCG00000013542
erpetoichthys_calabaricus ENSECRG00000018043
xenopus_tropicalis ENSXETG00000000264
apteryx_owenii ENSAOWG00000003589
apteryx_rowi ENSARWG00000007482
apteryx_haastii ENSAHAG00000013547
dromaius_novaehollandiae ENSDNVG00000012140
nothoprocta_perdicaria ENSNPEG00000006049
anser_brachyrhynchus ENSABRG00000008450
anas_platyrhynchos ENSAPLG00000009428
meleagris_gallopavo ENSMGAG00000007638
coturnix_japonica ENSCJPG00005021366
gallus_gallus ENSGALG00000003540
numida_meleagris ENSNMEG00000005374
calidris_pugnax ENSCPUG00000019036
calidris_pygmaea ENSCPGG00000015290
melopsittacus_undulatus ENSMUNG00000016943
lonchura_striata ENSLSDG00000015365
taeniopygia_guttata ENSTGUG00000004601
serinus_canaria ENSSCAG00000013970
ficedula_albicollis ENSFALG00000002329
cyanistes_caeruleus ENSCCEG00000016911
parus_major ENSPMJG00000017311
junco_hyemalis ENSJHYG00000013620
zonotrichia_albicollis ENSZALG00000017517
manacus_vitellinus ENSMVIG00005011673
lepidothrix_coronata ENSLCOG00000000231
crocodylus_porosus ENSCPRG00005000605
gopherus_agassizii ENSGAGG00000020787
chelonoidis_abingdonii ENSCABG00000004558
chrysemys_picta ENSCPBG00000009235
pelodiscus_sinensis ENSPSIG00000010598
anolis_carolinensis ENSACAG00000000734
pogona_vitticeps ENSPVIG00000017519
notechis_scutatus ENSNSUG00000009001
salvator_merianae ENSSMRG00000004700
sphenodon_punctatus ENSSPUG00000004480
sphenodon_punctatus ENSSPUG00000004407
myotis_lucifugus ENSMLUG00000009545
pteropus_vampyrus ENSPVAG00000001935
bos_indicus ENSBIXG00000015109
bos_indicus ENSBIXG00005018487
bos_taurus ENSBTAG00000014002
bos_mutus ENSBMUG00000008738
bison_bison ENSBBBG00000003405
capra_hircus ENSCHIG00000015865
ovis_aries ENSOARG00000015133
sus_scrofa ENSSSCG00000028925
tursiops_truncatus ENSTTRG00000008836
vicugna_pacos ENSVPAG00000010760
equus_caballus ENSECAG00000020900
equus_asinus ENSEASG00005015672
ursus_maritimus ENSUMAG00000017802
ursus_americanus ENSUAMG00000013501
ailuropoda_melanoleuca ENSAMEG00000002636
neovison_vison ENSNVIG00000003929
mustela_putorius ENSMPUG00000014740
canis_lupus ENSCAFG00020026560
canis_lupus ENSCAFG00000011702
vulpes_vulpes ENSVVUG00000006275
panthera_pardus ENSPPRG00000014792
panthera_tigris ENSPTIG00000013020
felis_catus ENSFCAG00000003513
erinaceus_europaeus ENSEEUG00000008246
sorex_araneus ENSSARG00000007833
prolemur_simus ENSPSMG00000012769
microcebus_murinus ENSMICG00000009285
otolemur_garnettii ENSOGAG00000015360
pan_troglodytes ENSPTRG00000009544
pan_paniscus ENSPPAG00000027687
homo_sapiens ENSG00000258890
gorilla_gorilla ENSGGOG00000015429
pongo_abelii ENSPPYG00000008548
nomascus_leucogenys ENSNLEG00000014905
rhinopithecus_roxellana ENSRROG00000035634
rhinopithecus_bieti ENSRBIG00000030288
colobus_angolensis ENSCANG00000029525
piliocolobus_tephrosceles ENSPTEG00000008870
cercocebus_atys ENSCATG00000035381
mandrillus_leucophaeus ENSMLEG00000035306
chlorocebus_sabaeus ENSCSAG00000004029
macaca_mulatta ENSMMUG00000009459
macaca_nemestrina ENSMNEG00000031411
macaca_fascicularis ENSMFAG00000037980
papio_anubis ENSPANG00000020618
theropithecus_gelada ENSTGEG00000024214
cebus_capucinus ENSCCAG00000028848
saimiri_boliviensis ENSSBOG00000020512
callithrix_jacchus ENSCJAG00000019293
aotus_nancymaae ENSANAG00000031572
propithecus_coquereli ENSPCOG00000024132
carlito_syrichta ENSTSYG00000012155
ictidomys_tridecemlineatus ENSSTOG00000029590
dipodomys_ordii ENSDORG00000023977
nannospalax_galili ENSNGAG00000018007
spermophilus_dauricus ENSSDAG00000008803
urocitellus_parryii ENSUPAG00010001806
marmota_marmota ENSMMMG00000010820
castor_canadensis ENSCCNG00000026443
mus_spretus MGP_SPRETEiJ_G0018174
mus_spicilegus ENSMSIG00000023997
mus_musculus ENSMUSG00000018372
mus_caroli MGP_CAROLIEiJ_G0017330
mus_pahari MGP_PahariEiJ_G0018460
rattus_norvegicus ENSRNOG00000014354
meriones_unguiculatus ENSMUGG00000016841
microtus_ochrogaster ENSMOCG00000001907
peromyscus_maniculatus ENSPEMG00000015557
cricetulus_griseus ENSCGRG00000009878
cricetulus_griseus ENSCGRG00015021241
cricetulus_griseus ENSCGRG00001018047
mesocricetus_auratus ENSMAUG00000011495
jaculus_jaculus ENSJJAG00000019343
heterocephalus_glaber ENSHGLG00000001847
fukomys_damarensis ENSFDAG00000016003
cavia_porcellus ENSCPOG00000007148
chinchilla_lanigera ENSCLAG00000005716
oryctolagus_cuniculus ENSOCUG00000012756
ochotona_princeps ENSOPRG00000008223
tupaia_belangeri ENSTBEG00000001480
loxodonta_africana ENSLAFG00000022114
procavia_capensis ENSPCAG00000007182
echinops_telfairi ENSETEG00000019953
dasypus_novemcinctus ENSDNOG00000042222
choloepus_hoffmanni ENSCHOG00000011126
ursus_americanus ENSUAMG00000023390
vombatus_ursinus ENSVURG00010015481
phascolarctos_cinereus ENSPCIG00000019319
sarcophilus_harrisii ENSSHAG00000012518
monodelphis_domestica ENSMODG00000003779
ornithorhynchus_anatinus ENSOANG00000008045
latimeria_chalumnae ENSLACG00000014850
callorhinchus_milii ENSCMIG00000019963
ciona_savignyi ENSCSAVG00000009785
ciona_intestinalis ENSCING00000024787
petromyzon_marinus ENSPMAG00000005125
ciona_savignyi ENSCSAVG00000009786
