canis_lupus_familiaris ENSCAFG00000019923
canis_lupus_dingo ENSCAFG00020004197
ursus_americanus ENSUAMG00000008975
ursus_maritimus ENSUMAG00000007695
ailuropoda_melanoleuca ENSAMEG00000018280
neovison_vison ENSNVIG00000007837
bos_mutus ENSBMUG00000014024
bos_taurus ENSBTAG00000052744
bison_bison_bison ENSBBBG00000018518
capra_hircus ENSCHIG00000021117
sus_scrofa ENSSSCG00000002662
tursiops_truncatus ENSTTRG00000016016
pteropus_vampyrus ENSPVAG00000004945
myotis_lucifugus ENSMLUG00000002220
equus_asinus_asinus ENSEASG00005013827
equus_caballus ENSECAG00000031496
spermophilus_dauricus ENSSDAG00000007244
spermophilus_dauricus ENSSDAG00000007254
urocitellus_parryii ENSUPAG00010014881
ictidomys_tridecemlineatus ENSSTOG00000030213
marmota_marmota_marmota ENSMMMG00000011294
castor_canadensis ENSCCNG00000002746
cavia_aperea ENSCAPG00000009481
cavia_porcellus ENSCPOG00000034511
chinchilla_lanigera ENSCLAG00000001005
octodon_degus ENSODEG00000004976
heterocephalus_glaber_male ENSHGLG00100006459
heterocephalus_glaber_female ENSHGLG00000012315
fukomys_damarensis ENSFDAG00000013452
mus_pahari MGP_PahariEiJ_G0023237
mus_pahari MGP_PahariEiJ_G0023236
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032757
mus_musculus ENSMUSG00000043687
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031639
mus_musculus ENSMUSG00000097919
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031638
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032756
rattus_norvegicus ENSRNOG00000017646
meriones_unguiculatus ENSMUGG00000007276
cricetulus_griseus_crigri ENSCGRG00000015831
cricetulus_griseus_crigri-picr ENSCGRG00015022342
cricetulus_griseus_chok1gshd ENSCGRG00001014481
mesocricetus_auratus ENSMAUG00000008776
microtus_ochrogaster ENSMOCG00000019559
peromyscus_maniculatus_bairdii ENSPEMG00000013297
nannospalax_galili ENSNGAG00000012010
jaculus_jaculus ENSJJAG00000021284
propithecus_coquereli ENSPCOG00000023803
microcebus_murinus ENSMICG00000009935
pan_paniscus ENSPPAG00000042677
felis_catus ENSFCAG00000037070
otolemur_garnettii ENSOGAG00000010369
prolemur_simus ENSPSMG00000008029
pan_troglodytes ENSPTRG00000008431
homo_sapiens ENSG00000154102
gorilla_gorilla ENSGGOG00000009075
pongo_abelii ENSPPYG00000007617
nomascus_leucogenys ENSNLEG00000011399
rhinopithecus_bieti ENSRBIG00000043760
rhinopithecus_roxellana ENSRROG00000040651
piliocolobus_tephrosceles ENSPTEG00000014795
colobus_angolensis_palliatus ENSCANG00000040864
cercocebus_atys ENSCATG00000029585
mandrillus_leucophaeus ENSMLEG00000028479
papio_anubis ENSPANG00000030062
theropithecus_gelada ENSTGEG00000019129
chlorocebus_sabaeus ENSCSAG00000003147
macaca_fascicularis ENSMFAG00000001118
macaca_mulatta ENSMMUG00000011283
macaca_nemestrina ENSMNEG00000044821
callithrix_jacchus ENSCJAG00000017308
callithrix_jacchus ENSCJAG00000042932
saimiri_boliviensis_boliviensis ENSSBOG00000032366
cebus_capucinus ENSCCAG00000000225
aotus_nancymaae ENSANAG00000033611
procavia_capensis ENSPCAG00000014718
loxodonta_africana ENSLAFG00000011435
dasypus_novemcinctus ENSDNOG00000018275
phascolarctos_cinereus ENSPCIG00000033796
notamacropus_eugenii ENSMEUG00000014979
monodelphis_domestica ENSMODG00000004599
ornithorhynchus_anatinus ENSOANG00000003743
