cavia_aperea ENSCAPG00000007402
cavia_porcellus ENSCPOG00000039909
dipodomys_ordii ENSDORG00000027315
ornithorhynchus_anatinus ENSOANG00000006813
ornithorhynchus_anatinus ENSOANG00000029054
vombatus_ursinus ENSVURG00010021709
phascolarctos_cinereus ENSPCIG00000014784
notamacropus_eugenii ENSMEUG00000013602
sarcophilus_harrisii ENSSHAG00000001220
monodelphis_domestica ENSMODG00000011134
pan_troglodytes ENSPTRG00000014788
pan_paniscus ENSPPAG00000035953
homo_sapiens ENSG00000168038
gorilla_gorilla ENSGGOG00000001842
pongo_abelii ENSPPYG00000013985
nomascus_leucogenys ENSNLEG00000005778
macaca_mulatta ENSMMUG00000001074
macaca_nemestrina ENSMNEG00000038315
macaca_fascicularis ENSMFAG00000029259
cercocebus_atys ENSCATG00000040249
theropithecus_gelada ENSTGEG00000015465
papio_anubis ENSPANG00000019567
mandrillus_leucophaeus ENSMLEG00000040382
chlorocebus_sabaeus ENSCSAG00000016885
piliocolobus_tephrosceles ENSPTEG00000016061
colobus_angolensis ENSCANG00000020513
rhinopithecus_roxellana ENSRROG00000015268
rhinopithecus_bieti ENSRBIG00000031096
cebus_capucinus ENSCCAG00000022062
callithrix_jacchus ENSCJAG00000017964
aotus_nancymaae ENSANAG00000032735
saimiri_boliviensis ENSSBOG00000025306
carlito_syrichta ENSTSYG00000003218
prolemur_simus ENSPSMG00000022017
propithecus_coquereli ENSPCOG00000001332
microcebus_murinus ENSMICG00000049370
otolemur_garnettii ENSOGAG00000016170
ictidomys_tridecemlineatus ENSSTOG00000012095
spermophilus_dauricus ENSSDAG00000004514
urocitellus_parryii ENSUPAG00010011069
marmota_marmota ENSMMMG00000009644
tupaia_belangeri ENSTBEG00000002376
erinaceus_europaeus ENSEEUG00000004310
mus_spretus MGP_SPRETEiJ_G0033969
mus_spicilegus ENSMSIG00000023580
mus_musculus ENSMUSG00000040936
mus_caroli MGP_CAROLIEiJ_G0032822
mus_pahari MGP_PahariEiJ_G0015688
rattus_norvegicus ENSRNOG00000019271
meriones_unguiculatus ENSMUGG00000023828
peromyscus_maniculatus ENSPEMG00000020231
microtus_ochrogaster ENSMOCG00000013053
cricetulus_griseus ENSCGRG00000012108
cricetulus_griseus ENSCGRG00001021339
cricetulus_griseus ENSCGRG00015010625
mesocricetus_auratus ENSMAUG00000016164
nannospalax_galili ENSNGAG00000010866
jaculus_jaculus ENSJJAG00000022641
heterocephalus_glaber ENSHGLG00000013251
heterocephalus_glaber ENSHGLG00100016902
fukomys_damarensis ENSFDAG00000020935
chinchilla_lanigera ENSCLAG00000015979
echinops_telfairi ENSETEG00000004953
tupaia_belangeri ENSTBEG00000012583
myotis_lucifugus ENSMLUG00000013999
echinops_telfairi ENSETEG00000006460
oryctolagus_cuniculus ENSOCUG00000013497
ochotona_princeps ENSOPRG00000013589
equus_caballus ENSECAG00000021560
equus_asinus ENSEASG00005007678
pteropus_vampyrus ENSPVAG00000008912
ailuropoda_melanoleuca ENSAMEG00000011574
ursus_maritimus ENSUMAG00000002453
mustela_putorius ENSMPUG00000011555
neovison_vison ENSNVIG00000019325
canis_lupus ENSCAFG00000005216
canis_lupus ENSCAFG00020025468
vulpes_vulpes ENSVVUG00000005345
panthera_pardus ENSPPRG00000023886
panthera_tigris ENSPTIG00000014770
felis_catus ENSFCAG00000006141
capra_hircus ENSCHIG00000013341
ovis_aries ENSOARG00000002993
bos_indicus ENSBIXG00000008749
bos_indicus ENSBIXG00005006069
bos_taurus ENSBTAG00000051466
bos_mutus ENSBMUG00000017050
bison_bison ENSBBBG00000007239
tursiops_truncatus ENSTTRG00000006095
sus_scrofa ENSSSCG00000025408
vicugna_pacos ENSVPAG00000007754
sorex_araneus ENSSARG00000009030
procavia_capensis ENSPCAG00000017041
choloepus_hoffmanni ENSCHOG00000011319
dasypus_novemcinctus ENSDNOG00000005777
sorex_araneus ENSSARG00000012813
neovison_vison ENSNVIG00000019401
ornithorhynchus_anatinus ENSOANG00000030154
labrus_bergylta ENSLBEG00000007382
sphenodon_punctatus ENSSPUG00000011582
sphenodon_punctatus ENSSPUG00000011574
sphenodon_punctatus ENSSPUG00000011585
melopsittacus_undulatus ENSMUNG00000016468
melopsittacus_undulatus ENSMUNG00000016469
chelonoidis_abingdonii ENSCABG00000012331
erinaceus_europaeus ENSEEUG00000011949
octodon_degus ENSODEG00000010970
anser_brachyrhynchus ENSABRG00000010244
anas_platyrhynchos ENSAPLG00000013816
gallus_gallus ENSGALG00000053882
gallus_gallus ENSGALG00000033698
gallus_gallus ENSGALG00000039440
meleagris_gallopavo ENSMGAG00000011715
coturnix_japonica ENSCJPG00005004437
numida_meleagris ENSNMEG00000010760
zonotrichia_albicollis ENSZALG00000008131
junco_hyemalis ENSJHYG00000001328
serinus_canaria ENSSCAG00000002070
taeniopygia_guttata ENSTGUG00000004756
cyanistes_caeruleus ENSCCEG00000013109
parus_major ENSPMJG00000010581
ficedula_albicollis ENSFALG00000012261
manacus_vitellinus ENSMVIG00005012294
lepidothrix_coronata ENSLCOG00000011899
calidris_pugnax ENSCPUG00000009070
calidris_pygmaea ENSCPGG00000007555
apteryx_owenii ENSAOWG00000010529
apteryx_haastii ENSAHAG00000006192
apteryx_rowi ENSARWG00000012974
