gadus_morhua ENSGMOG00000011588
denticeps_clupeoides ENSDCDG00000033019
cottoperca_gobio ENSCGOG00000024747
lonchura_striata ENSLSDG00000011326
taeniopygia_guttata ENSTGUG00000007670
manacus_vitellinus ENSMVIG00005019216
gallus_gallus ENSGALG00000041634
numida_meleagris ENSNMEG00000019838
anser_brachyrhynchus ENSABRG00000014655
anas_platyrhynchos ENSAPLG00000006060
meleagris_gallopavo ENSMGAG00000004889
calidris_pugnax ENSCPUG00000005233
apteryx_haastii ENSAHAG00000007973
apteryx_rowi ENSARWG00000012909
nothoprocta_perdicaria ENSNPEG00000009268
calidris_pygmaea ENSCPGG00000014241
anolis_carolinensis ENSACAG00000001718
ornithorhynchus_anatinus ENSOANG00000000346
monodelphis_domestica ENSMODG00000016572
pogona_vitticeps ENSPVIG00000016346
notechis_scutatus ENSNSUG00000020311
salvator_merianae ENSSMRG00000015827
chelonoidis_abingdonii ENSCABG00000007549
gopherus_agassizii ENSGAGG00000015696
chrysemys_picta ENSCPBG00000003149
pelodiscus_sinensis ENSPSIG00000006530
sphenodon_punctatus ENSSPUG00000014043
homo_sapiens ENSG00000163017
gorilla_gorilla ENSGGOG00000004001
pan_paniscus ENSPPAG00000029255
pan_troglodytes ENSPTRG00000047394
pongo_abelii ENSPPYG00000012288
nomascus_leucogenys ENSNLEG00000000312
theropithecus_gelada ENSTGEG00000015452
cercocebus_atys ENSCATG00000045247
macaca_fascicularis ENSMFAG00000003169
macaca_nemestrina ENSMNEG00000044375
macaca_mulatta ENSMMUG00000017683
papio_anubis ENSPANG00000008205
mandrillus_leucophaeus ENSMLEG00000042164
chlorocebus_sabaeus ENSCSAG00000015505
rhinopithecus_bieti ENSRBIG00000036579
rhinopithecus_roxellana ENSRROG00000042845
colobus_angolensis ENSCANG00000043310
piliocolobus_tephrosceles ENSPTEG00000037941
saimiri_boliviensis ENSSBOG00000030667
cebus_capucinus ENSCCAG00000024197
callithrix_jacchus ENSCJAG00000017882
aotus_nancymaae ENSANAG00000038195
carlito_syrichta ENSTSYG00000012242
carlito_syrichta ENSTSYG00000026786
carlito_syrichta ENSTSYG00000032975
propithecus_coquereli ENSPCOG00000024559
microcebus_murinus ENSMICG00000006029
prolemur_simus ENSPSMG00000018760
otolemur_garnettii ENSOGAG00000006438
castor_canadensis ENSCCNG00000024369
dipodomys_ordii ENSDORG00000006395
mus_spicilegus ENSMSIG00000031516
mus_musculus ENSMUSG00000059430
mus_spretus MGP_SPRETEiJ_G0029564
mus_caroli MGP_CAROLIEiJ_G0028558
mus_pahari MGP_PahariEiJ_G0022293
rattus_norvegicus ENSRNOG00000029401
meriones_unguiculatus ENSMUGG00000011286
cricetulus_griseus ENSCGRG00000013012
cricetulus_griseus ENSCGRG00015012295
cricetulus_griseus ENSCGRG00001019931
mesocricetus_auratus ENSMAUG00000019911
microtus_ochrogaster ENSMOCG00000020521
nannospalax_galili ENSNGAG00000018721
jaculus_jaculus ENSJJAG00000023277
chinchilla_lanigera ENSCLAG00000012485
octodon_degus ENSODEG00000010332
cavia_porcellus ENSCPOG00000030493
cavia_aperea ENSCAPG00000009744
