chrysemys_picta ENSCPBG00000010432
gopherus_agassizii ENSGAGG00000004801
pelodiscus_sinensis ENSPSIG00000017204
pogona_vitticeps ENSPVIG00000005675
notechis_scutatus ENSNSUG00000018343
salvator_merianae ENSSMRG00000005538
sphenodon_punctatus ENSSPUG00000018605
erinaceus_europaeus ENSEEUG00000003745
carlito_syrichta ENSTSYG00000032433
cricetulus_griseus ENSCGRG00015002905
cricetulus_griseus ENSCGRG00000012707
cricetulus_griseus ENSCGRG00001012868
cricetulus_griseus ENSCGRG00000018658
cricetulus_griseus ENSCGRG00001018394
mesocricetus_auratus ENSMAUG00000001325
microtus_ochrogaster ENSMOCG00000019219
microtus_ochrogaster ENSMOCG00000014273
peromyscus_maniculatus ENSPEMG00000002806
mus_spretus MGP_SPRETEiJ_G0028865
mus_spicilegus ENSMSIG00000010378
mus_musculus ENSMUSG00000059518
mus_pahari MGP_PahariEiJ_G0024446
rattus_norvegicus ENSRNOG00000001418
nannospalax_galili ENSNGAG00000023520
meriones_unguiculatus ENSMUGG00000000878
jaculus_jaculus ENSJJAG00000015186
prolemur_simus ENSPSMG00000010593
microcebus_murinus ENSMICG00000016065
propithecus_coquereli ENSPCOG00000014501
dasypus_novemcinctus ENSDNOG00000049299
echinops_telfairi ENSETEG00000010174
cavia_aperea ENSCAPG00000013578
cavia_porcellus ENSCPOG00000032415
octodon_degus ENSODEG00000015978
chinchilla_lanigera ENSCLAG00000004525
heterocephalus_glaber ENSHGLG00100009875
heterocephalus_glaber ENSHGLG00000017595
fukomys_damarensis ENSFDAG00000017301
ursus_americanus ENSUAMG00000016170
ailuropoda_melanoleuca ENSAMEG00000001658
neovison_vison ENSNVIG00000001846
mustela_putorius ENSMPUG00000015910
vulpes_vulpes ENSVVUG00000023627
canis_lupus ENSCAFG00020013235
panthera_tigris ENSPTIG00000009628
panthera_pardus ENSPPRG00000001835
felis_catus ENSFCAG00000005802
pteropus_vampyrus ENSPVAG00000001245
bos_indicus ENSBIXG00005011379
bison_bison ENSBBBG00000010509
bos_taurus ENSBTAG00000000343
bos_mutus ENSBMUG00000006224
ovis_aries ENSOARG00000015003
capra_hircus ENSCHIG00000011496
rhinopithecus_roxellana ENSRROG00000044907
rhinopithecus_bieti ENSRBIG00000044242
piliocolobus_tephrosceles ENSPTEG00000022834
colobus_angolensis ENSCANG00000042253
colobus_angolensis ENSCANG00000003765
papio_anubis ENSPANG00000026302
cercocebus_atys ENSCATG00000032572
theropithecus_gelada ENSTGEG00000008439
macaca_fascicularis ENSMFAG00000034086
macaca_mulatta ENSMMUG00000006951
macaca_nemestrina ENSMNEG00000041071
mandrillus_leucophaeus ENSMLEG00000043839
chlorocebus_sabaeus ENSCSAG00000018027
gorilla_gorilla ENSGGOG00000016713
homo_sapiens ENSG00000106400
pan_troglodytes ENSPTRG00000019525
pan_troglodytes ENSPTRG00000048537
pan_paniscus ENSPPAG00000032592
nomascus_leucogenys ENSNLEG00000008252
cebus_capucinus ENSCCAG00000023307
callithrix_jacchus ENSCJAG00000016034
