chelonoidis_abingdonii ENSCABG00000017917
gopherus_agassizii ENSGAGG00000009391
chrysemys_picta ENSCPBG00000016317
pelodiscus_sinensis ENSPSIG00000011294
crocodylus_porosus ENSCPRG00005018929
anolis_carolinensis ENSACAG00000016382
pogona_vitticeps ENSPVIG00000024571
notechis_scutatus ENSNSUG00000005628
salvator_merianae ENSSMRG00000015749
sphenodon_punctatus ENSSPUG00000011712
calidris_pygmaea ENSCPGG00000009848
calidris_pugnax ENSCPUG00000015327
melopsittacus_undulatus ENSMUNG00000000935
manacus_vitellinus ENSMVIG00005017905
lepidothrix_coronata ENSLCOG00000000571
lonchura_striata ENSLSDG00000000068
taeniopygia_guttata ENSTGUG00000010739
serinus_canaria ENSSCAG00000004083
zonotrichia_albicollis ENSZALG00000006514
parus_major ENSPMJG00000008072
ficedula_albicollis ENSFALG00000013021
cyanistes_caeruleus ENSCCEG00000006520
junco_hyemalis ENSJHYG00000006799
anser_brachyrhynchus ENSABRG00000003112
anas_platyrhynchos ENSAPLG00000027847
gallus_gallus ENSGALG00000012532
coturnix_japonica ENSCJPG00005013680
meleagris_gallopavo ENSMGAG00000012649
numida_meleagris ENSNMEG00000011863
apteryx_haastii ENSAHAG00000018479
apteryx_rowi ENSARWG00000015547
apteryx_owenii ENSAOWG00000015770
dromaius_novaehollandiae ENSDNVG00000008073
nothoprocta_perdicaria ENSNPEG00000000312
phascolarctos_cinereus ENSPCIG00000021560
vombatus_ursinus ENSVURG00010004460
sarcophilus_harrisii ENSSHAG00000000670
monodelphis_domestica ENSMODG00000000837
vombatus_ursinus ENSVURG00010013025
phascolarctos_cinereus ENSPCIG00000011754
sarcophilus_harrisii ENSSHAG00000015306
monodelphis_domestica ENSMODG00000047117
cavia_aperea ENSCAPG00000008598
nannospalax_galili ENSNGAG00000002820
cricetulus_griseus ENSCGRG00001017840
cricetulus_griseus ENSCGRG00015000514
cricetulus_griseus ENSCGRG00000016275
cricetulus_griseus ENSCGRG00000017521
cricetulus_griseus ENSCGRG00001012330
peromyscus_maniculatus ENSPEMG00000019913
microtus_ochrogaster ENSMOCG00000008815
mus_musculus ENSMUSG00000005354
mus_spretus MGP_SPRETEiJ_G0020869
mus_spicilegus ENSMSIG00000020562
mus_caroli MGP_CAROLIEiJ_G0019971
mus_pahari MGP_PahariEiJ_G0019973
rattus_norvegicus ENSRNOG00000005614
meriones_unguiculatus ENSMUGG00000009273
dipodomys_ordii ENSDORG00000024016
oryctolagus_cuniculus ENSOCUG00000033822
ochotona_princeps ENSOPRG00000001251
tupaia_belangeri ENSTBEG00000014110
echinops_telfairi ENSETEG00000013517
cavia_porcellus ENSCPOG00000035993
chinchilla_lanigera ENSCLAG00000015616
heterocephalus_glaber ENSHGLG00100007724
heterocephalus_glaber ENSHGLG00000016755
fukomys_damarensis ENSFDAG00000012971
marmota_marmota ENSMMMG00000016491
ictidomys_tridecemlineatus ENSSTOG00000026417
urocitellus_parryii ENSUPAG00010004989
spermophilus_dauricus ENSSDAG00000024497
aotus_nancymaae ENSANAG00000020653
cebus_capucinus ENSCCAG00000030670
papio_anubis ENSPANG00000004210
mandrillus_leucophaeus ENSMLEG00000031519
macaca_fascicularis ENSMFAG00000033684
colobus_angolensis ENSCANG00000018416
nomascus_leucogenys ENSNLEG00000009911
macaca_mulatta ENSMMUG00000031300
macaca_fascicularis ENSMFAG00000034407
macaca_nemestrina ENSMNEG00000037101
cercocebus_atys ENSCATG00000040632
theropithecus_gelada ENSTGEG00000014552
papio_anubis ENSPANG00000023981
chlorocebus_sabaeus ENSCSAG00000007919
mandrillus_leucophaeus ENSMLEG00000028175
rhinopithecus_roxellana ENSRROG00000002624
rhinopithecus_roxellana ENSRROG00000028656
rhinopithecus_bieti ENSRBIG00000035538
colobus_angolensis ENSCANG00000041094
piliocolobus_tephrosceles ENSPTEG00000019495
pan_troglodytes ENSPTRG00000044105
pan_paniscus ENSPPAG00000041391
homo_sapiens ENSG00000100348
gorilla_gorilla ENSGGOG00000028091
pongo_abelii ENSPPYG00000011772
cebus_capucinus ENSCCAG00000031840
callithrix_jacchus ENSCJAG00000038379
saimiri_boliviensis ENSSBOG00000030716
aotus_nancymaae ENSANAG00000032937
carlito_syrichta ENSTSYG00000026402
propithecus_coquereli ENSPCOG00000021773
microcebus_murinus ENSMICG00000030165
prolemur_simus ENSPSMG00000014522
otolemur_garnettii ENSOGAG00000002973
mesocricetus_auratus ENSMAUG00000014127
cricetulus_griseus ENSCGRG00000000258
microtus_ochrogaster ENSMOCG00000011921
nannospalax_galili ENSNGAG00000003757
jaculus_jaculus ENSJJAG00000011427
castor_canadensis ENSCCNG00000018891
octodon_degus ENSODEG00000011201
vulpes_vulpes ENSVVUG00000023574
equus_caballus ENSECAG00000013929
equus_asinus ENSEASG00005018909
erinaceus_europaeus ENSEEUG00000010654
equus_caballus ENSECAG00000031248
equus_asinus ENSEASG00005011575
pteropus_vampyrus ENSPVAG00000002012
myotis_lucifugus ENSMLUG00000015841
ovis_aries ENSOARG00000018848
capra_hircus ENSCHIG00000017986
bos_mutus ENSBMUG00000024860
bos_taurus ENSBTAG00000000014
bos_indicus ENSBIXG00005025598
bison_bison ENSBBBG00000007051
capra_hircus ENSCHIG00000016571
vicugna_pacos ENSVPAG00000006490
sus_scrofa ENSSSCG00000000144
tursiops_truncatus ENSTTRG00000006612
ursus_americanus ENSUAMG00000017490
ursus_maritimus ENSUMAG00000015844
ailuropoda_melanoleuca ENSAMEG00000009615
neovison_vison ENSNVIG00000003575
mustela_putorius ENSMPUG00000012572
canis_lupus ENSCAFG00000001553
canis_lupus ENSCAFG00020004498
panthera_pardus ENSPPRG00000008247
panthera_tigris ENSPTIG00000016368
felis_catus ENSFCAG00000001127
loxodonta_africana ENSLAFG00000023368
procavia_capensis ENSPCAG00000007741
dasypus_novemcinctus ENSDNOG00000025605
bos_indicus ENSBIXG00000026900
ornithorhynchus_anatinus ENSOANG00000007487
xenopus_tropicalis ENSXETG00000007281
latimeria_chalumnae ENSLACG00000003143
denticeps_clupeoides ENSDCDG00000020323
denticeps_clupeoides ENSDCDG00000014684
clupea_harengus ENSCHAG00000011915
ictalurus_punctatus ENSIPUG00000021332
electrophorus_electricus ENSEEEG00000023942
astyanax_mexicanus ENSAMXG00005012983
astyanax_mexicanus ENSAMXG00000038781
pygocentrus_nattereri ENSPNAG00000003052
danio_rerio ENSDARG00000034777
hucho_hucho ENSHHUG00000036406
