astatotilapia_calliptera ENSACLG00000004674
haplochromis_burtoni ENSHBUG00000001743
maylandia_zebra ENSMZEG00005026301
pundamilia_nyererei ENSPNYG00000003253
neolamprologus_brichardi ENSNBRG00000006153
neolamprologus_brichardi ENSNBRG00000000152
maylandia_zebra ENSMZEG00005026298
neolamprologus_brichardi ENSNBRG00000006123
takifugu_rubripes ENSTRUG00000024178
esox_lucius ENSELUG00000005896
theropithecus_gelada ENSTGEG00000014950
ficedula_albicollis ENSFALG00000014402
ficedula_albicollis ENSFALG00000014767
eptatretus_burgeri ENSEBUG00000014524
