pteropus_vampyrus ENSPVAG00000005843
myotis_lucifugus ENSMLUG00000012567
bos_mutus ENSBMUG00000005539
bos_taurus ENSBTAG00000008682
bison_bison_bison ENSBBBG00000001476
ovis_aries ENSOARG00000008057
capra_hircus ENSCHIG00000015873
tursiops_truncatus ENSTTRG00000015619
sus_scrofa ENSSSCG00000015801
vicugna_pacos ENSVPAG00000012334
ursus_maritimus ENSUMAG00000012316
ursus_americanus ENSUAMG00000015367
ailuropoda_melanoleuca ENSAMEG00000005179
mustela_putorius_furo ENSMPUG00000011236
neovison_vison ENSNVIG00000006317
canis_lupus_familiaris ENSCAFG00000007406
canis_lupus_dingo ENSCAFG00020000542
vulpes_vulpes ENSVVUG00000012689
panthera_tigris_altaica ENSPTIG00000007678
panthera_pardus ENSPPRG00000001732
felis_catus ENSFCAG00000031090
equus_asinus_asinus ENSEASG00005018342
equus_caballus ENSECAG00000000197
erinaceus_europaeus ENSEEUG00000008588
sorex_araneus ENSSARG00000011830
castor_canadensis ENSCCNG00000002722
dipodomys_ordii ENSDORG00000026763
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032134
mus_spicilegus ENSMSIG00000027196
mus_musculus ENSMUSG00000031639
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031020
mus_pahari MGP_PahariEiJ_G0021488
rattus_norvegicus ENSRNOG00000021726
meriones_unguiculatus ENSMUGG00000005095
cricetulus_griseus_chok1gshd ENSCGRG00001014027
cricetulus_griseus_crigri ENSCGRG00000002448
cricetulus_griseus_crigri-picr ENSCGRG00015022630
mesocricetus_auratus ENSMAUG00000021277
microtus_ochrogaster ENSMOCG00000010206
peromyscus_maniculatus_bairdii ENSPEMG00000009371
nannospalax_galili ENSNGAG00000020133
ictidomys_tridecemlineatus ENSSTOG00000026155
urocitellus_parryii ENSUPAG00010006453
spermophilus_dauricus ENSSDAG00000001987
marmota_marmota_marmota ENSMMMG00000010653
cavia_porcellus ENSCPOG00000004929
cavia_aperea ENSCAPG00000011079
chinchilla_lanigera ENSCLAG00000012107
