chrysemys_picta_bellii ENSCPBG00000026683
pelodiscus_sinensis ENSPSIG00000014340
crocodylus_porosus ENSCPRG00005014504
pogona_vitticeps ENSPVIG00000023490
anolis_carolinensis ENSACAG00000005794
phascolarctos_cinereus ENSPCIG00000007709
monodelphis_domestica ENSMODG00000027499
ornithorhynchus_anatinus ENSOANG00000019725
ornithorhynchus_anatinus ENSOANG00000029196
ficedula_albicollis ENSFALG00000002407
manacus_vitellinus ENSMVIG00005016571
zonotrichia_albicollis ENSZALG00000007336
parus_major ENSPMJG00000019335
gallus_gallus ENSGALG00000046652
pogona_vitticeps ENSPVIG00000023492
ornithorhynchus_anatinus ENSOANG00000032265
xenopus_tropicalis ENSXETG00000013197
xenopus_tropicalis ENSXETG00000008225
lepisosteus_oculatus ENSLOCG00000000867
lepisosteus_oculatus ENSLOCG00000001133
lepisosteus_oculatus ENSLOCG00000002572
fundulus_heteroclitus ENSFHEG00000001291
cyprinodon_variegatus ENSCVAG00000022334
poecilia_formosa ENSPFOG00000013487
poecilia_reticulata ENSPREG00000016902
xiphophorus_maculatus ENSXMAG00000002756
oryzias_melastigma ENSOMEG00000009494
amphiprion_percula ENSAPEG00000012030
amphiprion_ocellaris ENSAOCG00000014252
acanthochromis_polyacanthus ENSAPOG00000013810
stegastes_partitus ENSSPAG00000018380
amphilophus_citrinellus ENSACIG00000005768
amphilophus_citrinellus ENSACIG00000010466
haplochromis_burtoni ENSHBUG00000009212
astatotilapia_calliptera ENSACLG00000010177
pundamilia_nyererei ENSPNYG00000018034
maylandia_zebra ENSMZEG00005017597
oreochromis_niloticus ENSONIG00000008584
oreochromis_niloticus ENSONIG00000002298
oreochromis_niloticus ENSONIG00000008585
pundamilia_nyererei ENSPNYG00000013791
astatotilapia_calliptera ENSACLG00000009764
maylandia_zebra ENSMZEG00005022436
maylandia_zebra ENSMZEG00005013560
haplochromis_burtoni ENSHBUG00000000231
neolamprologus_brichardi ENSNBRG00000004948
oreochromis_niloticus ENSONIG00000008588
mastacembelus_armatus ENSMAMG00000021951
mastacembelus_armatus ENSMAMG00000019142
monopterus_albus ENSMALG00000002055
anabas_testudineus ENSATEG00000017407
anabas_testudineus ENSATEG00000017451
labrus_bergylta ENSLBEG00000027042
hippocampus_comes ENSHCOG00000006084
scophthalmus_maximus ENSSMAG00000005180
cynoglossus_semilaevis ENSCSEG00000009183
seriola_lalandi_dorsalis ENSSLDG00000008628
seriola_dumerili ENSSDUG00000020762
kryptolebias_marmoratus ENSKMAG00000022008
periophthalmus_magnuspinnatus ENSPMGG00000007511
gadus_morhua ENSGMOG00000009626
esox_lucius ENSELUG00000002707
pygocentrus_nattereri ENSPNAG00000012300
astyanax_mexicanus ENSAMXG00000019467
danio_rerio ENSDARG00000061481
pygocentrus_nattereri ENSPNAG00000016699
pygocentrus_nattereri ENSPNAG00000006811
astyanax_mexicanus ENSAMXG00000010524
ictalurus_punctatus ENSIPUG00000003988
scleropages_formosus ENSSFOG00015005792
scleropages_formosus ENSSFOG00015005826
paramormyrops_kingsleyae ENSPKIG00000007731
lepisosteus_oculatus ENSLOCG00000001160
oryzias_latipes ENSORLG00000027473
oryzias_latipes_asm223469v1 ENSORLG00015012246
oryzias_latipes ENSORLG00020000873
oryzias_melastigma ENSOMEG00000007019
amphiprion_percula ENSAPEG00000024260
oreochromis_niloticus ENSONIG00000002127
labrus_bergylta ENSLBEG00000000646
lepisosteus_oculatus ENSLOCG00000002664
