macaca_fascicularis ENSMFAG00000035822
macaca_nemestrina ENSMNEG00000034321
mandrillus_leucophaeus ENSMLEG00000041267
cercocebus_atys ENSCATG00000035551
rhinopithecus_roxellana ENSRROG00000041282
rhinopithecus_bieti ENSRBIG00000029774
theropithecus_gelada ENSTGEG00000024624
papio_anubis ENSPANG00000034143
macaca_mulatta ENSMMUG00000005012
chlorocebus_sabaeus ENSCSAG00000018597
colobus_angolensis ENSCANG00000013254
piliocolobus_tephrosceles ENSPTEG00000024304
pan_troglodytes ENSPTRG00000005793
pan_paniscus ENSPPAG00000019808
homo_sapiens ENSG00000180138
gorilla_gorilla ENSGGOG00000000169
pongo_abelii ENSPPYG00000005290
nomascus_leucogenys ENSNLEG00000018660
callithrix_jacchus ENSCJAG00000018001
