mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028892
mus_spicilegus ENSMSIG00000007795
mus_musculus ENSMUSG00000047182
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027887
rattus_norvegicus ENSRNOG00000001389
meriones_unguiculatus ENSMUGG00000015204
cricetulus_griseus_chok1gshd ENSCGRG00001014601
cricetulus_griseus_crigri-picr ENSCGRG00015010788
cricetulus_griseus_crigri ENSCGRG00000011176
mesocricetus_auratus ENSMAUG00000020870
microtus_ochrogaster ENSMOCG00000020293
peromyscus_maniculatus_bairdii ENSPEMG00000011548
nannospalax_galili ENSNGAG00000024122
castor_canadensis ENSCCNG00000015060
ictidomys_tridecemlineatus ENSSTOG00000024947
urocitellus_parryii ENSUPAG00010017824
marmota_marmota_marmota ENSMMMG00000012323
tupaia_belangeri ENSTBEG00000000345
oryctolagus_cuniculus ENSOCUG00000008644
ochotona_princeps ENSOPRG00000014898
prolemur_simus ENSPSMG00000001635
bison_bison_bison ENSBBBG00000023155
ovis_aries ENSOARG00000016771
bos_taurus ENSBTAG00000046753
capra_hircus ENSCHIG00000024522
sus_scrofa ENSSSCG00000007665
tursiops_truncatus ENSTTRG00000008889
pteropus_vampyrus ENSPVAG00000012002
ailuropoda_melanoleuca ENSAMEG00000014994
ursus_americanus ENSUAMG00000028228
mustela_putorius_furo ENSMPUG00000015683
neovison_vison ENSNVIG00000000980
felis_catus ENSFCAG00000026820
panthera_pardus ENSPPRG00000000263
equus_asinus_asinus ENSEASG00005017041
equus_caballus ENSECAG00000022553
loxodonta_africana ENSLAFG00000029940
procavia_capensis ENSPCAG00000009951
dasypus_novemcinctus ENSDNOG00000036281
