prolemur_simus ENSPSMG00000014686
otolemur_garnettii ENSOGAG00000016078
homo_sapiens ENSG00000242732
gorilla_gorilla ENSGGOG00000037617
pan_paniscus ENSPPAG00000026409
pan_troglodytes ENSPTRG00000039375
nomascus_leucogenys ENSNLEG00000018851
colobus_angolensis_palliatus ENSCANG00000037549
piliocolobus_tephrosceles ENSPTEG00000014373
rhinopithecus_roxellana ENSRROG00000003440
rhinopithecus_bieti ENSRBIG00000007618
mandrillus_leucophaeus ENSMLEG00000026223
cercocebus_atys ENSCATG00000043303
macaca_fascicularis ENSMFAG00000019636
macaca_nemestrina ENSMNEG00000037520
macaca_mulatta ENSMMUG00000042686
papio_anubis ENSPANG00000006959
theropithecus_gelada ENSTGEG00000005245
chlorocebus_sabaeus ENSCSAG00000000104
castor_canadensis ENSCCNG00000016883
dipodomys_ordii ENSDORG00000024359
cricetulus_griseus_chok1gshd ENSCGRG00001010452
cricetulus_griseus_crigri ENSCGRG00000012302
cricetulus_griseus_crigri-picr ENSCGRG00015009822
mesocricetus_auratus ENSMAUG00000009321
peromyscus_maniculatus_bairdii ENSPEMG00000028195
microtus_ochrogaster ENSMOCG00000000142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034459
mus_musculus ENSMUSG00000049191
mus_spicilegus ENSMSIG00000022502
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033295
mus_pahari MGP_PahariEiJ_G0031833
nannospalax_galili ENSNGAG00000014752
marmota_marmota_marmota ENSMMMG00000021665
urocitellus_parryii ENSUPAG00010016731
spermophilus_dauricus ENSSDAG00000001872
chinchilla_lanigera ENSCLAG00000014510
octodon_degus ENSODEG00000002380
cavia_porcellus ENSCPOG00000021990
fukomys_damarensis ENSFDAG00000019589
heterocephalus_glaber_female ENSHGLG00000005059
oryctolagus_cuniculus ENSOCUG00000008707
equus_caballus ENSECAG00000023894
equus_asinus_asinus ENSEASG00005007039
myotis_lucifugus ENSMLUG00000012246
capra_hircus ENSCHIG00000009403
ovis_aries ENSOARG00000017682
bos_mutus ENSBMUG00000021913
bos_taurus ENSBTAG00000047545
bison_bison_bison ENSBBBG00000017285
sus_scrofa ENSSSCG00000020876
panthera_tigris_altaica ENSPTIG00000006296
panthera_pardus ENSPPRG00000020329
vulpes_vulpes ENSVVUG00000025514
canis_lupus_familiaris ENSCAFG00000030558
ursus_americanus ENSUAMG00000015596
ursus_maritimus ENSUMAG00000004886
ailuropoda_melanoleuca ENSAMEG00000018760
mustela_putorius_furo ENSMPUG00000018491
neovison_vison ENSNVIG00000024404
loxodonta_africana ENSLAFG00000028394
