mastacembelus_armatus ENSMAMG00000018296
anabas_testudineus ENSATEG00000003159
seriola_dumerili ENSSDUG00000005603
seriola_lalandi_dorsalis ENSSLDG00000005738
scophthalmus_maximus ENSSMAG00000012046
kryptolebias_marmoratus ENSKMAG00000007629
poecilia_formosa ENSPFOG00000007373
oryzias_latipes_asm223469v1 ENSORLG00015007390
oryzias_latipes ENSORLG00020011796
oryzias_latipes ENSORLG00000009404
oryzias_melastigma ENSOMEG00000007337
maylandia_zebra ENSMZEG00005009985
astatotilapia_calliptera ENSACLG00000015724
haplochromis_burtoni ENSHBUG00000003902
pundamilia_nyererei ENSPNYG00000002024
amphilophus_citrinellus ENSACIG00000008248
amphiprion_ocellaris ENSAOCG00000013738
amphiprion_percula ENSAPEG00000022773
acanthochromis_polyacanthus ENSAPOG00000020168
stegastes_partitus ENSSPAG00000021072
gasterosteus_aculeatus ENSGACG00000016416
labrus_bergylta ENSLBEG00000005561
gadus_morhua ENSGMOG00000011801
takifugu_rubripes ENSTRUG00000024930
tetraodon_nigroviridis ENSTNIG00000007888
mola_mola ENSMMOG00000017830
esox_lucius ENSELUG00000016314
mola_mola ENSMMOG00000003798
scophthalmus_maximus ENSSMAG00000006018
takifugu_rubripes ENSTRUG00000021249
anabas_testudineus ENSATEG00000023240
pygocentrus_nattereri ENSPNAG00000016940
