acanthochromis_polyacanthus ENSAPOG00000024551
kryptolebias_marmoratus ENSKMAG00000000869
gasterosteus_aculeatus ENSGACG00000015415
scophthalmus_maximus ENSSMAG00000021341
amphiprion_ocellaris ENSAOCG00000003713
amphiprion_percula ENSAPEG00000019776
stegastes_partitus ENSSPAG00000017769
astatotilapia_calliptera ENSACLG00000025003
maylandia_zebra ENSMZEG00005002343
haplochromis_burtoni ENSHBUG00000002519
pundamilia_nyererei ENSPNYG00000004595
neolamprologus_brichardi ENSNBRG00000017308
oreochromis_niloticus ENSONIG00000020615
amphilophus_citrinellus ENSACIG00000021584
oryzias_latipes ENSORLG00000005433
oryzias_latipes ENSORLG00020015266
oryzias_latipes ENSORLG00015013741
oryzias_melastigma ENSOMEG00000017655
fundulus_heteroclitus ENSFHEG00000018136
cyprinodon_variegatus ENSCVAG00000015375
xiphophorus_maculatus ENSXMAG00000019438
xiphophorus_couchianus ENSXCOG00000003206
gambusia_affinis ENSGAFG00000012449
poecilia_formosa ENSPFOG00000020732
poecilia_latipinna ENSPLAG00000008613
poecilia_mexicana ENSPMEG00000008827
poecilia_reticulata ENSPREG00000022489
parambassis_ranga ENSPRNG00000007700
cottoperca_gobio ENSCGOG00000021386
mola_mola ENSMMOG00000017739
labrus_bergylta ENSLBEG00000011466
monopterus_albus ENSMALG00000016789
mastacembelus_armatus ENSMAMG00000002246
anabas_testudineus ENSATEG00000011850
seriola_dumerili ENSSDUG00000006857
seriola_lalandi ENSSLDG00000000303
hippocampus_comes ENSHCOG00000004046
