numida_meleagris ENSNMEG00000012706
coturnix_japonica ENSCJPG00005013313
meleagris_gallopavo ENSMGAG00000002270
anas_platyrhynchos_platyrhynchos ENSAPLG00000013369
anser_brachyrhynchus ENSABRG00000019264
cyanistes_caeruleus ENSCCEG00000020043
parus_major ENSPMJG00000011463
ficedula_albicollis ENSFALG00000011937
taeniopygia_guttata ENSTGUG00000007329
manacus_vitellinus ENSMVIG00005004911
junco_hyemalis ENSJHYG00000012405
melopsittacus_undulatus ENSMUNG00000012026
apteryx_owenii ENSAOWG00000016403
apteryx_haastii ENSAHAG00000017588
dromaius_novaehollandiae ENSDNVG00000017450
crocodylus_porosus ENSCPRG00005003593
pelodiscus_sinensis ENSPSIG00000008694
pogona_vitticeps ENSPVIG00000020682
anolis_carolinensis ENSACAG00000015021
sphenodon_punctatus ENSSPUG00000000727
phascolarctos_cinereus ENSPCIG00000028996
monodelphis_domestica ENSMODG00000004985
pan_troglodytes ENSPTRG00000022000
pan_paniscus ENSPPAG00000039819
homo_sapiens ENSG00000120498
gorilla_gorilla ENSGGOG00000034846
nomascus_leucogenys ENSNLEG00000001004
papio_anubis ENSPANG00000009217
theropithecus_gelada ENSTGEG00000006979
mandrillus_leucophaeus ENSMLEG00000043440
cercocebus_atys ENSCATG00000041501
macaca_fascicularis ENSMFAG00000037625
macaca_mulatta ENSMMUG00000003049
macaca_nemestrina ENSMNEG00000043445
chlorocebus_sabaeus ENSCSAG00000011589
colobus_angolensis_palliatus ENSCANG00000041241
piliocolobus_tephrosceles ENSPTEG00000020168
cebus_capucinus ENSCCAG00000021947
saimiri_boliviensis_boliviensis ENSSBOG00000028689
callithrix_jacchus ENSCJAG00000008159
aotus_nancymaae ENSANAG00000033655
carlito_syrichta ENSTSYG00000013415
microcebus_murinus ENSMICG00000009408
propithecus_coquereli ENSPCOG00000016386
prolemur_simus ENSPSMG00000001387
spermophilus_dauricus ENSSDAG00000009617
ictidomys_tridecemlineatus ENSSTOG00000009656
cricetulus_griseus_crigri-picr ENSCGRG00015011722
cricetulus_griseus_crigri ENSCGRG00000004141
cricetulus_griseus_chok1gshd ENSCGRG00001000719
mesocricetus_auratus ENSMAUG00000005559
peromyscus_maniculatus_bairdii ENSPEMG00000024188
microtus_ochrogaster ENSMOCG00000017235
mus_musculus ENSMUSG00000009670
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034441
mus_spicilegus ENSMSIG00000019914
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033277
mus_pahari MGP_PahariEiJ_G0031815
rattus_norvegicus ENSRNOG00000025672
jaculus_jaculus ENSJJAG00000018454
myotis_lucifugus ENSMLUG00000006578
pteropus_vampyrus ENSPVAG00000016482
vicugna_pacos ENSVPAG00000008697
sus_scrofa ENSSSCG00000030850
bos_taurus ENSBTAG00000016272
bos_mutus ENSBMUG00000025333
bison_bison_bison ENSBBBG00000017881
ovis_aries ENSOARG00000015926
tursiops_truncatus ENSTTRG00000007887
equus_caballus ENSECAG00000019864
ursus_maritimus ENSUMAG00000000267
ailuropoda_melanoleuca ENSAMEG00000009389
mustela_putorius_furo ENSMPUG00000004580
neovison_vison ENSNVIG00000008666
canis_lupus_dingo ENSCAFG00020019265
vulpes_vulpes ENSVVUG00000006911
canis_lupus_familiaris ENSCAFG00000016894
panthera_pardus ENSPPRG00000003898
panthera_tigris_altaica ENSPTIG00000002091
erinaceus_europaeus ENSEEUG00000014547
xenopus_tropicalis ENSXETG00000033733
latimeria_chalumnae ENSLACG00000015205
mola_mola ENSMMOG00000002028
gasterosteus_aculeatus ENSGACG00000017122
labrus_bergylta ENSLBEG00000008081
seriola_lalandi_dorsalis ENSSLDG00000022493
seriola_dumerili ENSSDUG00000018663
scophthalmus_maximus ENSSMAG00000016032
monopterus_albus ENSMALG00000010802
mastacembelus_armatus ENSMAMG00000020942
poecilia_formosa ENSPFOG00000010478
poecilia_mexicana ENSPMEG00000014314
poecilia_latipinna ENSPLAG00000016708
poecilia_reticulata ENSPREG00000009239
xiphophorus_maculatus ENSXMAG00000013218
gambusia_affinis ENSGAFG00000019865
fundulus_heteroclitus ENSFHEG00000015903
cyprinodon_variegatus ENSCVAG00000017861
kryptolebias_marmoratus ENSKMAG00000002839
oryzias_latipes ENSORLG00000001933
oryzias_latipes_asm223469v1 ENSORLG00015009881
oryzias_latipes ENSORLG00020020357
oryzias_melastigma ENSOMEG00000017345
haplochromis_burtoni ENSHBUG00000013913
astatotilapia_calliptera ENSACLG00000018974
pundamilia_nyererei ENSPNYG00000013400
maylandia_zebra ENSMZEG00005005667
neolamprologus_brichardi ENSNBRG00000022868
oreochromis_niloticus ENSONIG00000002794
amphilophus_citrinellus ENSACIG00000010735
acanthochromis_polyacanthus ENSAPOG00000006114
amphiprion_percula ENSAPEG00000008215
stegastes_partitus ENSSPAG00000006227
takifugu_rubripes ENSTRUG00000010052
tetraodon_nigroviridis ENSTNIG00000016826
cynoglossus_semilaevis ENSCSEG00000004875
periophthalmus_magnuspinnatus ENSPMGG00000017802
gadus_morhua ENSGMOG00000003844
esox_lucius ENSELUG00000002920
pygocentrus_nattereri ENSPNAG00000018669
astyanax_mexicanus ENSAMXG00000000180
ictalurus_punctatus ENSIPUG00000019569
danio_rerio ENSDARG00000078995
scleropages_formosus ENSSFOG00015005165
paramormyrops_kingsleyae ENSPKIG00000018791
lepisosteus_oculatus ENSLOCG00000015211
petromyzon_marinus ENSPMAG00000008714
