pan_troglodytes ENSPTRG00000010909
pan_paniscus ENSPPAG00000039396
homo_sapiens ENSG00000171827
gorilla_gorilla ENSGGOG00000039279
pongo_abelii ENSPPYG00000009915
nomascus_leucogenys ENSNLEG00000028553
rhinopithecus_bieti ENSRBIG00000043265
rhinopithecus_roxellana ENSRROG00000043128
piliocolobus_tephrosceles ENSPTEG00000012422
papio_anubis ENSPANG00000011870
theropithecus_gelada ENSTGEG00000006562
chlorocebus_sabaeus ENSCSAG00000004160
macaca_nemestrina ENSMNEG00000039704
macaca_mulatta ENSMMUG00000011083
macaca_fascicularis ENSMFAG00000043350
mandrillus_leucophaeus ENSMLEG00000005235
cercocebus_atys ENSCATG00000026342
callithrix_jacchus ENSCJAG00000013471
saimiri_boliviensis_boliviensis ENSSBOG00000026774
cebus_capucinus ENSCCAG00000027775
aotus_nancymaae ENSANAG00000020826
carlito_syrichta ENSTSYG00000014017
prolemur_simus ENSPSMG00000001961
microcebus_murinus ENSMICG00000009486
propithecus_coquereli ENSPCOG00000018787
otolemur_garnettii ENSOGAG00000031274
tupaia_belangeri ENSTBEG00000004900
ovis_aries ENSOARG00000005408
capra_hircus ENSCHIG00000016831
bos_taurus ENSBTAG00000000472
bos_mutus ENSBMUG00000000124
bison_bison_bison ENSBBBG00000021789
sus_scrofa ENSSSCG00000031612
tursiops_truncatus ENSTTRG00000015202
vicugna_pacos ENSVPAG00000000879
ailuropoda_melanoleuca ENSAMEG00000012844
ursus_americanus ENSUAMG00000017252
mustela_putorius_furo ENSMPUG00000005463
neovison_vison ENSNVIG00000015775
canis_lupus_familiaris ENSCAFG00000030575
canis_lupus_dingo ENSCAFG00020017991
vulpes_vulpes ENSVVUG00000013519
panthera_pardus ENSPPRG00000007342
panthera_tigris_altaica ENSPTIG00000009697
felis_catus ENSFCAG00000036145
equus_asinus_asinus ENSEASG00005002365
equus_caballus ENSECAG00000022821
pteropus_vampyrus ENSPVAG00000006701
myotis_lucifugus ENSMLUG00000014667
erinaceus_europaeus ENSEEUG00000015243
chinchilla_lanigera ENSCLAG00000011386
octodon_degus ENSODEG00000015483
cavia_porcellus ENSCPOG00000035145
cavia_aperea ENSCAPG00000008458
heterocephalus_glaber_female ENSHGLG00000014637
heterocephalus_glaber_male ENSHGLG00100018564
fukomys_damarensis ENSFDAG00000001551
urocitellus_parryii ENSUPAG00010021299
spermophilus_dauricus ENSSDAG00000005455
ictidomys_tridecemlineatus ENSSTOG00000029023
marmota_marmota_marmota ENSMMMG00000004424
nannospalax_galili ENSNGAG00000016207
jaculus_jaculus ENSJJAG00000017393
oryctolagus_cuniculus ENSOCUG00000029052
ochotona_princeps ENSOPRG00000006381
cricetulus_griseus_crigri-picr ENSCGRG00015027149
cricetulus_griseus_crigri-picr ENSCGRG00015011258
ictidomys_tridecemlineatus ENSSTOG00000034953
castor_canadensis ENSCCNG00000027991
oryctolagus_cuniculus ENSOCUG00000029758
tupaia_belangeri ENSTBEG00000009420
carlito_syrichta ENSTSYG00000002726
meriones_unguiculatus ENSMUGG00000009762
tupaia_belangeri ENSTBEG00000004012
cavia_porcellus ENSCPOG00000036704
octodon_degus ENSODEG00000000805
spermophilus_dauricus ENSSDAG00000009082
marmota_marmota_marmota ENSMMMG00000017616
urocitellus_parryii ENSUPAG00010014609
cricetulus_griseus_chok1gshd ENSCGRG00001002406
cricetulus_griseus_crigri-picr ENSCGRG00015018724
cricetulus_griseus_crigri ENSCGRG00000002730
mesocricetus_auratus ENSMAUG00000001536
peromyscus_maniculatus_bairdii ENSPEMG00000009428
microtus_ochrogaster ENSMOCG00000017961
mus_spicilegus ENSMSIG00000021841
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017254
mus_musculus ENSMUSG00000037001
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016417
mus_pahari MGP_PahariEiJ_G0017548
rattus_norvegicus ENSRNOG00000014712
meriones_unguiculatus ENSMUGG00000009744
nannospalax_galili ENSNGAG00000019853
jaculus_jaculus ENSJJAG00000018925
tupaia_belangeri ENSTBEG00000015264
tupaia_belangeri ENSTBEG00000008902
tupaia_belangeri ENSTBEG00000006173
tupaia_belangeri ENSTBEG00000006745
tupaia_belangeri ENSTBEG00000012832
tupaia_belangeri ENSTBEG00000016612
tupaia_belangeri ENSTBEG00000011228
tupaia_belangeri ENSTBEG00000015753
tupaia_belangeri ENSTBEG00000009027
tupaia_belangeri ENSTBEG00000002585
mus_pahari MGP_PahariEiJ_G0024491
mus_spicilegus ENSMSIG00000031462
erinaceus_europaeus ENSEEUG00000015941
procavia_capensis ENSPCAG00000016233
echinops_telfairi ENSETEG00000008483
choloepus_hoffmanni ENSCHOG00000004183
dasypus_novemcinctus ENSDNOG00000040328
