notamacropus_eugenii ENSMEUG00000004517
phascolarctos_cinereus ENSPCIG00000028780
sarcophilus_harrisii ENSSHAG00000007871
monodelphis_domestica ENSMODG00000003052
procavia_capensis ENSPCAG00000005571
echinops_telfairi ENSETEG00000014072
loxodonta_africana ENSLAFG00000000540
dasypus_novemcinctus ENSDNOG00000045094
choloepus_hoffmanni ENSCHOG00000012699
equus_asinus_asinus ENSEASG00005019043
equus_caballus ENSECAG00000008361
sorex_araneus ENSSARG00000014142
pteropus_vampyrus ENSPVAG00000007356
myotis_lucifugus ENSMLUG00000007713
erinaceus_europaeus ENSEEUG00000013551
ursus_maritimus ENSUMAG00000017435
ursus_americanus ENSUAMG00000015655
ailuropoda_melanoleuca ENSAMEG00000011462
neovison_vison ENSNVIG00000022525
mustela_putorius_furo ENSMPUG00000015490
canis_lupus_dingo ENSCAFG00020022700
canis_lupus_familiaris ENSCAFG00000015239
vulpes_vulpes ENSVVUG00000026220
panthera_tigris_altaica ENSPTIG00000013879
panthera_pardus ENSPPRG00000022585
felis_catus ENSFCAG00000007710
bos_mutus ENSBMUG00000020704
bos_taurus ENSBTAG00000020264
bison_bison_bison ENSBBBG00000004074
ovis_aries ENSOARG00000009768
capra_hircus ENSCHIG00000012852
tursiops_truncatus ENSTTRG00000004027
sus_scrofa ENSSSCG00000028804
vicugna_pacos ENSVPAG00000005121
chinchilla_lanigera ENSCLAG00000005303
octodon_degus ENSODEG00000001049
cavia_aperea ENSCAPG00000014894
cavia_porcellus ENSCPOG00000024492
heterocephalus_glaber_male ENSHGLG00100002353
heterocephalus_glaber_female ENSHGLG00000001591
fukomys_damarensis ENSFDAG00000020095
ictidomys_tridecemlineatus ENSSTOG00000023591
spermophilus_dauricus ENSSDAG00000022345
urocitellus_parryii ENSUPAG00010010935
marmota_marmota_marmota ENSMMMG00000018669
castor_canadensis ENSCCNG00000020544
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015601
mus_musculus ENSMUSG00000026578
mus_spicilegus ENSMSIG00000022010
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014794
mus_pahari MGP_PahariEiJ_G0028031
rattus_norvegicus ENSRNOG00000002860
meriones_unguiculatus ENSMUGG00000006925
cricetulus_griseus_crigri ENSCGRG00000017476
cricetulus_griseus_chok1gshd ENSCGRG00001013469
mesocricetus_auratus ENSMAUG00000004092
peromyscus_maniculatus_bairdii ENSPEMG00000019471
microtus_ochrogaster ENSMOCG00000022802
nannospalax_galili ENSNGAG00000013174
jaculus_jaculus ENSJJAG00000002620
oryctolagus_cuniculus ENSOCUG00000000852
tupaia_belangeri ENSTBEG00000001838
pan_paniscus ENSPPAG00000028612
pan_troglodytes ENSPTRG00000001657
homo_sapiens ENSG00000117477
gorilla_gorilla ENSGGOG00000026920
pongo_abelii ENSPPYG00000000533
nomascus_leucogenys ENSNLEG00000014970
macaca_fascicularis ENSMFAG00000041326
macaca_mulatta ENSMMUG00000000065
macaca_nemestrina ENSMNEG00000035468
mandrillus_leucophaeus ENSMLEG00000042335
cercocebus_atys ENSCATG00000040283
theropithecus_gelada ENSTGEG00000006692
papio_anubis ENSPANG00000008887
chlorocebus_sabaeus ENSCSAG00000011089
piliocolobus_tephrosceles ENSPTEG00000018272
colobus_angolensis_palliatus ENSCANG00000031491
rhinopithecus_bieti ENSRBIG00000036613
rhinopithecus_roxellana ENSRROG00000034091
saimiri_boliviensis_boliviensis ENSSBOG00000036053
cebus_capucinus ENSCCAG00000030458
callithrix_jacchus ENSCJAG00000010246
aotus_nancymaae ENSANAG00000001640
carlito_syrichta ENSTSYG00000012333
