tetraodon_nigroviridis ENSTNIG00000012700
takifugu_rubripes ENSTRUG00000007680
mola_mola ENSMMOG00000003033
hippocampus_comes ENSHCOG00000015180
poecilia_formosa ENSPFOG00000006186
poecilia_mexicana ENSPMEG00000012891
poecilia_latipinna ENSPLAG00000021356
poecilia_reticulata ENSPREG00000019741
xiphophorus_maculatus ENSXMAG00000009711
xiphophorus_couchianus ENSXCOG00000009680
gambusia_affinis ENSGAFG00000006556
fundulus_heteroclitus ENSFHEG00000016453
cyprinodon_variegatus ENSCVAG00000018154
kryptolebias_marmoratus ENSKMAG00000008512
oryzias_latipes ENSORLG00000008670
oryzias_latipes_asm223469v1 ENSORLG00015014836
oryzias_latipes ENSORLG00020014653
oryzias_melastigma ENSOMEG00000008161
astatotilapia_calliptera ENSACLG00000026174
maylandia_zebra ENSMZEG00005021846
haplochromis_burtoni ENSHBUG00000018536
pundamilia_nyererei ENSPNYG00000002997
oreochromis_niloticus ENSONIG00000014172
neolamprologus_brichardi ENSNBRG00000023372
amphilophus_citrinellus ENSACIG00000022237
hippocampus_comes ENSHCOG00000015201
hippocampus_comes ENSHCOG00000019872
anabas_testudineus ENSATEG00000011168
mastacembelus_armatus ENSMAMG00000000469
cynoglossus_semilaevis ENSCSEG00000014904
labrus_bergylta ENSLBEG00000017047
amphiprion_ocellaris ENSAOCG00000011650
amphiprion_percula ENSAPEG00000020301
acanthochromis_polyacanthus ENSAPOG00000024048
stegastes_partitus ENSSPAG00000001223
monopterus_albus ENSMALG00000000119
gasterosteus_aculeatus ENSGACG00000003016
seriola_dumerili ENSSDUG00000014444
seriola_lalandi_dorsalis ENSSLDG00000004987
scophthalmus_maximus ENSSMAG00000014729
periophthalmus_magnuspinnatus ENSPMGG00000023781
gadus_morhua ENSGMOG00000007402
esox_lucius ENSELUG00000014748
pygocentrus_nattereri ENSPNAG00000025618
astyanax_mexicanus ENSAMXG00000014160
ictalurus_punctatus ENSIPUG00000009643
scleropages_formosus ENSSFOG00015004789
paramormyrops_kingsleyae ENSPKIG00000007784
lepisosteus_oculatus ENSLOCG00000004445
pygocentrus_nattereri ENSPNAG00000030002
astyanax_mexicanus ENSAMXG00000006613
ictalurus_punctatus ENSIPUG00000020719
danio_rerio ENSDARG00000079805
esox_lucius ENSELUG00000021549
notamacropus_eugenii ENSMEUG00000002767
phascolarctos_cinereus ENSPCIG00000017833
sarcophilus_harrisii ENSSHAG00000016127
monodelphis_domestica ENSMODG00000018096
taeniopygia_guttata ENSTGUG00000013594
serinus_canaria ENSSCAG00000016927
zonotrichia_albicollis ENSZALG00000016739
lonchura_striata_domestica ENSLSDG00000002228
junco_hyemalis ENSJHYG00000017682
parus_major ENSPMJG00000011930
cyanistes_caeruleus ENSCCEG00000015878
ficedula_albicollis ENSFALG00000006341
manacus_vitellinus ENSMVIG00005000942
lepidothrix_coronata ENSLCOG00000010824
melopsittacus_undulatus ENSMUNG00000011460
calidris_pugnax ENSCPUG00000004214
