maylandia_zebra ENSMZEG00005019247
haplochromis_burtoni ENSHBUG00000004255
pundamilia_nyererei ENSPNYG00000004528
astatotilapia_calliptera ENSACLG00000019454
neolamprologus_brichardi ENSNBRG00000004953
oreochromis_niloticus ENSONIG00000019686
amphilophus_citrinellus ENSACIG00000021715
amphiprion_ocellaris ENSAOCG00000011366
amphiprion_percula ENSAPEG00000004068
acanthochromis_polyacanthus ENSAPOG00000022323
stegastes_partitus ENSSPAG00000004339
cyprinodon_variegatus ENSCVAG00000023080
fundulus_heteroclitus ENSFHEG00000022496
poecilia_latipinna ENSPLAG00000001371
poecilia_formosa ENSPFOG00000024061
xiphophorus_couchianus ENSXCOG00000003815
poecilia_mexicana ENSPMEG00000020298
poecilia_reticulata ENSPREG00000005098
xiphophorus_maculatus ENSXMAG00000004997
gambusia_affinis ENSGAFG00000020608
kryptolebias_marmoratus ENSKMAG00000021978
oryzias_latipes ENSORLG00020007168
oryzias_latipes_asm223469v1 ENSORLG00015005962
oryzias_latipes ENSORLG00000025913
oryzias_melastigma ENSOMEG00000008407
seriola_dumerili ENSSDUG00000008135
mastacembelus_armatus ENSMAMG00000003929
tetraodon_nigroviridis ENSTNIG00000012935
takifugu_rubripes ENSTRUG00000022094
mola_mola ENSMMOG00000003653
gasterosteus_aculeatus ENSGACG00000004643
labrus_bergylta ENSLBEG00000001676
monopterus_albus ENSMALG00000008868
seriola_lalandi_dorsalis ENSSLDG00000009137
scophthalmus_maximus ENSSMAG00000007319
anabas_testudineus ENSATEG00000007442
hippocampus_comes ENSHCOG00000010314
cynoglossus_semilaevis ENSCSEG00000019796
periophthalmus_magnuspinnatus ENSPMGG00000004375
gadus_morhua ENSGMOG00000013246
esox_lucius ENSELUG00000019633
astyanax_mexicanus ENSAMXG00000033870
pygocentrus_nattereri ENSPNAG00000011445
ictalurus_punctatus ENSIPUG00000001013
danio_rerio ENSDARG00000056050
paramormyrops_kingsleyae ENSPKIG00000002853
scleropages_formosus ENSSFOG00015013437
